time_step,potential_AGB,potential_Carbon
1,191345776.0,95672888.0
2,190501904.0,95250952.0
3,192446032.0,96223016.0
4,172432512.0,86216256.0
5,174549568.0,87274784.0
6,176432448.0,88216224.0
7,178160960.0,89080480.0
8,180022176.0,90011088.0
9,181854384.0,90927192.0
10,183599840.0,91799920.0
11,185268976.0,92634488.0
12,186865488.0,93432744.0
13,188391808.0,94195904.0
14,189834848.0,94917424.0
15,191206176.0,95603088.0
16,192514832.0,96257416.0
17,193749504.0,96874752.0
18,194928720.0,97464360.0
19,197628000.0,98814000.0
20,198056272.0,99028136.0
21,198751328.0,99375664.0
22,199541600.0,99770800.0
23,200354192.0,100177096.0
24,182230000.0,91115000.0
25,183011760.0,91505880.0
26,184961520.0,92480760.0
27,185298224.0,92649112.0
28,185984752.0,92992376.0
29,186668384.0,93334192.0
30,187367040.0,93683520.0
31,188118672.0,94059336.0
32,188710624.0,94355312.0
33,189390272.0,94695136.0
34,190166320.0,95083160.0
35,190907520.0,95453760.0
36,191617024.0,95808512.0
37,192293552.0,96146776.0
38,192942704.0,96471352.0
39,193579568.0,96789784.0
40,194227344.0,97113672.0
41,194905792.0,97452896.0
42,195569888.0,97784944.0
43,196193104.0,98096552.0
44,195477312.0,97738656.0
45,196809088.0,98404544.0
46,197702800.0,98851400.0
47,198315088.0,99157544.0
48,198776032.0,99388016.0
49,199179648.0,99589824.0
50,199552928.0,99776464.0
51,199909456.0,99954728.0
52,200236432.0,100118216.0
53,200564912.0,100282456.0
54,200932016.0,100466008.0
55,201280224.0,100640112.0
56,201628416.0,100814208.0
57,201962912.0,100981456.0
58,202280144.0,101140072.0
59,202589104.0,101294552.0
60,202878064.0,101439032.0
61,203162736.0,101581368.0
62,203431280.0,101715640.0
63,203688032.0,101844016.0
64,205568016.0,102784008.0
65,207507776.0,103753888.0
66,209172752.0,104586376.0
67,210536384.0,105268192.0
68,211674256.0,105837128.0
69,212587184.0,106293592.0
70,213321696.0,106660848.0
71,213946784.0,106973392.0
72,214506624.0,107253312.0
73,215035296.0,107517648.0
74,215548864.0,107774432.0
75,216027744.0,108013872.0
76,216467168.0,108233584.0
77,216839632.0,108419816.0
78,217143344.0,108571672.0
79,217391024.0,108695512.0
80,217604144.0,108802072.0
81,217753072.0,108876536.0
82,217852720.0,108926360.0
83,217875040.0,108937520.0
