time_step,category,pixels,percentage
1,targeted_net_forest,849278,50.6
1,total_possible_net_forest,822425,49.0
2,targeted_net_forest,849278,50.6
2,total_possible_net_forest,818373,48.76
3,targeted_net_forest,849278,50.6
3,total_possible_net_forest,813653,48.48
4,targeted_net_forest,849278,50.6
4,total_possible_net_forest,809013,48.2
5,targeted_net_forest,849278,50.6
5,total_possible_net_forest,804253,47.92
6,targeted_net_forest,849278,50.6
6,total_possible_net_forest,799902,47.66
7,targeted_net_forest,849278,50.6
7,total_possible_net_forest,795904,47.42
8,targeted_net_forest,849278,50.6
8,total_possible_net_forest,791017,47.13
9,targeted_net_forest,849278,50.6
9,total_possible_net_forest,785967,46.83
10,targeted_net_forest,849278,50.6
10,total_possible_net_forest,780990,46.53
11,targeted_net_forest,849278,50.6
11,total_possible_net_forest,775980,46.23
12,targeted_net_forest,849278,50.6
12,total_possible_net_forest,770951,45.93
13,targeted_net_forest,849278,50.6
13,total_possible_net_forest,765746,45.62
14,targeted_net_forest,849278,50.6
14,total_possible_net_forest,760763,45.32
15,targeted_net_forest,849278,50.6
15,total_possible_net_forest,755725,45.02
16,targeted_net_forest,849278,50.6
16,total_possible_net_forest,750534,44.71
17,targeted_net_forest,849278,50.6
17,total_possible_net_forest,745388,44.41
18,targeted_net_forest,849278,50.6
18,total_possible_net_forest,740345,44.11
19,targeted_net_forest,849278,50.6
19,total_possible_net_forest,738616,44.0
20,targeted_net_forest,849278,50.6
20,total_possible_net_forest,736122,43.86
21,targeted_net_forest,849278,50.6
21,total_possible_net_forest,732188,43.62
22,targeted_net_forest,849278,50.6
22,total_possible_net_forest,727657,43.35
23,targeted_net_forest,849278,50.6
23,total_possible_net_forest,723309,43.09
24,targeted_net_forest,849278,50.6
24,total_possible_net_forest,726351,43.27
25,targeted_net_forest,849278,50.6
25,total_possible_net_forest,727424,43.34
26,targeted_net_forest,849278,50.6
26,total_possible_net_forest,729715,43.47
27,targeted_net_forest,849278,50.6
27,total_possible_net_forest,730695,43.53
28,targeted_net_forest,849278,50.6
28,total_possible_net_forest,730282,43.51
29,targeted_net_forest,849278,50.6
29,total_possible_net_forest,729914,43.49
30,targeted_net_forest,849278,50.6
30,total_possible_net_forest,729785,43.48
31,targeted_net_forest,849278,50.6
31,total_possible_net_forest,727989,43.37
32,targeted_net_forest,849278,50.6
32,total_possible_net_forest,724110,43.14
33,targeted_net_forest,849278,50.6
33,total_possible_net_forest,721353,42.98
34,targeted_net_forest,849278,50.6
34,total_possible_net_forest,721620,42.99
35,targeted_net_forest,849278,50.6
35,total_possible_net_forest,721546,42.99
36,targeted_net_forest,849278,50.6
36,total_possible_net_forest,720226,42.91
37,targeted_net_forest,849278,50.6
37,total_possible_net_forest,717226,42.73
38,targeted_net_forest,849278,50.6
38,total_possible_net_forest,713336,42.5
39,targeted_net_forest,849278,50.6
39,total_possible_net_forest,709262,42.26
40,targeted_net_forest,849278,50.6
40,total_possible_net_forest,706614,42.1
41,targeted_net_forest,849278,50.6
41,total_possible_net_forest,704699,41.98
42,targeted_net_forest,849278,50.6
42,total_possible_net_forest,702653,41.86
43,targeted_net_forest,849278,50.6
43,total_possible_net_forest,696498,41.5
44,targeted_net_forest,849278,50.6
44,total_possible_net_forest,695134,41.41
45,targeted_net_forest,849278,50.6
45,total_possible_net_forest,693677,41.33
46,targeted_net_forest,849278,50.6
46,total_possible_net_forest,692270,41.24
47,targeted_net_forest,849278,50.6
47,total_possible_net_forest,690875,41.16
48,targeted_net_forest,849278,50.6
48,total_possible_net_forest,689601,41.08
49,targeted_net_forest,849278,50.6
49,total_possible_net_forest,688211,41.0
50,targeted_net_forest,849278,50.6
50,total_possible_net_forest,686815,40.92
51,targeted_net_forest,849278,50.6
51,total_possible_net_forest,685406,40.83
52,targeted_net_forest,849278,50.6
52,total_possible_net_forest,684143,40.76
53,targeted_net_forest,849278,50.6
53,total_possible_net_forest,682654,40.67
54,targeted_net_forest,849278,50.6
54,total_possible_net_forest,679833,40.5
55,targeted_net_forest,849278,50.6
55,total_possible_net_forest,677195,40.35
56,targeted_net_forest,849278,50.6
56,total_possible_net_forest,674353,40.18
57,targeted_net_forest,849278,50.6
57,total_possible_net_forest,671473,40.0
58,targeted_net_forest,849278,50.6
58,total_possible_net_forest,668717,39.84
59,targeted_net_forest,849278,50.6
59,total_possible_net_forest,665732,39.66
60,targeted_net_forest,849278,50.6
60,total_possible_net_forest,662918,39.49
61,targeted_net_forest,849278,50.6
61,total_possible_net_forest,659887,39.31
62,targeted_net_forest,849278,50.6
62,total_possible_net_forest,657008,39.14
63,targeted_net_forest,849278,50.6
63,total_possible_net_forest,654153,38.97
64,targeted_net_forest,849278,50.6
64,total_possible_net_forest,649504,38.7
65,targeted_net_forest,849278,50.6
65,total_possible_net_forest,645261,38.44
66,targeted_net_forest,849278,50.6
66,total_possible_net_forest,641101,38.2
67,targeted_net_forest,849278,50.6
67,total_possible_net_forest,636739,37.94
68,targeted_net_forest,849278,50.6
68,total_possible_net_forest,632465,37.68
69,targeted_net_forest,849278,50.6
69,total_possible_net_forest,627953,37.41
70,targeted_net_forest,849278,50.6
70,total_possible_net_forest,623615,37.15
71,targeted_net_forest,849278,50.6
71,total_possible_net_forest,619295,36.9
72,targeted_net_forest,849278,50.6
72,total_possible_net_forest,614855,36.63
73,targeted_net_forest,849278,50.6
73,total_possible_net_forest,610379,36.36
74,targeted_net_forest,849278,50.6
74,total_possible_net_forest,605172,36.05
75,targeted_net_forest,849278,50.6
75,total_possible_net_forest,599919,35.74
76,targeted_net_forest,849278,50.6
76,total_possible_net_forest,594586,35.42
77,targeted_net_forest,849278,50.6
77,total_possible_net_forest,589109,35.1
78,targeted_net_forest,849278,50.6
78,total_possible_net_forest,583415,34.76
79,targeted_net_forest,849278,50.6
79,total_possible_net_forest,577301,34.39
80,targeted_net_forest,849278,50.6
80,total_possible_net_forest,570741,34.0
81,targeted_net_forest,849278,50.6
81,total_possible_net_forest,564636,33.64
82,targeted_net_forest,849278,50.6
82,total_possible_net_forest,558684,33.28
83,targeted_net_forest,849278,50.6
83,total_possible_net_forest,552609,32.92
