time_step,category,pixels,percentage
1,targeted_net_forest,849275,50.6
1,total_possible_net_forest,790916,47.12
2,targeted_net_forest,849275,50.6
2,total_possible_net_forest,786149,46.84
3,targeted_net_forest,849275,50.6
3,total_possible_net_forest,781802,46.58
4,targeted_net_forest,849275,50.6
4,total_possible_net_forest,778094,46.36
5,targeted_net_forest,849275,50.6
5,total_possible_net_forest,774661,46.15
6,targeted_net_forest,849275,50.6
6,total_possible_net_forest,771220,45.95
7,targeted_net_forest,849275,50.6
7,total_possible_net_forest,768361,45.78
8,targeted_net_forest,849275,50.6
8,total_possible_net_forest,779593,46.45
9,targeted_net_forest,849275,50.6
9,total_possible_net_forest,782051,46.59
10,targeted_net_forest,849275,50.6
10,total_possible_net_forest,782782,46.64
11,targeted_net_forest,849275,50.6
11,total_possible_net_forest,782812,46.64
12,targeted_net_forest,849275,50.6
12,total_possible_net_forest,782523,46.62
13,targeted_net_forest,849275,50.6
13,total_possible_net_forest,781929,46.59
14,targeted_net_forest,849275,50.6
14,total_possible_net_forest,781562,46.56
15,targeted_net_forest,849275,50.6
15,total_possible_net_forest,781182,46.54
16,targeted_net_forest,849275,50.6
16,total_possible_net_forest,780675,46.51
17,targeted_net_forest,849275,50.6
17,total_possible_net_forest,779506,46.44
18,targeted_net_forest,849275,50.6
18,total_possible_net_forest,777533,46.32
19,targeted_net_forest,849275,50.6
19,total_possible_net_forest,776478,46.26
20,targeted_net_forest,849275,50.6
20,total_possible_net_forest,775715,46.22
21,targeted_net_forest,849275,50.6
21,total_possible_net_forest,775467,46.2
22,targeted_net_forest,849275,50.6
22,total_possible_net_forest,775266,46.19
23,targeted_net_forest,849275,50.6
23,total_possible_net_forest,774736,46.16
24,targeted_net_forest,849275,50.6
24,total_possible_net_forest,774261,46.13
25,targeted_net_forest,849275,50.6
25,total_possible_net_forest,773670,46.09
26,targeted_net_forest,849275,50.6
26,total_possible_net_forest,771581,45.97
27,targeted_net_forest,849275,50.6
27,total_possible_net_forest,765845,45.63
28,targeted_net_forest,849275,50.6
28,total_possible_net_forest,760228,45.29
29,targeted_net_forest,849275,50.6
29,total_possible_net_forest,754512,44.95
30,targeted_net_forest,849275,50.6
30,total_possible_net_forest,748633,44.6
31,targeted_net_forest,849275,50.6
31,total_possible_net_forest,742790,44.25
32,targeted_net_forest,849275,50.6
32,total_possible_net_forest,736880,43.9
33,targeted_net_forest,849275,50.6
33,total_possible_net_forest,730930,43.55
34,targeted_net_forest,849275,50.6
34,total_possible_net_forest,724801,43.18
35,targeted_net_forest,849275,50.6
35,total_possible_net_forest,718778,42.82
36,targeted_net_forest,849275,50.6
36,total_possible_net_forest,712619,42.46
37,targeted_net_forest,849275,50.6
37,total_possible_net_forest,711392,42.38
38,targeted_net_forest,849275,50.6
38,total_possible_net_forest,710087,42.31
39,targeted_net_forest,849275,50.6
39,total_possible_net_forest,708758,42.23
40,targeted_net_forest,849275,50.6
40,total_possible_net_forest,707412,42.15
41,targeted_net_forest,849275,50.6
41,total_possible_net_forest,706252,42.08
42,targeted_net_forest,849275,50.6
42,total_possible_net_forest,704881,41.99
