time_step,pixels,percentage
1,337461,20.11
2,340552,20.29
3,343584,20.47
4,346630,20.65
5,349696,20.83
6,352855,21.02
7,355982,21.21
8,359103,21.39
9,362407,21.59
10,365591,21.78
11,368779,21.97
12,372002,22.16
13,375388,22.36
14,378739,22.56
15,382219,22.77
16,385750,22.98
17,389422,23.2
18,392669,23.39
19,395975,23.59
20,399473,23.8
21,402976,24.01
22,406544,24.22
23,410237,24.44
24,413854,24.66
25,417550,24.88
26,421127,25.09
27,424988,25.32
28,428817,25.55
29,432715,25.78
30,436620,26.01
31,440456,26.24
32,444341,26.47
33,448288,26.71
34,452437,26.96
35,456444,27.19
36,460538,27.44
37,461874,27.52
38,463265,27.6
39,464694,27.69
40,466072,27.77
41,467366,27.84
42,468791,27.93
43,470185,28.01
44,471563,28.09
45,472830,28.17
46,474193,28.25
47,476303,28.38
48,478375,28.5
49,480536,28.63
50,482722,28.76
51,484854,28.89
52,487109,29.02
53,489184,29.14
54,491420,29.28
55,493512,29.4
56,495612,29.53
57,498524,29.7
58,501403,29.87
59,504290,30.04
60,507225,30.22
61,510031,30.39
62,513002,30.56
63,515897,30.74
64,518849,30.91
65,521822,31.09
66,524894,31.27
67,528399,31.48
68,532005,31.7
69,535826,31.92
70,539666,32.15
71,543406,32.37
72,547160,32.6
73,551004,32.83
74,554883,33.06
75,558822,33.29
76,562620,33.52
