time_step,pixels,percentage
1,320084,19.07
2,322164,19.19
3,324953,19.36
4,327663,19.52
5,330513,19.69
6,332695,19.82
7,334447,19.93
8,337411,20.1
9,340489,20.29
10,343524,20.47
11,346590,20.65
12,349675,20.83
13,352855,21.02
14,355977,21.21
15,359121,21.4
16,362354,21.59
17,365561,21.78
18,368763,21.97
19,379433,22.61
20,379707,22.62
21,381544,22.73
22,384145,22.89
23,387137,23.06
24,390368,23.26
25,392350,23.38
26,400784,23.88
27,401893,23.94
28,404823,24.12
29,407858,24.3
30,411055,24.49
31,414578,24.7
32,417410,24.87
33,421140,25.09
34,425008,25.32
35,428948,25.56
36,432889,25.79
37,436893,26.03
38,440808,26.26
39,444740,26.5
40,448677,26.73
41,452719,26.97
42,456605,27.2
43,460609,27.44
44,461956,27.52
45,463317,27.6
46,464680,27.68
47,466036,27.77
48,467282,27.84
49,468619,27.92
50,469954,28.0
51,471300,28.08
52,472541,28.15
53,473884,28.23
54,475922,28.35
55,477869,28.47
56,479865,28.59
57,481889,28.71
58,483804,28.82
59,485894,28.95
60,487905,29.07
61,490043,29.2
62,492061,29.32
63,494090,29.44
64,496893,29.6
65,499775,29.78
66,502553,29.94
67,505509,30.12
68,508381,30.29
69,511399,30.47
70,514335,30.64
71,517275,30.82
72,520339,31.0
73,523424,31.18
74,526912,31.39
75,530535,31.61
76,534146,31.82
77,537738,32.04
78,541347,32.25
79,545093,32.48
80,549093,32.71
81,552991,32.95
82,556878,33.18
83,560797,33.41
