YEAR,smallholder_share,2,3,4,5,regional_AGB_demand_per_population_total
2018,53.87,0.04735,1.23802,1.16852,119725,11846.522
2019,53.72,0.04714,1.23790,1.16451,104029,11476.385
2020,53.56,0.04694,1.23797,1.16069,90391,11116.152
2021,53.40,0.04683,1.24043,1.15914,78541,10746.408
2022,53.24,0.04673,1.24302,1.15772,68244,10387.908
2023,53.09,0.04663,1.24574,1.15642,59297,10040.348
2024,52.93,0.04653,1.24858,1.15525,51523,9703.491
2025,52.77,0.04644,1.25154,1.15420,44769,9377.039
2026,52.62,0.04636,1.25463,1.15328,38899,9060.720
2027,52.46,0.04628,1.25784,1.15246,33800,8754.267
2028,52.30,0.04621,1.26118,1.15177,29369,8457.398
2029,52.14,0.04614,1.26463,1.15119,25518,8169.890
2030,51.99,0.04607,1.26820,1.15072,22173,7891.469
2031,51.83,0.04611,1.27475,1.15295,19266,7604.818
2032,51.67,0.04616,1.28139,1.15524,16740,7328.228
2033,51.52,0.04621,1.28812,1.15761,14546,7061.363
2034,51.36,0.04626,1.29495,1.16004,12639,6803.912
2035,51.20,0.04631,1.30188,1.16255,10982,6555.533
2036,51.04,0.04637,1.30891,1.16513,9542,6315.934
2037,50.89,0.04642,1.31604,1.16778,8291,6084.819
2038,50.73,0.04648,1.32326,1.17051,7204,5861.902
2039,50.57,0.04655,1.33059,1.17330,6260,5646.905
2040,50.42,0.04661,1.33801,1.17616,5439,5439.559
2041,50.26,0.04679,1.34874,1.18191,4726,5227.154
2042,50.10,0.04698,1.35959,1.18772,4106,5022.958
2043,49.94,0.04716,1.37055,1.19359,3568,4826.650
2044,49.79,0.04735,1.38162,1.19952,3100,4637.945
2045,49.63,0.04753,1.39281,1.20552,2694,4456.536
2046,49.47,0.04772,1.40412,1.21158,2341,4282.161
2047,49.32,0.04792,1.41555,1.21771,2034,4114.541
2048,49.16,0.04811,1.42710,1.22391,1767,3953.412
2049,49.00,0.04831,1.43877,1.23017,1535,3798.539
2050,48.84,0.04851,1.45057,1.23651,1334,3649.669
2051,48.69,0.04882,1.46589,1.24580,1159,3498.442
2052,48.53,0.04914,1.48139,1.25518,1007,3353.471
2053,48.37,0.04946,1.49707,1.26466,875,3214.500
2054,48.22,0.04978,1.51292,1.27423,760,3081.279
2055,48.06,0.05011,1.52895,1.28389,661,2953.572
2056,47.90,0.05043,1.54517,1.29365,574,2831.145
2057,47.74,0.05077,1.56157,1.30350,499,2713.791
2058,47.59,0.05110,1.57815,1.31345,433,2601.294
2059,47.43,0.05144,1.59493,1.32350,377,2493.455
2060,47.27,0.05178,1.61190,1.33366,327,2390.079
2061,47.27,0.05187,1.62106,1.33731,284,2287.216
2062,47.27,0.05195,1.63025,1.34096,247,2188.776
2063,47.27,0.05204,1.63947,1.34462,215,2094.576
2064,47.27,0.05213,1.64871,1.34827,187,2004.430
2065,47.26,0.05222,1.65798,1.35192,162,1918.164
2066,47.26,0.05230,1.66729,1.35558,141,1835.608
2067,47.26,0.05239,1.67661,1.35924,122,1756.608
2068,47.26,0.05247,1.68596,1.36290,106,1681.007
2069,47.25,0.05256,1.69534,1.36655,92,1608.661
2070,47.25,0.05264,1.70474,1.37021,80,1539.428
2071,47.18,0.05296,1.72174,1.37994,70,1471.170
2072,47.10,0.05328,1.73890,1.38974,61,1405.938
2073,47.03,0.05361,1.75624,1.39962,53,1343.597
2074,46.96,0.05393,1.77375,1.40959,46,1284.017
2075,46.88,0.05426,1.79144,1.41964,40,1227.076
2076,46.81,0.05459,1.80931,1.42977,35,1172.659
2077,46.73,0.05492,1.82736,1.44000,30,1120.652
2078,46.66,0.05525,1.84559,1.45031,26,1070.950
2079,46.58,0.05559,1.86401,1.46070,23,1023.450
2080,46.50,0.05593,1.88262,1.47119,20,978.054
2081,46.36,0.05650,1.90926,1.48788,17,933.511
2082,46.22,0.05709,1.93636,1.50483,15,890.990
2083,46.07,0.05768,1.96394,1.52207,13,850.398
2084,45.93,0.05828,1.99200,1.53957,11,811.651
2085,45.78,0.05889,2.02055,1.55737,10,774.664
2086,45.64,0.05951,2.04962,1.57546,8,739.357
2087,45.49,0.06014,2.07922,1.59386,7,705.653
2088,45.34,0.06078,2.10933,1.61256,6,673.481
2089,45.19,0.06143,2.14000,1.63157,6,642.772
2090,45.04,0.06210,2.17122,1.65090,5,613.458
2091,44.85,0.06292,2.20850,1.67473,4,585.056
2092,44.66,0.06377,2.24662,1.69906,4,557.962
2093,44.47,0.06463,2.28563,1.72393,3,532.117
2094,44.28,0.06552,2.32552,1.74933,3,507.463
2095,44.08,0.06642,2.36636,1.77531,2,483.945
2096,43.88,0.06734,2.40816,1.80187,2,461.511
2097,43.69,0.06828,2.45094,1.82902,2,440.113
2098,43.49,0.06924,2.49476,1.85680,2,419.701
2099,43.29,0.07022,2.53963,1.88521,1,400.230
2100,43.08,0.07123,2.58558,1.91428,1,381.658
