YEAR,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,regional_AGB_demand_per_population_total,regional_smallholder_share_in_percent
2018,0,1143575,1143575,1143575,119725,0,0,0,0,0,0,0,0,0,0,0,0,0,11846.522,57.03
2019,0,1155011,1155011,1155011,119725,0,0,0,0,0,0,0,0,0,0,0,0,0,11846.522,56.78
2020,0,1166561,1166561,1166561,119725,0,0,0,0,0,0,0,0,0,0,0,0,0,11846.522,56.53
2021,0,1178226,1178226,1178226,119725,0,0,0,0,0,0,0,0,0,0,0,0,0,11846.522,56.28
2022,0,1190009,1190009,1190009,119725,0,0,0,0,0,0,0,0,0,0,0,0,0,11846.522,56.03
2023,0,1201909,1201909,1201909,119725,0,0,0,0,0,0,0,0,0,0,0,0,0,11846.522,55.78
2024,0,1213928,1213928,1213928,119725,0,0,0,0,0,0,0,0,0,0,0,0,0,11846.522,55.53
2025,0,1226067,1226067,1226067,119725,0,0,0,0,0,0,0,0,0,0,0,0,0,11846.522,55.28
2026,0,1238328,1238328,1238328,119725,0,0,0,0,0,0,0,0,0,0,0,0,0,11846.522,55.03
2027,0,1250711,1250711,1250711,119725,0,0,0,0,0,0,0,0,0,0,0,0,0,11846.522,54.78
2028,0,1263218,1263218,1263218,119725,0,0,0,0,0,0,0,0,0,0,0,0,0,11846.522,54.53
2029,0,1275850,1275850,1275850,119725,0,0,0,0,0,0,0,0,0,0,0,0,0,11846.522,54.28
2030,0,1288609,1288609,1288609,119725,0,0,0,0,0,0,0,0,0,0,0,0,0,11846.522,54.03
2031,0,1301495,1301495,1301495,119725,0,0,0,0,0,0,0,0,0,0,0,0,0,11846.522,53.78
2032,0,1314510,1314510,1314510,119725,0,0,0,0,0,0,0,0,0,0,0,0,0,11846.522,53.53
2033,0,1327655,1327655,1327655,119725,0,0,0,0,0,0,0,0,0,0,0,0,0,11846.522,53.28
2034,0,1340932,1340932,1340932,119725,0,0,0,0,0,0,0,0,0,0,0,0,0,11846.522,53.03
2035,0,1354341,1354341,1354341,119725,0,0,0,0,0,0,0,0,0,0,0,0,0,11846.522,52.78
2036,0,1367884,1367884,1367884,119725,0,0,0,0,0,0,0,0,0,0,0,0,0,11846.522,52.53
2037,0,1381563,1381563,1381563,119725,0,0,0,0,0,0,0,0,0,0,0,0,0,11846.522,52.28
2038,0,1395379,1395379,1395379,119725,0,0,0,0,0,0,0,0,0,0,0,0,0,11846.522,52.03
