"LPB-basic-LUT01 log file" ECUADOR Esmeraldas SSP2-4.5 "weak_conservation scenario"
time step,year,minimum area built-up demand,mean area built-up demand,maximum area built-up demand
1,2018,57925,57926,57926
2,2019,58637,58638,58638
3,2020,59349,59350,59350
4,2021,59953,59954,59954
5,2022,60557,60558,60558
6,2023,61161,61162,61162
7,2024,61765,61766,61766
8,2025,62369,62370,62370
9,2026,62973,62974,62974
10,2027,63577,63578,63578
11,2028,64181,64182,64182
12,2029,64785,64786,64786
13,2030,65389,65390,65390
14,2031,65846,65847,65847
15,2032,66303,66304,66304
16,2033,66760,66761,66761
17,2034,67217,67218,67218
18,2035,67674,67675,67675
19,2036,68131,68132,68132
20,2037,68588,68589,68589
21,2038,69045,69046,69046
22,2039,69502,69503,69503
23,2040,69959,69960,69960
24,2041,70248,70249,70249
25,2042,70537,70538,70538
26,2043,70826,70827,70827
27,2044,71115,71116,71116
28,2045,71404,71405,71405
29,2046,71693,71694,71694
30,2047,71982,71983,71983
31,2048,72271,72272,72272
32,2049,72560,72561,72561
33,2050,72849,72850,72850
34,2051,72969,72970,72970
35,2052,73089,73090,73090
36,2053,73209,73210,73210
37,2054,73329,73330,73330
38,2055,73449,73450,73450
39,2056,73568,73569,73569
40,2057,73688,73689,73689
41,2058,73808,73809,73809
42,2059,73928,73929,73929
43,2060,74048,74049,74049
44,2061,74046,74047,74047
45,2062,74045,74046,74046
46,2063,74046,74047,74047
47,2064,74046,74047,74047
48,2065,74046,74047,74047
49,2066,74045,74046,74046
50,2067,74046,74047,74047
51,2068,74046,74047,74047
52,2069,74046,74047,74047
53,2070,74046,74047,74047
54,2071,73945,73946,73946
55,2072,73945,73946,73946
56,2073,73945,73946,73946
57,2074,73945,73946,73946
58,2075,73944,73945,73945
59,2076,73944,73945,73945
60,2077,73944,73945,73945
61,2078,73944,73945,73945
62,2079,73944,73945,73945
63,2080,73944,73945,73945
64,2081,73852,73853,73853
65,2082,73851,73852,73852
66,2083,73851,73852,73852
67,2084,73850,73851,73851
68,2085,73850,73851,73851
69,2086,73849,73850,73850
70,2087,73848,73849,73849
71,2088,73848,73849,73849
72,2089,73847,73848,73848
73,2090,73847,73848,73848
74,2091,73793,73794,73794
75,2092,73792,73793,73793
76,2093,73792,73793,73793
77,2094,73791,73792,73792
78,2095,73790,73791,73791
79,2096,73789,73790,73790
80,2097,73788,73789,73789
81,2098,73787,73788,73788
82,2099,73786,73787,73787
83,2100,73785,73786,73786

PLEASE NOTE:
LPB-basic demand built-up pixels range over number of samples.
Only the maximum value will be applied in mplc to depict potential maximum anthropogenic impact.
