"LPB-basic-LUT05 log file" ECUADOR Esmeraldas SSP2-4.5 "weak_conservation scenario"
time step,year,minimum area plantation,mean area plantation,maximum area plantation
1,2018,119725,119725,119725
2,2019,119725,119725,119725
3,2020,119725,119725,119725
4,2021,119725,119725,119725
5,2022,119725,119725,119725
6,2023,119725,119725,119725
7,2024,119725,119725,119725
8,2025,119725,119725,119725
9,2026,119725,119725,119725
10,2027,119725,119725,119725
11,2028,119725,119725,119725
12,2029,119725,119725,119725
13,2030,119725,119725,119725
14,2031,119725,119725,119725
15,2032,119725,119725,119725
16,2033,119725,119725,119725
17,2034,116254,116393,116520
18,2035,101899,102068,102225
19,2036,98526,98754,99002
20,2037,95147,95437,95730
21,2038,91781,92104,92396
22,2039,88430,88769,89022
23,2040,85088,85436,85729
24,2041,81771,82119,82431
25,2042,70289,70587,70826
26,2043,66744,67094,67355
27,2044,63457,63773,63994
28,2045,60102,60468,60774
29,2046,56795,57130,57399
30,2047,53470,53788,54132
31,2048,50190,50455,50800
32,2049,46868,47129,47506
33,2050,43533,43814,44165
34,2051,40251,40503,40765
35,2052,36922,37170,37401
36,2053,33570,33850,34110
37,2054,30332,30523,30828
38,2055,27040,27207,27466
39,2056,23670,23891,24062
40,2057,20470,20583,20722
41,2058,17257,17258,17258
42,2059,17257,17258,17258
43,2060,17257,17258,17258
44,2061,17257,17258,17258
45,2062,17257,17258,17258
46,2063,17257,17258,17258
47,2064,17257,17258,17258
48,2065,17257,17258,17258
49,2066,17257,17258,17258
50,2067,17257,17258,17258
51,2068,17257,17258,17258
52,2069,17257,17258,17258
53,2070,17257,17258,17258
54,2071,17257,17258,17258
55,2072,17257,17258,17258
56,2073,17257,17258,17258
57,2074,17257,17258,17258
58,2075,17257,17258,17258
59,2076,17257,17258,17258
60,2077,17257,17258,17258
61,2078,17257,17258,17258
62,2079,17257,17258,17258
63,2080,17257,17258,17258
64,2081,17257,17258,17258
65,2082,17257,17258,17258
66,2083,17257,17258,17258
67,2084,17257,17258,17258
68,2085,17257,17258,17258
69,2086,17257,17258,17258
70,2087,17257,17258,17258
71,2088,17257,17258,17258
72,2089,17257,17258,17258
73,2090,17257,17258,17258
74,2091,17257,17258,17258
75,2092,17257,17258,17258
76,2093,17257,17258,17258
77,2094,17257,17258,17258
78,2095,17257,17258,17258
79,2096,17257,17258,17258
80,2097,17257,17258,17258
81,2098,17257,17258,17258
82,2099,17257,17258,17258
83,2100,17257,17258,17258

PLEASE NOTE:
LPB-basic plantation pixels range over number of samples.
Only the maximum value will be applied in mplc to depict potential maximum anthropogenic impact.
