"LPB-basic-forest-conversion log file" ECUADOR Esmeraldas SSP2-4.5 "weak_conservation scenario"
time step,year,total,LUT01,LUT02,LUT03,LUT04,LUT05
1,2018,4244,1859,18,1331,1002,159
2,2019,5047,592,2,3218,1680,0
3,2020,5134,303,2,3171,1677,0
4,2021,5039,226,0,3170,1677,0
5,2022,4996,176,2,3171,1696,0
6,2023,5212,119,0,3402,1755,0
7,2024,5174,137,0,3382,1714,0
8,2025,5248,92,0,3483,1730,0
9,2026,5397,72,0,3562,1797,0
10,2027,5274,51,0,3498,1751,0
11,2028,5272,43,0,3515,1754,0
12,2029,5260,44,0,3546,1761,0
13,2030,5390,35,0,3632,1839,0
14,2031,5172,31,0,3400,1799,0
15,2032,5262,34,0,3480,1796,0
16,2033,5442,47,0,3589,1869,0
17,2034,5341,38,0,3521,1826,0
18,2035,4060,41,0,2981,1570,0
19,2036,1437,34,0,1403,327,0
20,2037,2517,48,0,1483,1332,0
21,2038,2980,36,0,1687,1392,0
22,2039,3164,29,0,1804,1470,0
23,2040,3277,39,0,1931,1556,0
24,2041,3146,25,0,1785,1511,0
25,2042,3102,27,0,1717,1523,0
26,2043,1107,31,0,595,736,0
27,2044,2624,8,0,1405,1480,0
28,2045,3211,20,0,1696,1643,0
29,2046,3203,20,0,1649,1681,0
30,2047,3305,15,1,1634,1802,0
31,2048,3219,21,0,1552,1751,0
32,2049,3291,36,1,1557,1780,0
33,2050,3379,38,0,1607,1833,0
34,2051,3387,7,0,1574,1921,0
35,2052,3165,6,0,1418,1858,0
36,2053,3239,7,0,1424,1894,0
37,2054,3463,6,0,1570,1966,0
38,2055,3253,5,0,1413,1922,0
39,2056,3279,5,0,1413,1977,0
40,2057,3341,5,0,1443,2037,0
41,2058,3506,4,0,1514,2130,0
42,2059,3333,6,0,1397,2077,0
43,2060,6136,9,0,4019,2143,0
44,2061,1357,0,0,1325,32,0
45,2062,1372,0,0,1336,36,0
46,2063,1351,0,0,1319,32,0
47,2064,1349,0,0,1320,29,0
48,2065,1229,0,0,1229,0,0
49,2066,1356,0,0,1324,33,0
50,2067,1354,0,0,1321,33,0
51,2068,1347,0,0,1314,33,0
52,2069,1217,0,0,1217,0,0
53,2070,1351,0,0,1319,32,0
54,2071,2660,0,0,2051,609,0
55,2072,2487,0,0,1956,531,0
56,2073,2684,0,0,2066,618,0
57,2074,2688,0,0,2065,623,0
58,2075,2512,0,0,1972,546,0
59,2076,2718,0,0,2097,633,0
60,2077,2557,0,0,2002,559,0
61,2078,2753,0,0,2110,644,0
62,2079,2582,0,0,2015,567,0
63,2080,2607,0,0,2033,575,0
64,2081,3978,0,0,2810,1171,0
65,2082,4034,0,0,2844,1190,0
66,2083,3908,0,0,2781,1127,0
67,2084,4156,0,0,2925,1231,0
68,2085,3996,0,0,2837,1167,0
69,2086,4258,0,0,2986,1273,0
70,2087,4107,0,0,2911,1212,0
71,2088,4153,0,0,2945,1230,0
72,2089,4219,0,0,2989,1252,0
73,2090,4286,0,0,3028,1276,0
74,2091,5123,0,0,3515,1635,0
75,2092,5229,0,0,3578,1675,0
76,2093,5336,0,0,3624,1712,0
77,2094,5444,0,0,3697,1747,0
78,2095,5355,0,0,3665,1700,0
79,2096,5502,0,0,3762,1740,0
80,2097,5835,0,0,3964,1872,0
81,2098,5733,0,0,3910,1823,0
82,2099,5842,0,0,3974,1868,0
83,2100,5730,0,0,3916,1816,0

PLEASE NOTE:
LPB-basic maximum forest conversion over number of samples.
Only for comparison to mplc module extracted.
