"LPB-basic log file" ECUADOR Esmeraldas SSP2-4.5 "weak_conservation scenario"
YEAR,population,settlements,smallholder population based on external time series,ha demand built-up,ha demand cropland-annual,ha demand pasture,ha demand agroforestry,ha demand plantation,demand AGB in Mg
2018,457430,827,246418,maximum demand noted in LUT01 log-file,11668,305071,287945,119725,11846.522
2019,463049,839,248750,maximum demand noted in LUT01 log-file,11727,307916,289657,104029,11476.385
2020,468667,851,251019,maximum demand noted in LUT01 log-file,11781,310727,291331,90391,11116.152
2021,473436,861,252815,maximum demand noted in LUT01 log-file,11837,313557,293008,78541,10746.408
2022,478205,871,254597,maximum demand noted in LUT01 log-file,11895,316414,294699,68244,10387.908
2023,482973,881,256411,maximum demand noted in LUT01 log-file,11954,319350,296453,59297,10040.348
2024,487742,891,258162,maximum demand noted in LUT01 log-file,12010,322249,298162,51523,9703.491
2025,492511,901,259899,maximum demand noted in LUT01 log-file,12068,325173,299882,44769,9377.039
2026,497280,911,261669,maximum demand noted in LUT01 log-file,12126,328183,301671,38899,9060.72
2027,502049,921,263375,maximum demand noted in LUT01 log-file,12184,331152,303411,33800,8754.267
2028,506817,931,265066,maximum demand noted in LUT01 log-file,12244,334148,305160,29369,8457.398
2029,511586,941,266741,maximum demand noted in LUT01 log-file,12300,337166,306921,25518,8169.89
2030,516355,951,268453,maximum demand noted in LUT01 log-file,12363,340273,308754,22173,7891.469
2031,519957,959,269494,maximum demand noted in LUT01 log-file,12421,343341,310536,19266,7604.818
2032,523559,967,270523,maximum demand noted in LUT01 log-file,12480,346432,312327,16740,7328.228
2033,527161,975,271594,maximum demand noted in LUT01 log-file,12543,349618,314194,14546,7061.363
2034,530764,983,272601,maximum demand noted in LUT01 log-file,12600,352760,316010,12639,6803.912
2035,534366,991,273596,maximum demand noted in LUT01 log-file,12663,355927,317837,10982,6555.533
2036,537968,999,274579,maximum demand noted in LUT01 log-file,12722,359120,319674,9542,6315.934
2037,541570,1007,275605,maximum demand noted in LUT01 log-file,12786,362410,321585,8291,6084.819
2038,545172,1015,276566,maximum demand noted in LUT01 log-file,12844,365654,323444,7204,5861.902
2039,548774,1023,277516,maximum demand noted in LUT01 log-file,12908,368927,325319,6260,5646.905
2040,552376,1031,278508,maximum demand noted in LUT01 log-file,12971,372299,327264,5439,5439.559
2041,554657,1037,278771,maximum demand noted in LUT01 log-file,13033,375622,329159,4726,5227.154
2042,556938,1043,279026,maximum demand noted in LUT01 log-file,13095,378974,331068,4106,5022.958
2043,559218,1049,279274,maximum demand noted in LUT01 log-file,13157,382355,332984,3568,4826.65
2044,561499,1055,279571,maximum demand noted in LUT01 log-file,13221,385836,334982,3100,4637.945
2045,563779,1061,279804,maximum demand noted in LUT01 log-file,13286,389272,336926,2694,4456.536
2046,566060,1067,280030,maximum demand noted in LUT01 log-file,13350,392734,338882,2341,4282.161
2047,568341,1073,280306,maximum demand noted in LUT01 log-file,13416,396306,340917,2034,4114.541
2048,570621,1079,280518,maximum demand noted in LUT01 log-file,13479,399826,342900,1767,3953.412
2049,572902,1085,280722,maximum demand noted in LUT01 log-file,13545,403373,344893,1535,3798.539
2050,575182,1091,280919,maximum demand noted in LUT01 log-file,13608,406951,346896,1334,3649.669
2051,576122,1094,280514,maximum demand noted in LUT01 log-file,13676,410642,348988,1159,3498.442
2052,577062,1097,280049,maximum demand noted in LUT01 log-file,13743,414280,351020,1007,3353.471
2053,578002,1100,279580,maximum demand noted in LUT01 log-file,13809,417947,353065,875,3214.5
2054,578942,1103,279166,maximum demand noted in LUT01 log-file,13878,421731,355195,760,3081.279
2055,579882,1106,278692,maximum demand noted in LUT01 log-file,13943,425460,357267,661,2953.572
2056,580821,1109,278214,maximum demand noted in LUT01 log-file,14011,429221,359353,574,2831.145
2057,581761,1112,277733,maximum demand noted in LUT01 log-file,14079,433008,361451,499,2713.791
2058,582701,1115,277308,maximum demand noted in LUT01 log-file,14149,436924,363640,433,2601.294
2059,583641,1118,276821,maximum demand noted in LUT01 log-file,14215,440777,365764,377,2493.455
2060,584581,1121,276332,maximum demand noted in LUT01 log-file,14284,444663,367906,327,2390.079
2061,584558,1121,276321,maximum demand noted in LUT01 log-file,14270,446007,367938,284,2287.216
2062,584534,1121,276310,maximum demand noted in LUT01 log-file,14258,447357,367974,247,2188.776
2063,584511,1121,276299,maximum demand noted in LUT01 log-file,14244,448702,368006,215,2094.576
2064,584488,1121,276288,maximum demand noted in LUT01 log-file,14229,450049,368035,187,2004.43
2065,584465,1121,276219,maximum demand noted in LUT01 log-file,14215,451301,367991,162,1918.164
2066,584441,1121,276207,maximum demand noted in LUT01 log-file,14200,452649,368024,141,1835.608
2067,584418,1121,276196,maximum demand noted in LUT01 log-file,14186,453995,368057,122,1756.608
2068,584395,1121,276186,maximum demand noted in LUT01 log-file,14172,455343,368090,106,1681.007
2069,584372,1121,276116,maximum demand noted in LUT01 log-file,14157,456591,368044,92,1608.661
2070,584349,1121,276105,maximum demand noted in LUT01 log-file,14143,457940,368076,80,1539.428
2071,583531,1121,275310,maximum demand noted in LUT01 log-file,14151,460005,368685,70,1471.17
2072,582714,1121,274459,maximum demand noted in LUT01 log-file,14157,461981,369216,61,1405.938
2073,581897,1121,273667,maximum demand noted in LUT01 log-file,14166,464066,369834,53,1343.597
2074,581080,1121,272876,maximum demand noted in LUT01 log-file,14174,466163,370457,46,1284.017
2075,580263,1121,272028,maximum demand noted in LUT01 log-file,14179,468169,371003,40,1227.076
2076,579446,1121,271239,maximum demand noted in LUT01 log-file,14189,470288,371636,35,1172.659
2077,578629,1121,270394,maximum demand noted in LUT01 log-file,14196,472317,372195,30,1120.652
2078,577812,1121,269608,maximum demand noted in LUT01 log-file,14206,474457,372839,26,1070.95
2079,576995,1121,268765,maximum demand noted in LUT01 log-file,14210,476507,373406,23,1023.45
2080,576178,1121,267923,maximum demand noted in LUT01 log-file,14219,478567,373981,20,978.054
2081,574647,1121,266407,maximum demand noted in LUT01 log-file,14248,481398,375152,17,933.511
