"LPB-basic-LUT17 log file" ECUADOR Esmeraldas SSP2-4.5 "weak_conservation scenario"
time step,year,minimum area deforested due to demand in input biomass,mean area deforested due to demand in input biomass,maximum area deforested due to demand in input biomass
1,2018,24,27,27
2,2019,23,34,35
3,2020,29,38,43
4,2021,20,36,41
5,2022,14,31,39
6,2023,17,30,36
7,2024,14,30,37
8,2025,18,27,32
9,2026,28,38,43
10,2027,29,43,56
11,2028,22,47,67
12,2029,24,41,53
13,2030,17,36,50
14,2031,20,35,48
15,2032,14,33,43
16,2033,21,32,41
17,2034,30,42,54
18,2035,28,44,57
19,2036,30,49,72
20,2037,29,44,57
21,2038,25,38,52
22,2039,26,37,48
23,2040,23,34,47
24,2041,22,36,49
25,2042,41,85,162
26,2043,40,75,181
27,2044,33,64,156
28,2045,38,65,136
29,2046,36,58,99
30,2047,32,58,118
31,2048,34,49,83
32,2049,33,49,103
33,2050,29,57,123
34,2051,27,49,98
35,2052,21,38,83
36,2053,16,39,80
37,2054,13,32,45
38,2055,13,29,42
39,2056,13,27,44
40,2057,9,25,45
41,2058,16,29,48
42,2059,15,28,46
43,2060,12,24,42
44,2061,10,20,36
45,2062,11,20,36
46,2063,12,20,32
47,2064,10,20,31
48,2065,9,18,30
49,2066,11,22,43
50,2067,12,23,39
51,2068,10,19,32
52,2069,10,17,29
53,2070,10,19,35
54,2071,6,16,27
55,2072,4,15,24
56,2073,5,14,26
57,2074,7,20,41
58,2075,7,15,31
59,2076,6,14,25
60,2077,4,12,21
61,2078,5,12,20
62,2079,5,12,27
63,2080,5,10,17
64,2081,4,10,18
65,2082,4,11,30
66,2083,4,10,19
67,2084,4,9,12
68,2085,3,8,11
69,2086,4,7,9
70,2087,2,6,11
71,2088,3,7,10
72,2089,3,6,10
73,2090,3,6,10
74,2091,3,7,10
75,2092,2,5,9
76,2093,2,5,7
77,2094,3,5,7
78,2095,3,5,8
79,2096,2,4,7
80,2097,3,5,7
81,2098,2,4,6
82,2099,3,5,7
83,2100,3,5,7

PLEASE NOTE:
"LPB-basic modelled deforestation BEFORE conversion, these are values for the REMAINING deforested plots in the environment"
