"LPB-basic-abandoned-types log file" ECUADOR Esmeraldas SSP2-4.5 "weak_conservation scenario"
time step,year,mean LUT14,mean LUT15,mean LUT16,mean LUT18
1,2018,4,0,0,0
2,2019,0,0,0,0
3,2020,0,0,0,0
4,2021,0,0,0,0
5,2022,0,0,0,0
6,2023,0,0,0,0
7,2024,0,0,0,0
8,2025,0,0,0,0
9,2026,0,0,0,0
10,2027,0,0,0,0
11,2028,0,0,0,0
12,2029,0,0,0,0
13,2030,0,0,0,0
14,2031,0,0,0,0
15,2032,0,0,0,0
16,2033,0,0,0,0
17,2034,0,0,0,3333
18,2035,0,0,0,14325
19,2036,0,0,0,3315
20,2037,0,0,0,3317
21,2038,0,0,0,3321
22,2039,0,0,0,3319
23,2040,0,0,0,3334
24,2041,0,0,0,3323
25,2042,0,0,0,11538
26,2043,0,0,0,3514
27,2044,0,0,0,3357
28,2045,0,0,0,3347
29,2046,0,0,0,3383
30,2047,0,0,0,3373
31,2048,0,0,0,3370
32,2049,0,0,0,3366
33,2050,0,0,0,3358
34,2051,0,0,0,3355
35,2052,0,0,0,3379
36,2053,0,0,0,3368
37,2054,0,0,0,3374
38,2055,0,0,0,3365
39,2056,0,0,0,3368
40,2057,0,0,0,3360
41,2058,0,0,0,3379
42,2059,0,0,0,53
43,2060,0,0,0,48
44,2061,3,0,0,47
45,2062,4,0,0,46
46,2063,6,0,0,45
47,2064,8,0,0,44
48,2065,5,0,44,43
49,2066,4,0,43,42
50,2067,4,0,43,40
51,2068,4,0,43,39
52,2069,5,0,46,38
53,2070,4,0,45,37
54,2071,1,0,45,36
55,2072,1,0,45,35
56,2073,1,0,0,35
57,2074,1,0,0,34
58,2075,1,0,0,33
59,2076,1,0,0,33
60,2077,1,0,0,32
61,2078,1,0,0,31
62,2079,1,0,0,30
63,2080,1,0,0,29
64,2081,1,0,0,28
65,2082,1,0,0,27
66,2083,1,0,0,27
67,2084,1,0,0,26
68,2085,1,0,0,26
69,2086,1,0,0,26
70,2087,1,0,0,26
71,2088,1,0,0,26
72,2089,1,0,0,26
73,2090,1,0,0,26
74,2091,1,0,0,26
75,2092,1,0,0,26
76,2093,1,0,0,26
77,2094,1,0,0,26
78,2095,1,0,0,26
79,2096,1,0,0,26
80,2097,1,0,0,26
81,2098,1,0,0,26
82,2099,1,0,0,26
83,2100,1,0,0,26

PLEASE NOTE:
LPB-basic mean abandoned types value over number of samples.
Used in mplc module for simulation of abandoned types in corrective allocation.
