"LPB-basic-agricultural-types log file" ECUADOR Esmeraldas SSP2-4.5 "weak_conservation scenario"
time step,year,maximum LUT02,maximum LUT03,maximum LUT04
1,2018,11668,305071,287945
2,2019,11727,307916,289657
3,2020,11781,310727,291331
4,2021,11837,313557,293008
5,2022,11895,316414,294699
6,2023,11954,319350,296453
7,2024,12010,322249,298162
8,2025,12068,325173,299882
9,2026,12126,328183,301671
10,2027,12184,331152,303411
11,2028,12244,334148,305160
12,2029,12300,337166,306921
13,2030,12363,340273,308754
14,2031,12421,343341,310536
15,2032,12480,346432,312327
16,2033,12543,349618,314194
17,2034,12600,352760,316010
18,2035,12663,355927,317837
19,2036,12722,359120,319674
20,2037,12786,362410,321585
21,2038,12844,365654,323444
22,2039,12908,368927,325319
23,2040,12971,372299,327264
24,2041,13033,375622,329159
25,2042,13095,378974,331068
26,2043,13157,382355,332984
27,2044,13221,385836,334982
28,2045,13286,389272,336926
29,2046,13350,392734,338882
30,2047,13416,396306,340917
31,2048,13479,399826,342900
32,2049,13545,403373,344893
33,2050,13608,406951,346896
34,2051,13676,410642,348988
35,2052,13743,414280,351020
36,2053,13809,417947,353065
37,2054,13878,421731,355195
38,2055,13943,425460,357267
39,2056,14011,429221,359353
40,2057,14079,433008,361451
41,2058,14149,436924,363640
42,2059,14215,440777,365764
43,2060,14284,444663,367906
44,2061,14270,446007,367938
45,2062,14258,447357,367974
46,2063,14244,448702,368006
47,2064,14229,450049,368035
48,2065,14215,451301,367991
49,2066,14200,452649,368024
50,2067,14186,453995,368057
51,2068,14172,455343,368090
52,2069,14157,456591,368044
53,2070,14143,457940,368076
54,2071,14151,460005,368685
55,2072,14157,461981,369216
56,2073,14166,464066,369834
57,2074,14174,466163,370457
58,2075,14179,468169,371003
59,2076,14189,470288,371636
60,2077,14196,472317,372195
61,2078,14206,474457,372839
62,2079,14210,476507,373406
63,2080,14219,478567,373981
64,2081,14248,481398,375152
65,2082,14278,484260,376342
66,2083,14305,487054,377469
67,2084,14335,489987,378700
68,2085,14365,492845,379867
69,2086,14399,495850,381140
70,2087,14428,498784,382352
71,2088,14459,501749,383582
72,2089,14492,504756,384834
73,2090,14523,507800,386110
74,2091,14570,511329,387745
75,2092,14617,514918,389420
76,2093,14665,518570,391132
77,2094,14713,522285,392879
78,2095,14761,525946,394579
79,2096,14811,529673,396319
80,2097,14865,533588,398191
81,2098,14918,537453,400014
82,2099,14971,541387,401882
83,2100,15022,545269,403698

PLEASE NOTE:
LPB-basic maximum agricultural types value over number of samples.
Used only in the yield approach in mplc module for simulation of agricultrual types in corrective allocation.
