time_step,pixels,percentage
1,1110385,66.15
2,1110385,66.15
3,1110390,66.15
4,1110394,66.15
5,1110395,66.15
6,1110395,66.15
7,1110412,66.16
8,1110915,66.19
9,1110949,66.19
10,1110964,66.19
11,1110976,66.19
12,1110983,66.19
13,1110994,66.19
14,1111428,66.22
15,1111449,66.22
16,1111451,66.22
17,1111465,66.22
18,1111477,66.22
19,1111512,66.22
20,1111659,66.23
21,1111686,66.23
22,1112018,66.25
23,1112084,66.26
24,1112127,66.26
25,1112165,66.26
26,1112298,66.27
27,1112323,66.27
28,1112334,66.27
29,1112371,66.27
30,1112485,66.28
31,1112500,66.28
32,1112682,66.29
33,1114286,66.39
34,1114348,66.39
35,1114349,66.39
36,1114365,66.39
37,1114366,66.39
38,1114366,66.39
39,1114366,66.39
40,1114368,66.39
41,1114368,66.39
42,1114371,66.39
43,1114371,66.39
44,1114381,66.39
45,1114381,66.39
46,1114381,66.39
47,1114381,66.39
48,1114381,66.39
49,1114381,66.39
50,1114381,66.39
51,1114381,66.39
52,1114381,66.39
53,1114381,66.39
54,1114381,66.39
55,1114381,66.39
56,1114381,66.39
57,1114381,66.39
58,1114381,66.39
59,1114381,66.39
60,1114381,66.39
61,1114381,66.39
62,1114381,66.39
63,1114381,66.39
64,1114381,66.39
65,1114381,66.39
66,1114381,66.39
67,1114381,66.39
68,1114381,66.39
69,1114381,66.39
70,1114381,66.39
71,1114381,66.39
72,1114381,66.39
73,1114381,66.39
74,1114381,66.39
75,1114381,66.39
76,1114381,66.39
77,1114381,66.39
78,1114381,66.39
79,1114381,66.39
80,1114381,66.39
81,1114381,66.39
82,1114381,66.39
83,1114381,66.39
