time_step,demand_type,mean_demand,mean_unallocated_demand
1,LUT02,11668.0,0.0
1,LUT03,305071.0,0.0
1,LUT04,287945.0,0.0
1,LUT05,119725.0,0.0
1,AGB,11846.521999999999,0.0
2,LUT02,11727.0,0.0
2,LUT03,307916.0,0.0
2,LUT04,289657.0,0.0
2,LUT05,104029.0,0.0
2,AGB,11476.385000000004,0.0
3,LUT02,11781.0,0.0
3,LUT03,310727.0,0.0
3,LUT04,291331.0,0.0
3,LUT05,90391.0,0.0
3,AGB,11116.152,0.0
4,LUT02,11837.0,0.0
4,LUT03,313557.0,0.0
4,LUT04,293008.0,0.0
4,LUT05,78541.0,0.0
4,AGB,10746.407999999998,0.0
5,LUT02,11895.0,0.0
5,LUT03,316414.0,0.0
5,LUT04,294699.0,0.0
5,LUT05,68244.0,0.0
5,AGB,10387.907999999998,0.0
6,LUT02,11954.0,0.0
6,LUT03,319350.0,0.0
6,LUT04,296453.0,0.0
6,LUT05,59297.0,0.0
6,AGB,10040.348,0.0
7,LUT02,12010.0,0.0
7,LUT03,322249.0,0.0
7,LUT04,298162.0,0.0
7,LUT05,51523.0,0.0
7,AGB,9703.490999999993,0.0
8,LUT02,12068.0,0.0
8,LUT03,325173.0,0.0
8,LUT04,299882.0,0.0
8,LUT05,44769.0,0.0
8,AGB,9377.038999999993,0.0
9,LUT02,12126.0,0.0
9,LUT03,328183.0,0.0
9,LUT04,301671.0,0.0
9,LUT05,38899.0,0.0
9,AGB,9060.719999999988,0.0
10,LUT02,12184.0,0.0
10,LUT03,331152.0,0.0
10,LUT04,303411.0,0.0
10,LUT05,33800.0,0.0
10,AGB,8754.266999999994,0.0
11,LUT02,12244.0,0.0
11,LUT03,334148.0,0.0
11,LUT04,305160.0,0.0
11,LUT05,29369.0,0.0
11,AGB,8457.397999999992,0.0
12,LUT02,12300.0,0.0
12,LUT03,337166.0,0.0
12,LUT04,306921.0,0.0
12,LUT05,25518.0,0.0
12,AGB,8169.890000000009,0.0
13,LUT02,12363.0,0.0
13,LUT03,340273.0,0.0
13,LUT04,308754.0,0.0
13,LUT05,22173.0,0.0
13,AGB,7891.468999999998,0.0
14,LUT02,12421.0,0.0
14,LUT03,343341.0,0.0
14,LUT04,310536.0,0.0
14,LUT05,19266.0,0.0
14,AGB,7604.818000000008,0.0
15,LUT02,12480.0,0.0
15,LUT03,346432.0,0.0
15,LUT04,312327.0,0.0
15,LUT05,16740.0,0.0
15,AGB,7328.228000000002,0.0
16,LUT02,12543.0,0.0
16,LUT03,349618.0,0.0
16,LUT04,314194.0,0.0
16,LUT05,14546.0,0.0
16,AGB,7061.363000000006,0.0
17,LUT02,12600.0,0.0
17,LUT03,352760.0,0.0
17,LUT04,316010.0,0.0
17,LUT05,12639.0,0.0
17,AGB,6803.912000000005,0.0
18,LUT02,12663.0,0.0
18,LUT03,355927.0,0.0
18,LUT04,317837.0,0.0
18,LUT05,10982.0,0.0
18,AGB,6555.532999999997,0.0
19,LUT02,12722.0,0.0
19,LUT03,359120.0,0.0
19,LUT04,319674.0,0.0
19,LUT05,9542.0,0.0
19,AGB,6315.934000000004,0.0
20,LUT02,12786.0,0.0
20,LUT03,362410.0,0.0
20,LUT04,321585.0,0.0
20,LUT05,8291.0,0.0
20,AGB,6084.818999999998,0.0
21,LUT02,12844.0,0.0
21,LUT03,365654.0,0.0
21,LUT04,323444.0,0.0
21,LUT05,7204.0,0.0
21,AGB,5861.902000000001,0.0
22,LUT02,12908.0,0.0
