time_step,LUT_code,pixels
1,LUT01,1859
1,LUT02,1
1,LUT03,1310
1,LUT04,314
1,LUT05,159
2,LUT01,584
2,LUT02,0
2,LUT03,2807
2,LUT04,1525
2,LUT05,0
3,LUT01,291
3,LUT02,0
3,LUT03,2856
3,LUT04,1597
3,LUT05,0
4,LUT01,210
4,LUT02,0
4,LUT03,2880
4,LUT04,1656
4,LUT05,0
5,LUT01,119
5,LUT02,0
5,LUT03,2996
5,LUT04,1696
5,LUT05,0
6,LUT01,104
6,LUT02,0
6,LUT03,3086
6,LUT04,1710
6,LUT05,0
7,LUT01,128
7,LUT02,0
7,LUT03,3055
7,LUT04,1753
7,LUT05,0
8,LUT01,68
8,LUT02,0
8,LUT03,3149
8,LUT04,1743
8,LUT05,0
9,LUT01,49
9,LUT02,0
9,LUT03,3303
9,LUT04,1814
9,LUT05,0
10,LUT01,43
10,LUT02,0
10,LUT03,3260
10,LUT04,1739
10,LUT05,0
11,LUT01,34
11,LUT02,0
11,LUT03,3319
11,LUT04,1748
11,LUT05,0
12,LUT01,42
12,LUT02,0
12,LUT03,3317
12,LUT04,1751
12,LUT05,0
13,LUT01,28
13,LUT02,0
13,LUT03,3451
13,LUT04,1824
13,LUT05,0
14,LUT01,26
14,LUT02,0
14,LUT03,3231
14,LUT04,1776
14,LUT05,0
15,LUT01,25
15,LUT02,0
15,LUT03,3339
15,LUT04,1781
15,LUT05,0
16,LUT01,39
16,LUT02,0
16,LUT03,3450
16,LUT04,1911
16,LUT05,0
17,LUT01,46
17,LUT02,1
17,LUT03,3539
17,LUT04,1867
17,LUT05,0
18,LUT01,48
18,LUT02,0
18,LUT03,3289
18,LUT04,1894
18,LUT05,0
19,LUT01,36
19,LUT02,1
19,LUT03,1321
19,LUT04,665
19,LUT05,978
20,LUT01,43
20,LUT02,0
20,LUT03,2021
20,LUT04,423
20,LUT05,1589
21,LUT01,37
21,LUT02,0
21,LUT03,2637
21,LUT04,1360
21,LUT05,1824
22,LUT01,54
22,LUT02,0
22,LUT03,2784
22,LUT04,1771
22,LUT05,2095
23,LUT01,110
23,LUT02,0
23,LUT03,2981
23,LUT04,1794
23,LUT05,2818
24,LUT01,154
24,LUT02,0
24,LUT03,2890
24,LUT04,1584
24,LUT05,2767
25,LUT01,184
25,LUT02,0
25,LUT03,2801
25,LUT04,1829
25,LUT05,2748
26,LUT01,151
26,LUT02,0
26,LUT03,1202
26,LUT04,1213
26,LUT05,2791
27,LUT01,112
27,LUT02,0
27,LUT03,2375
27,LUT04,1056
27,LUT05,2937
28,LUT01,132
28,LUT02,0
28,LUT03,3010
28,LUT04,1664
28,LUT05,2638
29,LUT01,137
29,LUT02,0
29,LUT03,3198
29,LUT04,1554
29,LUT05,2471
30,LUT01,176
30,LUT02,0
30,LUT03,4052
30,LUT04,1521
30,LUT05,2321
31,LUT01,251
31,LUT02,3
31,LUT03,2148
31,LUT04,1638
31,LUT05,2505
32,LUT01,46
32,LUT02,1
32,LUT03,2576
32,LUT04,1894
32,LUT05,3059
33,LUT01,83
33,LUT02,2
33,LUT03,3876
33,LUT04,2072
33,LUT05,2095
34,LUT01,65
34,LUT02,2
34,LUT03,4580
34,LUT04,1559
34,LUT05,310
35,LUT01,105
35,LUT02,1
35,LUT03,4602
35,LUT04,1579
35,LUT05,32
36,LUT01,111
36,LUT02,4
