time_step,Aspect,pixels
1,prior corrective allocation,818313
1,post corrective allocation,818107
2,prior corrective allocation,813557
2,post corrective allocation,813156
3,prior corrective allocation,809071
3,post corrective allocation,808385
4,prior corrective allocation,804547
4,post corrective allocation,803672
5,prior corrective allocation,799845
5,post corrective allocation,798828
6,prior corrective allocation,795730
6,post corrective allocation,794595
7,prior corrective allocation,792156
7,post corrective allocation,790876
8,prior corrective allocation,787294
8,post corrective allocation,785919
9,prior corrective allocation,782303
9,post corrective allocation,780737
10,prior corrective allocation,777224
10,post corrective allocation,775682
11,prior corrective allocation,772147
11,post corrective allocation,770557
12,prior corrective allocation,766942
12,post corrective allocation,765433
13,prior corrective allocation,761627
13,post corrective allocation,760124
14,prior corrective allocation,756663
14,post corrective allocation,755092
15,prior corrective allocation,751502
15,post corrective allocation,749977
16,prior corrective allocation,746263
16,post corrective allocation,744696
17,prior corrective allocation,740850
17,post corrective allocation,739468
18,prior corrective allocation,737273
18,post corrective allocation,737433
19,prior corrective allocation,736396
19,post corrective allocation,738629
20,prior corrective allocation,734978
20,post corrective allocation,739386
21,prior corrective allocation,733100
21,post corrective allocation,738660
22,prior corrective allocation,731220
22,post corrective allocation,737356
23,prior corrective allocation,729177
23,post corrective allocation,735495
24,prior corrective allocation,727036
24,post corrective allocation,733608
25,prior corrective allocation,727178
25,post corrective allocation,733055
26,prior corrective allocation,726706
26,post corrective allocation,733702
27,prior corrective allocation,725763
27,post corrective allocation,733819
28,prior corrective allocation,723630
28,post corrective allocation,731981
29,prior corrective allocation,721043
29,post corrective allocation,730116
30,prior corrective allocation,718303
30,post corrective allocation,727994
31,prior corrective allocation,715800
31,post corrective allocation,725613
32,prior corrective allocation,716054
32,post corrective allocation,723921
33,prior corrective allocation,714863
33,post corrective allocation,722444
34,prior corrective allocation,714226
34,post corrective allocation,723864
35,prior corrective allocation,713665
35,post corrective allocation,723747
36,prior corrective allocation,712444
36,post corrective allocation,721193
37,prior corrective allocation,710134
37,post corrective allocation,716577
38,prior corrective allocation,707577
38,post corrective allocation,711389
39,prior corrective allocation,705041
39,post corrective allocation,706197
40,prior corrective allocation,702270
40,post corrective allocation,703145
41,prior corrective allocation,699505
41,post corrective allocation,700419
42,prior corrective allocation,696779
42,post corrective allocation,697720
43,prior corrective allocation,692370
43,post corrective allocation,691744
44,prior corrective allocation,691819
44,post corrective allocation,690517
45,prior corrective allocation,691225
45,post corrective allocation,689216
46,prior corrective allocation,690553
46,post corrective allocation,687895
47,prior corrective allocation,689811
47,post corrective allocation,686575
48,prior corrective allocation,689090
48,post corrective allocation,685434
49,prior corrective allocation,687968
49,post corrective allocation,684114
50,prior corrective allocation,686866
50,post corrective allocation,682814
51,prior corrective allocation,685691
51,post corrective allocation,681492
52,prior corrective allocation,684655
52,post corrective allocation,680337
53,prior corrective allocation,683448
53,post corrective allocation,679013
54,prior corrective allocation,680962
54,post corrective allocation,676420
55,prior corrective allocation,678529
55,post corrective allocation,673974
56,prior corrective allocation,675856
56,post corrective allocation,671372
57,prior corrective allocation,672693
57,post corrective allocation,668715
58,prior corrective allocation,669971
58,post corrective allocation,666242
59,prior corrective allocation,667223
59,post corrective allocation,663557
60,prior corrective allocation,664816
60,post corrective allocation,661015
61,prior corrective allocation,662017
61,post corrective allocation,658254
62,prior corrective allocation,659436
62,post corrective allocation,655671
63,prior corrective allocation,656793
63,post corrective allocation,653085
64,prior corrective allocation,652909
64,post corrective allocation,648149
65,prior corrective allocation,648724
65,post corrective allocation,644229
66,prior corrective allocation,644745
66,post corrective allocation,640411
67,prior corrective allocation,640549
67,post corrective allocation,636261
68,prior corrective allocation,636603
68,post corrective allocation,632305
69,prior corrective allocation,632403
69,post corrective allocation,628163
70,prior corrective allocation,628311
70,post corrective allocation,624160
71,prior corrective allocation,624107
71,post corrective allocation,620091
72,prior corrective allocation,619776
72,post corrective allocation,615970
73,prior corrective allocation,615314
73,post corrective allocation,611781
74,prior corrective allocation,610190
74,post corrective allocation,606788
75,prior corrective allocation,604830
75,post corrective allocation,601678
76,prior corrective allocation,599585
76,post corrective allocation,596460
77,prior corrective allocation,594348
77,post corrective allocation,591100
78,prior corrective allocation,589254
78,post corrective allocation,585668
79,prior corrective allocation,583995
79,post corrective allocation,580250
80,prior corrective allocation,577850
80,post corrective allocation,574389
81,prior corrective allocation,571777
81,post corrective allocation,569969
82,prior corrective allocation,565617
82,post corrective allocation,566072
83,prior corrective allocation,559603
83,post corrective allocation,562353
