time_step,class,pixels,percentage
1,degradation_low_net_forest,26,0.0
1,degradation_low_gross_forest,26,0.0
1,degradation_low_gross_minus_net_forest,0,0.0
1,degradation_moderate_net_forest,1243,0.0
1,degradation_moderate_gross_forest,1243,0.07
1,degradation_moderate_gross_minus_net_forest,0,0.0
1,degradation_severe_net_forest,104890,6.25
1,degradation_severe_gross_forest,104901,6.25
1,degradation_severe_gross_minus_net_forest,11,0.0
1,degradation_absolute_net_forest,0,0.0
1,degradation_absolute_net_disturbed_forest,cannot be calculated in time step 1,cannot be calculated in time step 1
1,degradation_absolute_net_undisturbed_forest,cannot be calculated in time step 1,cannot be calculated in time step 1
1,regeneration_low_net_forest,10892,0.65
1,regeneration_low_gross_forest,10897,0.65
1,regeneration_low_gross_minus_net_forest,5,0.0
1,regeneration_medium_net_forest,22775,1.36
1,regeneration_medium_gross_forest,22788,1.36
1,regeneration_medium_gross_minus_net_forest,13,0.0
1,regeneration_high_net_forest,161950,9.65
1,regeneration_high_gross_forest,161978,9.65
1,regeneration_high_gross_minus_net_forest,28,0.0
1,regeneration_full_net_forest,46918,2.8
1,regeneration_full_gross_forest,46925,2.8
1,regeneration_full_disturbed_net_forest,10392,0.62
1,regeneration_full_undisturbed_net_forest,36526,2.18
1,regeneration_full_disturbed_gross_minus_net_forest,1,0.0
1,regeneration_full_undisturbed_gross_minus_net_forest,6,0.0
2,degradation_low_net_forest,0,0.0
2,degradation_low_gross_forest,0,0.0
2,degradation_low_gross_minus_net_forest,0,0.0
2,degradation_moderate_net_forest,0,0.0
2,degradation_moderate_gross_forest,0,0.0
2,degradation_moderate_gross_minus_net_forest,0,0.0
2,degradation_severe_net_forest,3,0.0
2,degradation_severe_gross_forest,3,0.0
2,degradation_severe_gross_minus_net_forest,0,0.0
2,degradation_absolute_net_forest,1,0.0
2,degradation_absolute_net_disturbed_forest,1,0.0
2,degradation_absolute_net_undisturbed_forest,0,0.0
2,regeneration_low_net_forest,23463,1.4
2,regeneration_low_gross_forest,23564,1.4
2,regeneration_low_gross_minus_net_forest,101,0.01
2,regeneration_medium_net_forest,22222,1.32
2,regeneration_medium_gross_forest,22239,1.32
2,regeneration_medium_gross_minus_net_forest,17,0.0
2,regeneration_high_net_forest,134379,8.01
2,regeneration_high_gross_forest,134409,8.01
2,regeneration_high_gross_minus_net_forest,30,0.0
2,regeneration_full_net_forest,297550,17.73
2,regeneration_full_gross_forest,297592,17.73
2,regeneration_full_disturbed_net_forest,68627,4.09
2,regeneration_full_undisturbed_net_forest,228923,13.64
2,regeneration_full_disturbed_gross_minus_net_forest,4,0.0
2,regeneration_full_undisturbed_gross_minus_net_forest,35,0.0
3,degradation_low_net_forest,0,0.0
3,degradation_low_gross_forest,0,0.0
3,degradation_low_gross_minus_net_forest,0,0.0
3,degradation_moderate_net_forest,0,0.0
3,degradation_moderate_gross_forest,0,0.0
3,degradation_moderate_gross_minus_net_forest,0,0.0
3,degradation_severe_net_forest,0,0.0
3,degradation_severe_gross_forest,0,0.0
3,degradation_severe_gross_minus_net_forest,0,0.0
3,degradation_absolute_net_forest,0,0.0
3,degradation_absolute_net_disturbed_forest,0,0.0
3,degradation_absolute_net_undisturbed_forest,0,0.0
3,regeneration_low_net_forest,22633,1.35
3,regeneration_low_gross_forest,22713,1.35
3,regeneration_low_gross_minus_net_forest,80,0.0
3,regeneration_medium_net_forest,20103,1.2
3,regeneration_medium_gross_forest,20129,1.2
3,regeneration_medium_gross_minus_net_forest,26,0.0
3,regeneration_high_net_forest,112792,6.72
3,regeneration_high_gross_forest,112824,6.72
3,regeneration_high_gross_minus_net_forest,32,0.0
3,regeneration_full_net_forest,322049,19.19
3,regeneration_full_gross_forest,322105,19.19
3,regeneration_full_disturbed_net_forest,74546,4.44
3,regeneration_full_undisturbed_net_forest,247503,14.75
3,regeneration_full_disturbed_gross_minus_net_forest,5,0.0
3,regeneration_full_undisturbed_gross_minus_net_forest,36,0.0
4,degradation_low_net_forest,0,0.0
4,degradation_low_gross_forest,0,0.0
4,degradation_low_gross_minus_net_forest,0,0.0
4,degradation_moderate_net_forest,0,0.0
4,degradation_moderate_gross_forest,0,0.0
4,degradation_moderate_gross_minus_net_forest,0,0.0
4,degradation_severe_net_forest,0,0.0
4,degradation_severe_gross_forest,0,0.0
4,degradation_severe_gross_minus_net_forest,0,0.0
4,degradation_absolute_net_forest,44,0.0
4,degradation_absolute_net_disturbed_forest,44,0.0
4,degradation_absolute_net_undisturbed_forest,0,0.0
4,regeneration_low_net_forest,28046,1.67
4,regeneration_low_gross_forest,28087,1.67
4,regeneration_low_gross_minus_net_forest,41,0.0
4,regeneration_medium_net_forest,27849,1.66
4,regeneration_medium_gross_forest,27866,1.66
4,regeneration_medium_gross_minus_net_forest,17,0.0
4,regeneration_high_net_forest,67559,4.02
4,regeneration_high_gross_forest,67580,4.03
4,regeneration_high_gross_minus_net_forest,21,0.0
4,regeneration_full_net_forest,12893,0.77
4,regeneration_full_gross_forest,12894,0.77
4,regeneration_full_disturbed_net_forest,4346,0.26
4,regeneration_full_undisturbed_net_forest,8547,0.51
4,regeneration_full_disturbed_gross_minus_net_forest,0,0.0
4,regeneration_full_undisturbed_gross_minus_net_forest,1,0.0
5,degradation_low_net_forest,0,0.0
5,degradation_low_gross_forest,0,0.0
5,degradation_low_gross_minus_net_forest,0,0.0
5,degradation_moderate_net_forest,0,0.0
5,degradation_moderate_gross_forest,0,0.0
5,degradation_moderate_gross_minus_net_forest,0,0.0
5,degradation_severe_net_forest,0,0.0
5,degradation_severe_gross_forest,0,0.0
5,degradation_severe_gross_minus_net_forest,0,0.0
5,degradation_absolute_net_forest,0,0.0
5,degradation_absolute_net_disturbed_forest,0,0.0
5,degradation_absolute_net_undisturbed_forest,0,0.0
5,regeneration_low_net_forest,27460,1.64
5,regeneration_low_gross_forest,27495,1.64
5,regeneration_low_gross_minus_net_forest,35,0.0
5,regeneration_medium_net_forest,25729,1.53
5,regeneration_medium_gross_forest,25756,1.53
5,regeneration_medium_gross_minus_net_forest,27,0.0
5,regeneration_high_net_forest,60372,3.6
5,regeneration_high_gross_forest,60408,3.6
5,regeneration_high_gross_minus_net_forest,36,0.0
5,regeneration_full_net_forest,362085,21.57
5,regeneration_full_gross_forest,362156,21.58
5,regeneration_full_disturbed_net_forest,60376,3.6
5,regeneration_full_undisturbed_net_forest,301709,17.98
5,regeneration_full_disturbed_gross_minus_net_forest,4,0.0
5,regeneration_full_undisturbed_gross_minus_net_forest,50,0.0
6,degradation_low_net_forest,0,0.0
6,degradation_low_gross_forest,0,0.0
6,degradation_low_gross_minus_net_forest,0,0.0
6,degradation_moderate_net_forest,0,0.0
6,degradation_moderate_gross_forest,0,0.0
6,degradation_moderate_gross_minus_net_forest,0,0.0
6,degradation_severe_net_forest,0,0.0
6,degradation_severe_gross_forest,0,0.0
6,degradation_severe_gross_minus_net_forest,0,0.0
6,degradation_absolute_net_forest,0,0.0
6,degradation_absolute_net_disturbed_forest,0,0.0
6,degradation_absolute_net_undisturbed_forest,0,0.0
6,regeneration_low_net_forest,27657,1.65
6,regeneration_low_gross_forest,29429,1.75
6,regeneration_low_gross_minus_net_forest,1772,0.11
6,regeneration_medium_net_forest,24324,1.45
6,regeneration_medium_gross_forest,24373,1.45
6,regeneration_medium_gross_minus_net_forest,49,0.0
6,regeneration_high_net_forest,54548,3.25
6,regeneration_high_gross_forest,54587,3.25
6,regeneration_high_gross_minus_net_forest,39,0.0
6,regeneration_full_net_forest,369736,22.03
6,regeneration_full_gross_forest,369817,22.03
6,regeneration_full_disturbed_net_forest,63207,3.77
6,regeneration_full_undisturbed_net_forest,306529,18.26
6,regeneration_full_disturbed_gross_minus_net_forest,4,0.0
6,regeneration_full_undisturbed_gross_minus_net_forest,51,0.0
7,degradation_low_net_forest,0,0.0
7,degradation_low_gross_forest,0,0.0
7,degradation_low_gross_minus_net_forest,0,0.0
7,degradation_moderate_net_forest,0,0.0
7,degradation_moderate_gross_forest,0,0.0
