time_step,class,pixels,percentage
1,impacted_gross_forest_disturbed_undisturbed,337936,20.13
1,impacted_net_forest_disturbed_undisturbed,337910,30.55
1,impacted_gross_minus_net_forest_disturbed_undisturbed,26,0.0
2,impacted_gross_forest_disturbed_undisturbed,333008,19.84
2,impacted_net_forest_disturbed_undisturbed,332983,30.19
2,impacted_gross_minus_net_forest_disturbed_undisturbed,25,0.0
3,impacted_gross_forest_disturbed_undisturbed,328268,19.56
3,impacted_net_forest_disturbed_undisturbed,328240,29.85
3,impacted_gross_minus_net_forest_disturbed_undisturbed,28,0.0
4,impacted_gross_forest_disturbed_undisturbed,323562,19.28
4,impacted_net_forest_disturbed_undisturbed,323536,29.5
4,impacted_gross_minus_net_forest_disturbed_undisturbed,26,0.0
5,impacted_gross_forest_disturbed_undisturbed,318761,18.99
5,impacted_net_forest_disturbed_undisturbed,318738,29.15
5,impacted_gross_minus_net_forest_disturbed_undisturbed,23,0.0
6,impacted_gross_forest_disturbed_undisturbed,313976,18.71
6,impacted_net_forest_disturbed_undisturbed,313952,28.78
6,impacted_gross_minus_net_forest_disturbed_undisturbed,24,0.0
7,impacted_gross_forest_disturbed_undisturbed,309249,18.42
7,impacted_net_forest_disturbed_undisturbed,309225,28.39
7,impacted_gross_minus_net_forest_disturbed_undisturbed,24,0.0
8,impacted_gross_forest_disturbed_undisturbed,304561,18.14
8,impacted_net_forest_disturbed_undisturbed,304537,28.05
8,impacted_gross_minus_net_forest_disturbed_undisturbed,24,0.0
9,impacted_gross_forest_disturbed_undisturbed,299476,17.84
9,impacted_net_forest_disturbed_undisturbed,299452,27.67
9,impacted_gross_minus_net_forest_disturbed_undisturbed,24,0.0
10,impacted_gross_forest_disturbed_undisturbed,294514,17.55
10,impacted_net_forest_disturbed_undisturbed,294490,27.29
10,impacted_gross_minus_net_forest_disturbed_undisturbed,24,0.0
11,impacted_gross_forest_disturbed_undisturbed,289486,17.25
11,impacted_net_forest_disturbed_undisturbed,289463,26.91
11,impacted_gross_minus_net_forest_disturbed_undisturbed,23,0.0
12,impacted_gross_forest_disturbed_undisturbed,284453,16.95
12,impacted_net_forest_disturbed_undisturbed,284429,26.52
12,impacted_gross_minus_net_forest_disturbed_undisturbed,24,0.0
13,impacted_gross_forest_disturbed_undisturbed,279282,16.64
13,impacted_net_forest_disturbed_undisturbed,279258,26.13
13,impacted_gross_minus_net_forest_disturbed_undisturbed,24,0.0
14,impacted_gross_forest_disturbed_undisturbed,274495,16.35
14,impacted_net_forest_disturbed_undisturbed,274475,25.76
14,impacted_gross_minus_net_forest_disturbed_undisturbed,20,0.0
15,impacted_gross_forest_disturbed_undisturbed,269534,16.06
15,impacted_net_forest_disturbed_undisturbed,269507,25.37
15,impacted_gross_minus_net_forest_disturbed_undisturbed,27,0.0
16,impacted_gross_forest_disturbed_undisturbed,264449,15.76
16,impacted_net_forest_disturbed_undisturbed,264416,24.97
16,impacted_gross_minus_net_forest_disturbed_undisturbed,33,0.0
17,impacted_gross_forest_disturbed_undisturbed,259495,15.46
17,impacted_net_forest_disturbed_undisturbed,259454,24.58
17,impacted_gross_minus_net_forest_disturbed_undisturbed,41,0.0
18,impacted_gross_forest_disturbed_undisturbed,257475,15.34
18,impacted_net_forest_disturbed_undisturbed,254453,24.11
18,impacted_gross_minus_net_forest_disturbed_undisturbed,3022,0.29
19,impacted_gross_forest_disturbed_undisturbed,258581,15.41
19,impacted_net_forest_disturbed_undisturbed,252523,23.86
19,impacted_gross_minus_net_forest_disturbed_undisturbed,6058,0.57
20,impacted_gross_forest_disturbed_undisturbed,259431,15.46
20,impacted_net_forest_disturbed_undisturbed,250306,23.59
