time_step,class,pixels,percentage
1,gross_forest_all_forest_types,1106052,65.9
1,net_forest_total_disturbed_undisturbed,818001,48.73
1,gross_disturbed_forest,469364,27.96
1,gross_undisturbed_forest,348743,20.78
1,net_disturbed_forest,469329,27.96
1,net_undisturbed_forest,348672,20.77
1,gross_minus_net_disturbed_forest,35,0.0
1,gross_minus_net_undisturbed_forest,71,0.0
2,gross_forest_all_forest_types,1102813,65.7
2,net_forest_total_disturbed_undisturbed,813051,48.44
2,gross_disturbed_forest,464434,27.67
2,gross_undisturbed_forest,348722,20.78
2,net_disturbed_forest,464400,27.67
2,net_undisturbed_forest,348651,20.77
2,gross_minus_net_disturbed_forest,34,0.0
2,gross_minus_net_undisturbed_forest,71,0.0
3,gross_forest_all_forest_types,1099716,65.52
3,net_forest_total_disturbed_undisturbed,808277,48.16
3,gross_disturbed_forest,459663,27.39
3,gross_undisturbed_forest,348722,20.78
3,net_disturbed_forest,459626,27.38
3,net_undisturbed_forest,348651,20.77
3,gross_minus_net_disturbed_forest,37,0.0
3,gross_minus_net_undisturbed_forest,71,0.0
4,gross_forest_all_forest_types,1096680,65.34
4,net_forest_total_disturbed_undisturbed,803563,47.87
4,gross_disturbed_forest,454950,27.1
4,gross_undisturbed_forest,348722,20.78
4,net_disturbed_forest,454912,27.1
4,net_undisturbed_forest,348651,20.77
4,gross_minus_net_disturbed_forest,38,0.0
4,gross_minus_net_undisturbed_forest,71,0.0
5,gross_forest_all_forest_types,1093527,65.15
5,net_forest_total_disturbed_undisturbed,798722,47.59
5,gross_disturbed_forest,450106,26.82
5,gross_undisturbed_forest,348722,20.78
5,net_disturbed_forest,450071,26.81
5,net_undisturbed_forest,348651,20.77
5,gross_minus_net_disturbed_forest,35,0.0
5,gross_minus_net_undisturbed_forest,71,0.0
6,gross_forest_all_forest_types,1091048,65.0
6,net_forest_total_disturbed_undisturbed,794466,47.33
6,gross_disturbed_forest,445873,26.56
6,gross_undisturbed_forest,348722,20.78
6,net_disturbed_forest,445815,26.56
