time_step,type,AGB,Carbon
1,potential_maximum_undisturbed_AGB,295296704.0,147648352.0
1,initial_AGB_gross_forest_simulation_start,227781376.0,113890688.0
1,final_total_AGB_gross_forest,150936928.0,75468464.0
1,final_total_AGB_net_forest,119325600.0,59662800.0
1,final_total_AGB_gross_minus_net_forest,31611328.0,15805664.0
1,final_total_AGB_agroforestry,31591810.0,15795905.0
1,final_total_AGB_plantation,user-defined not considered gross forest,user-defined not considered gross forest
1,final_total_AGB_gross_disturbed_forest,24321170.0,12160585.0
1,final_total_AGB_net_disturbed_forest,24319052.0,12160585.0
1,final_total_AGB_gross_minus_net_disturbed_forest,2118.0,0.0
1,final_total_AGB_gross_undisturbed_forest,95023952.0,47511976.0
1,final_total_AGB_net_undisturbed_forest,95006552.0,47503276.0
1,final_total_AGB_gross_minus_net_undisturbed_forest,17400.0,8700.0
2,potential_maximum_undisturbed_AGB,295296704.0,147648352.0
2,initial_AGB_gross_forest_simulation_start,227781376.0,113890688.0
2,final_total_AGB_gross_forest,149623104.0,74811552.0
2,final_total_AGB_net_forest,116783056.0,58391528.0
2,final_total_AGB_gross_minus_net_forest,32840048.0,16420024.0
2,final_total_AGB_agroforestry,32820684.0,16410342.0
2,final_total_AGB_plantation,user-defined not considered gross forest,user-defined not considered gross forest
2,final_total_AGB_gross_disturbed_forest,21372686.0,10686343.0
2,final_total_AGB_net_disturbed_forest,21370844.0,10686343.0
2,final_total_AGB_gross_minus_net_disturbed_forest,1842.0,0.0
2,final_total_AGB_gross_undisturbed_forest,95429728.0,47714864.0
2,final_total_AGB_net_undisturbed_forest,95412208.0,47706104.0
2,final_total_AGB_gross_minus_net_undisturbed_forest,17520.0,8760.0
3,potential_maximum_undisturbed_AGB,295296704.0,147648352.0
3,initial_AGB_gross_forest_simulation_start,227781376.0,113890688.0
3,final_total_AGB_gross_forest,151284000.0,75642000.0
3,final_total_AGB_net_forest,117293768.0,58646884.0
3,final_total_AGB_gross_minus_net_forest,33990232.0,16995116.0
3,final_total_AGB_agroforestry,33970720.0,16985360.0
3,final_total_AGB_plantation,user-defined not considered gross forest,user-defined not considered gross forest
3,final_total_AGB_gross_disturbed_forest,21540070.0,10770035.0
3,final_total_AGB_net_disturbed_forest,21538188.0,10770035.0
3,final_total_AGB_gross_minus_net_disturbed_forest,1882.0,0.0
3,final_total_AGB_gross_undisturbed_forest,95773208.0,47886604.0
3,final_total_AGB_net_undisturbed_forest,95755576.0,47877788.0
3,final_total_AGB_gross_minus_net_undisturbed_forest,17632.0,8816.0
4,potential_maximum_undisturbed_AGB,277411136.0,138705568.0
4,initial_AGB_gross_forest_simulation_start,227781376.0,113890688.0
4,final_total_AGB_gross_forest,131705032.0,65852516.0
4,final_total_AGB_net_forest,97835352.0,48917676.0
4,final_total_AGB_gross_minus_net_forest,33869680.0,16934840.0
4,final_total_AGB_agroforestry,33853460.0,16926730.0
4,final_total_AGB_plantation,user-defined not considered gross forest,user-defined not considered gross forest
4,final_total_AGB_gross_disturbed_forest,19301672.0,9650836.0
4,final_total_AGB_net_disturbed_forest,19299880.0,9650836.0
4,final_total_AGB_gross_minus_net_disturbed_forest,1792.0,0.0
4,final_total_AGB_gross_undisturbed_forest,78549904.0,39274952.0
4,final_total_AGB_net_undisturbed_forest,78535472.0,39267736.0
4,final_total_AGB_gross_minus_net_undisturbed_forest,14432.0,7216.0
5,potential_maximum_undisturbed_AGB,277411136.0,138705568.0
5,initial_AGB_gross_forest_simulation_start,227781376.0,113890688.0
5,final_total_AGB_gross_forest,133532384.0,66766192.0
5,final_total_AGB_net_forest,98193128.0,49096564.0
5,final_total_AGB_gross_minus_net_forest,35339256.0,17669628.0
5,final_total_AGB_agroforestry,35322928.0,17661464.0
5,final_total_AGB_plantation,user-defined not considered gross forest,user-defined not considered gross forest
5,final_total_AGB_gross_disturbed_forest,19505180.0,9752590.0
5,final_total_AGB_net_disturbed_forest,19503352.0,9752590.0
5,final_total_AGB_gross_minus_net_disturbed_forest,1828.0,0.0
5,final_total_AGB_gross_undisturbed_forest,78704272.0,39352136.0
5,final_total_AGB_net_undisturbed_forest,78689776.0,39344888.0
5,final_total_AGB_gross_minus_net_undisturbed_forest,14496.0,7248.0
6,potential_maximum_undisturbed_AGB,277411136.0,138705568.0
6,initial_AGB_gross_forest_simulation_start,227781376.0,113890688.0
6,final_total_AGB_gross_forest,135294832.0,67647416.0
6,final_total_AGB_net_forest,98535776.0,49267888.0
6,final_total_AGB_gross_minus_net_forest,36759056.0,18379528.0
6,final_total_AGB_agroforestry,36742312.0,18371156.0
6,final_total_AGB_plantation,user-defined not considered gross forest,user-defined not considered gross forest
6,final_total_AGB_gross_disturbed_forest,19709766.0,9854883.0
6,final_total_AGB_net_disturbed_forest,19707588.0,9854883.0
6,final_total_AGB_gross_minus_net_disturbed_forest,2178.0,0.0
6,final_total_AGB_gross_undisturbed_forest,78842752.0,39421376.0
6,final_total_AGB_net_undisturbed_forest,78828192.0,39414096.0
6,final_total_AGB_gross_minus_net_undisturbed_forest,14560.0,7280.0
7,potential_maximum_undisturbed_AGB,277411136.0,138705568.0
7,initial_AGB_gross_forest_simulation_start,227781376.0,113890688.0
7,final_total_AGB_gross_forest,136995104.0,68497552.0
7,final_total_AGB_net_forest,98874648.0,49437324.0
7,final_total_AGB_gross_minus_net_forest,38120456.0,19060228.0
7,final_total_AGB_agroforestry,38102440.0,19051220.0
7,final_total_AGB_plantation,user-defined not considered gross forest,user-defined not considered gross forest
7,final_total_AGB_gross_disturbed_forest,19925438.0,9962719.0
7,final_total_AGB_net_disturbed_forest,19922038.0,9962719.0
7,final_total_AGB_gross_minus_net_disturbed_forest,3400.0,0.0
7,final_total_AGB_gross_undisturbed_forest,78967232.0,39483616.0
7,final_total_AGB_net_undisturbed_forest,78952608.0,39476304.0
7,final_total_AGB_gross_minus_net_undisturbed_forest,14624.0,7312.0
8,potential_maximum_undisturbed_AGB,277411136.0,138705568.0
8,initial_AGB_gross_forest_simulation_start,227781376.0,113890688.0
8,final_total_AGB_gross_forest,138557536.0,69278768.0
8,final_total_AGB_net_forest,99135376.0,49567688.0
8,final_total_AGB_gross_minus_net_forest,39422160.0,19711080.0
8,final_total_AGB_agroforestry,39403924.0,19701962.0
8,final_total_AGB_plantation,user-defined not considered gross forest,user-defined not considered gross forest
8,final_total_AGB_gross_disturbed_forest,20076150.0,10038075.0
8,final_total_AGB_net_disturbed_forest,20072596.0,10038075.0
8,final_total_AGB_gross_minus_net_disturbed_forest,3554.0,0.0
8,final_total_AGB_gross_undisturbed_forest,79077464.0,39538732.0
8,final_total_AGB_net_undisturbed_forest,79062776.0,39531388.0
8,final_total_AGB_gross_minus_net_undisturbed_forest,14688.0,7344.0
9,potential_maximum_undisturbed_AGB,277411136.0,138705568.0
9,initial_AGB_gross_forest_simulation_start,227781376.0,113890688.0
9,final_total_AGB_gross_forest,140070016.0,70035008.0
9,final_total_AGB_net_forest,99406432.0,49703216.0
9,final_total_AGB_gross_minus_net_forest,40663584.0,20331792.0
9,final_total_AGB_agroforestry,40645096.0,20322548.0
