time_step,LUT_code,pixels
1,LUT08,79542
1,LUT09,255794
2,LUT08,79542
2,LUT09,255794
3,LUT08,79542
3,LUT09,255794
4,LUT08,79545
4,LUT09,255794
5,LUT08,79571
5,LUT09,255794
6,LUT08,79572
6,LUT09,255794
7,LUT08,80110
7,LUT09,255794
8,LUT08,81036
8,LUT09,255794
9,LUT08,81039
9,LUT09,255794
10,LUT08,81039
10,LUT09,255794
11,LUT08,81039
11,LUT09,255794
12,LUT08,81040
12,LUT09,255793
13,LUT08,81041
13,LUT09,255792
14,LUT08,81042
14,LUT09,255791
15,LUT08,81043
15,LUT09,255790
16,LUT08,81043
16,LUT09,255790
17,LUT08,81043
17,LUT09,255790
18,LUT08,81043
18,LUT09,255790
19,LUT08,81047
19,LUT09,255790
20,LUT08,81055
20,LUT09,255790
21,LUT08,81057
21,LUT09,255790
22,LUT08,81061
22,LUT09,255790
23,LUT08,81066
23,LUT09,255785
24,LUT08,81070
24,LUT09,255784
25,LUT08,81072
25,LUT09,255783
26,LUT08,81094
26,LUT09,255783
27,LUT08,81098
27,LUT09,255783
28,LUT08,81102
28,LUT09,255782
29,LUT08,81105
29,LUT09,255779
30,LUT08,81119
30,LUT09,255778
31,LUT08,81126
31,LUT09,255773
32,LUT08,81128
32,LUT09,255771
33,LUT08,81301
33,LUT09,255585
34,LUT08,81302
34,LUT09,255580
35,LUT08,81304
35,LUT09,255578
36,LUT08,81311
36,LUT09,255571
37,LUT08,81323
37,LUT09,255559
38,LUT08,81342
38,LUT09,255540
39,LUT08,81358
39,LUT09,255524
40,LUT08,81391
40,LUT09,255499
41,LUT08,81458
41,LUT09,255470
42,LUT08,81553
42,LUT09,255423
43,LUT08,81644
43,LUT09,255388
44,LUT08,81649
44,LUT09,255383
45,LUT08,81651
45,LUT09,255381
46,LUT08,81655
46,LUT09,255377
47,LUT08,81660
47,LUT09,255372
48,LUT08,81666
48,LUT09,255366
49,LUT08,81675
49,LUT09,255357
50,LUT08,81680
50,LUT09,255352
51,LUT08,81690
51,LUT09,255342
52,LUT08,81692
52,LUT09,255341
53,LUT08,81697
53,LUT09,255336
54,LUT08,81728
54,LUT09,255308
55,LUT08,81769
55,LUT09,255272
56,LUT08,81806
56,LUT09,255238
57,LUT08,81843
57,LUT09,255203
58,LUT08,81869
58,LUT09,255178
59,LUT08,81912
59,LUT09,255137
60,LUT08,81953
60,LUT09,255097
61,LUT08,81959
61,LUT09,255091
62,LUT08,81961
62,LUT09,255089
63,LUT08,81968
63,LUT09,255082
64,LUT08,81979
64,LUT09,255071
65,LUT08,73076
65,LUT09,263974
66,LUT08,82012
66,LUT09,255038
67,LUT08,82055
67,LUT09,254995
68,LUT08,82080
68,LUT09,254970
69,LUT08,82099
69,LUT09,254951
70,LUT08,82126
70,LUT09,254924
71,LUT08,82154
71,LUT09,254896
72,LUT08,82189
72,LUT09,254861
73,LUT08,82225
73,LUT09,254825
74,LUT08,82279
74,LUT09,254771
75,LUT08,82318
75,LUT09,254732
76,LUT08,82371
76,LUT09,254679
77,LUT08,82448
77,LUT09,254602
78,LUT08,82550
78,LUT09,254500
79,LUT08,82683
79,LUT09,254367
80,LUT08,82864
80,LUT09,254186
81,LUT08,82991
81,LUT09,254059
82,LUT08,83135
82,LUT09,253915
83,LUT08,83303
83,LUT09,253747
