time_step,LUT_code,unit,area
1,LUT01,ha,0
1,LUT02,ha,0
1,LUT03,ha,0
1,LUT04,ha,0
1,LUT05,ha,0
2,LUT01,ha,0
2,LUT02,ha,0
2,LUT03,ha,0
2,LUT04,ha,0
2,LUT05,ha,-15696
3,LUT01,ha,0
3,LUT02,ha,0
3,LUT03,ha,0
3,LUT04,ha,0
3,LUT05,ha,-29334
4,LUT01,ha,0
4,LUT02,ha,0
4,LUT03,ha,0
4,LUT04,ha,0
4,LUT05,ha,-41184
5,LUT01,ha,0
5,LUT02,ha,0
5,LUT03,ha,0
5,LUT04,ha,0
5,LUT05,ha,-51481
6,LUT01,ha,0
6,LUT02,ha,0
6,LUT03,ha,0
6,LUT04,ha,0
6,LUT05,ha,-60428
7,LUT01,ha,0
7,LUT02,ha,0
7,LUT03,ha,0
7,LUT04,ha,0
7,LUT05,ha,-68202
8,LUT01,ha,0
8,LUT02,ha,0
8,LUT03,ha,0
8,LUT04,ha,0
8,LUT05,ha,-74956
9,LUT01,ha,0
9,LUT02,ha,0
9,LUT03,ha,0
9,LUT04,ha,0
9,LUT05,ha,-80826
10,LUT01,ha,0
10,LUT02,ha,0
10,LUT03,ha,0
10,LUT04,ha,0
10,LUT05,ha,-85925
11,LUT01,ha,0
11,LUT02,ha,0
11,LUT03,ha,0
11,LUT04,ha,0
11,LUT05,ha,-90356
12,LUT01,ha,0
12,LUT02,ha,0
12,LUT03,ha,0
12,LUT04,ha,0
12,LUT05,ha,-94207
13,LUT01,ha,0
13,LUT02,ha,0
13,LUT03,ha,0
13,LUT04,ha,0
13,LUT05,ha,-97552
14,LUT01,ha,0
14,LUT02,ha,0
14,LUT03,ha,0
14,LUT04,ha,0
14,LUT05,ha,-100459
15,LUT01,ha,0
15,LUT02,ha,0
15,LUT03,ha,0
15,LUT04,ha,0
15,LUT05,ha,-102985
16,LUT01,ha,0
16,LUT02,ha,0
16,LUT03,ha,0
16,LUT04,ha,0
16,LUT05,ha,-105177
17,LUT01,ha,0
17,LUT02,ha,0
17,LUT03,ha,0
17,LUT04,ha,0
17,LUT05,ha,-103881
18,LUT01,ha,0
18,LUT02,ha,0
18,LUT03,ha,0
18,LUT04,ha,0
18,LUT05,ha,-91243
19,LUT01,ha,0
19,LUT02,ha,0
19,LUT03,ha,0
19,LUT04,ha,0
19,LUT05,ha,-89460
20,LUT01,ha,0
20,LUT02,ha,0
20,LUT03,ha,0
20,LUT04,ha,0
20,LUT05,ha,-87439
21,LUT01,ha,0
21,LUT02,ha,0
21,LUT03,ha,0
21,LUT04,ha,0
21,LUT05,ha,-85192
22,LUT01,ha,0
22,LUT02,ha,0
22,LUT03,ha,0
22,LUT04,ha,0
22,LUT05,ha,-82762
23,LUT01,ha,0
23,LUT02,ha,0
23,LUT03,ha,0
23,LUT04,ha,0
23,LUT05,ha,-80290
24,LUT01,ha,0
24,LUT02,ha,0
24,LUT03,ha,0
24,LUT04,ha,0
24,LUT05,ha,-77705
25,LUT01,ha,0
25,LUT02,ha,0
25,LUT03,ha,0
25,LUT04,ha,0
25,LUT05,ha,-66720
26,LUT01,ha,0
26,LUT02,ha,0
26,LUT03,ha,0
26,LUT04,ha,0
26,LUT05,ha,-63787
27,LUT01,ha,0
27,LUT02,ha,0
27,LUT03,ha,0
27,LUT04,ha,0
27,LUT05,ha,-60894
28,LUT01,ha,0
28,LUT02,ha,0
28,LUT03,ha,0
28,LUT04,ha,0
28,LUT05,ha,-58080
29,LUT01,ha,0
29,LUT02,ha,0
29,LUT03,ha,0
29,LUT04,ha,0
29,LUT05,ha,-55058
30,LUT01,ha,0
30,LUT02,ha,0
30,LUT03,ha,0
30,LUT04,ha,0
30,LUT05,ha,-52098
31,LUT01,ha,0
31,LUT02,ha,0
31,LUT03,ha,0
31,LUT04,ha,0
31,LUT05,ha,-49033
32,LUT01,ha,0
32,LUT02,ha,0
32,LUT03,ha,0
32,LUT04,ha,0
32,LUT05,ha,-45971
33,LUT01,ha,0
33,LUT02,ha,0
33,LUT03,ha,0
33,LUT04,ha,0
33,LUT05,ha,-42831
34,LUT01,ha,0
34,LUT02,ha,0
34,LUT03,ha,0
34,LUT04,ha,0
34,LUT05,ha,-37982
35,LUT01,ha,0
35,LUT02,ha,0
35,LUT03,ha,0
35,LUT04,ha,0
35,LUT05,ha,-32424
36,LUT01,ha,0
36,LUT02,ha,0
36,LUT03,ha,0
36,LUT04,ha,0
36,LUT05,ha,-29199
37,LUT01,ha,0
37,LUT02,ha,0
37,LUT03,ha,0
37,LUT04,ha,0
37,LUT05,ha,-27851
38,LUT01,ha,0
38,LUT02,ha,0
38,LUT03,ha,0
38,LUT04,ha,0
38,LUT05,ha,-26805
39,LUT01,ha,0
39,LUT02,ha,0
39,LUT03,ha,0
39,LUT04,ha,0
39,LUT05,ha,-23488
40,LUT01,ha,0
40,LUT02,ha,0
40,LUT03,ha,0
40,LUT04,ha,0
40,LUT05,ha,-20223
41,LUT01,ha,0
41,LUT02,ha,0
41,LUT03,ha,0
41,LUT04,ha,0
41,LUT05,ha,-16824
42,LUT01,ha,0
42,LUT02,ha,0
42,LUT03,ha,0
42,LUT04,ha,0
42,LUT05,ha,-16880
43,LUT01,ha,0
43,LUT02,ha,0
43,LUT03,ha,0
43,LUT04,ha,0
43,LUT05,ha,-16930
44,LUT01,ha,-2
44,LUT02,ha,0
44,LUT03,ha,0
44,LUT04,ha,0
44,LUT05,ha,-16973
45,LUT01,ha,-3
45,LUT02,ha,0
45,LUT03,ha,0
45,LUT04,ha,0
45,LUT05,ha,-17010
46,LUT01,ha,-2
46,LUT02,ha,0
46,LUT03,ha,0
46,LUT04,ha,0
46,LUT05,ha,-17042
47,LUT01,ha,-2
47,LUT02,ha,0
47,LUT03,ha,0
47,LUT04,ha,0
47,LUT05,ha,-17070
48,LUT01,ha,-2
48,LUT02,ha,0
48,LUT03,ha,0
48,LUT04,ha,0
48,LUT05,ha,-17095
49,LUT01,ha,-3
49,LUT02,ha,0
49,LUT03,ha,0
49,LUT04,ha,0
49,LUT05,ha,-17116
50,LUT01,ha,-2
50,LUT02,ha,0
50,LUT03,ha,0
50,LUT04,ha,0
50,LUT05,ha,-17135
51,LUT01,ha,-2
51,LUT02,ha,0
51,LUT03,ha,0
51,LUT04,ha,0
51,LUT05,ha,-17151
52,LUT01,ha,-2
52,LUT02,ha,0
52,LUT03,ha,0
52,LUT04,ha,0
52,LUT05,ha,-17165
53,LUT01,ha,-2
53,LUT02,ha,0
53,LUT03,ha,0
53,LUT04,ha,0
53,LUT05,ha,-17177
54,LUT01,ha,-103
54,LUT02,ha,0
54,LUT03,ha,0
54,LUT04,ha,0
54,LUT05,ha,-17187
55,LUT01,ha,-103
55,LUT02,ha,0
55,LUT03,ha,0
55,LUT04,ha,0
55,LUT05,ha,-17196
56,LUT01,ha,-103
56,LUT02,ha,0
56,LUT03,ha,0
56,LUT04,ha,0
56,LUT05,ha,-17204
57,LUT01,ha,-103
57,LUT02,ha,0
57,LUT03,ha,0
57,LUT04,ha,0
57,LUT05,ha,-17211
58,LUT01,ha,-104
58,LUT02,ha,0
58,LUT03,ha,0
58,LUT04,ha,0
58,LUT05,ha,-17217
59,LUT01,ha,-104
59,LUT02,ha,0
59,LUT03,ha,0
59,LUT04,ha,0
59,LUT05,ha,-17222
60,LUT01,ha,-104
60,LUT02,ha,0
60,LUT03,ha,0
60,LUT04,ha,0
60,LUT05,ha,-17227
61,LUT01,ha,-104
61,LUT02,ha,0
61,LUT03,ha,0
61,LUT04,ha,0
61,LUT05,ha,-17231
62,LUT01,ha,-104
62,LUT02,ha,0
62,LUT03,ha,0
62,LUT04,ha,0
62,LUT05,ha,-17234
63,LUT01,ha,-104
63,LUT02,ha,0
63,LUT03,ha,0
63,LUT04,ha,0
63,LUT05,ha,-17237
64,LUT01,ha,-196
64,LUT02,ha,0
64,LUT03,ha,0
64,LUT04,ha,0
64,LUT05,ha,-17240
65,LUT01,ha,-197
65,LUT02,ha,0
65,LUT03,ha,0
65,LUT04,ha,0
65,LUT05,ha,-17242
66,LUT01,ha,-197
66,LUT02,ha,0
66,LUT03,ha,0
66,LUT04,ha,0
66,LUT05,ha,-17244
67,LUT01,ha,-198
67,LUT02,ha,0
67,LUT03,ha,0
67,LUT04,ha,0
67,LUT05,ha,-17246
68,LUT01,ha,-198
68,LUT02,ha,0
68,LUT03,ha,0
68,LUT04,ha,0
68,LUT05,ha,-17247
69,LUT01,ha,-199
69,LUT02,ha,0
69,LUT03,ha,0
69,LUT04,ha,0
69,LUT05,ha,-17249
70,LUT01,ha,-200
70,LUT02,ha,0
70,LUT03,ha,0
70,LUT04,ha,0
70,LUT05,ha,-17250
71,LUT01,ha,-200
71,LUT02,ha,0
71,LUT03,ha,0
71,LUT04,ha,0
71,LUT05,ha,-17251
72,LUT01,ha,-201
72,LUT02,ha,0
72,LUT03,ha,0
72,LUT04,ha,0
72,LUT05,ha,-17251
73,LUT01,ha,-201
73,LUT02,ha,0
73,LUT03,ha,0
73,LUT04,ha,0
73,LUT05,ha,-17252
74,LUT01,ha,-255
74,LUT02,ha,0
74,LUT03,ha,0
74,LUT04,ha,0
74,LUT05,ha,-17253
75,LUT01,ha,-256
75,LUT02,ha,0
75,LUT03,ha,0
75,LUT04,ha,0
75,LUT05,ha,-17253
76,LUT01,ha,-256
76,LUT02,ha,0
76,LUT03,ha,0
76,LUT04,ha,0
76,LUT05,ha,-17254
77,LUT01,ha,-257
77,LUT02,ha,0
77,LUT03,ha,0
77,LUT04,ha,0
77,LUT05,ha,-17254
78,LUT01,ha,-258
78,LUT02,ha,0
78,LUT03,ha,0
78,LUT04,ha,0
78,LUT05,ha,-17255
79,LUT01,ha,-259
79,LUT02,ha,0
79,LUT03,ha,0
79,LUT04,ha,0
79,LUT05,ha,-17255
80,LUT01,ha,-260
80,LUT02,ha,0
80,LUT03,ha,0
