time_step,class,pixels,percentage
1,0 %,0,0.0
1,>0 - 20 %,0,0.0
1,>20 - 40 %,19,0.0
1,>40 - 60 %,1383,0.08
1,>60 - 80 %,2422,0.14
1,>80 - <100 %,3962,0.24
1,100 %,1670702,99.54
2,0 %,0,0.0
2,>0 - 20 %,2787,0.17
2,>20 - 40 %,1927,0.11
2,>40 - 60 %,2555,0.15
2,>60 - 80 %,4970,0.3
2,>80 - <100 %,62031,3.7
2,100 %,1604218,95.58
3,0 %,0,0.0
3,>0 - 20 %,12,0.0
3,>20 - 40 %,117,0.01
3,>40 - 60 %,4668,0.28
3,>60 - 80 %,10460,0.62
3,>80 - <100 %,70988,4.23
3,100 %,1592243,94.86
4,0 %,0,0.0
4,>0 - 20 %,11,0.0
4,>20 - 40 %,161,0.01
4,>40 - 60 %,6035,0.36
4,>60 - 80 %,13394,0.8
4,>80 - <100 %,76609,4.56
4,100 %,1582278,94.27
5,0 %,0,0.0
5,>0 - 20 %,7,0.0
5,>20 - 40 %,167,0.01
5,>40 - 60 %,7543,0.45
5,>60 - 80 %,16516,0.98
5,>80 - <100 %,79861,4.76
5,100 %,1574394,93.8
6,0 %,0,0.0
6,>0 - 20 %,14,0.0
6,>20 - 40 %,1279,0.08
6,>40 - 60 %,9687,0.58
6,>60 - 80 %,18210,1.08
6,>80 - <100 %,82373,4.91
6,100 %,1566925,93.35
7,0 %,0,0.0
7,>0 - 20 %,18,0.0
7,>20 - 40 %,267,0.02
7,>40 - 60 %,10843,0.65
7,>60 - 80 %,22730,1.35
7,>80 - <100 %,85662,5.1
7,100 %,1558968,92.88
8,0 %,0,0.0
8,>0 - 20 %,17,0.0
8,>20 - 40 %,388,0.02
8,>40 - 60 %,12318,0.73
8,>60 - 80 %,25672,1.53
8,>80 - <100 %,88756,5.29
8,100 %,1551337,92.42
9,0 %,0,0.0
9,>0 - 20 %,30,0.0
9,>20 - 40 %,539,0.03
9,>40 - 60 %,13774,0.82
9,>60 - 80 %,28210,1.68
9,>80 - <100 %,93075,5.55
9,100 %,1542860,91.92
10,0 %,0,0.0
10,>0 - 20 %,8,0.0
10,>20 - 40 %,657,0.04
10,>40 - 60 %,14975,0.89
10,>60 - 80 %,31007,1.85
10,>80 - <100 %,95828,5.71
10,100 %,1536013,91.51
11,0 %,0,0.0
11,>0 - 20 %,0,0.0
11,>20 - 40 %,805,0.05
11,>40 - 60 %,16181,0.96
11,>60 - 80 %,34888,2.08
11,>80 - <100 %,38854,2.31
11,100 %,1587760,94.59
12,0 %,0,0.0
12,>0 - 20 %,933,0.06
12,>20 - 40 %,1532,0.09
12,>40 - 60 %,17326,1.03
12,>60 - 80 %,39097,2.33
12,>80 - <100 %,38433,2.29
12,100 %,1581167,94.2
13,0 %,0,0.0
13,>0 - 20 %,17,0.0
13,>20 - 40 %,1073,0.06
13,>40 - 60 %,19169,1.14
13,>60 - 80 %,43571,2.6
13,>80 - <100 %,40005,2.38
13,100 %,1574653,93.81
14,0 %,0,0.0
14,>0 - 20 %,19,0.0
14,>20 - 40 %,1272,0.08
14,>40 - 60 %,21112,1.26
14,>60 - 80 %,46698,2.78
14,>80 - <100 %,40276,2.4
14,100 %,1569111,93.48
15,0 %,0,0.0
15,>0 - 20 %,21,0.0
15,>20 - 40 %,1396,0.08
15,>40 - 60 %,23148,1.38
15,>60 - 80 %,49795,2.97
15,>80 - <100 %,40982,2.44
15,100 %,1563146,93.13
16,0 %,0,0.0
16,>0 - 20 %,27,0.0
16,>20 - 40 %,1830,0.11
16,>40 - 60 %,24837,1.48
16,>60 - 80 %,52835,3.15
16,>80 - <100 %,41260,2.46
16,100 %,1557699,92.8
17,0 %,0,0.0
17,>0 - 20 %,89,0.01
17,>20 - 40 %,2352,0.14
17,>40 - 60 %,26308,1.57
17,>60 - 80 %,55462,3.3
17,>80 - <100 %,113475,6.76
17,100 %,1480802,88.22
18,0 %,0,0.0
18,>0 - 20 %,22,0.0
18,>20 - 40 %,3136,0.19
18,>40 - 60 %,28334,1.69
18,>60 - 80 %,55963,3.33
18,>80 - <100 %,124098,7.39
18,100 %,1466935,87.4
19,0 %,0,0.0
19,>0 - 20 %,4,0.0
19,>20 - 40 %,4132,0.25
19,>40 - 60 %,30348,1.81
19,>60 - 80 %,62068,3.7
19,>80 - <100 %,122721,7.31
19,100 %,1459215,86.94
20,0 %,0,0.0
20,>0 - 20 %,14,0.0
20,>20 - 40 %,4792,0.29
20,>40 - 60 %,32067,1.91
20,>60 - 80 %,78271,4.66
20,>80 - <100 %,108680,6.47
20,100 %,1454664,86.67
21,0 %,0,0.0
21,>0 - 20 %,35,0.0
21,>20 - 40 %,6492,0.39
21,>40 - 60 %,33043,1.97
21,>60 - 80 %,100770,6.0
21,>80 - <100 %,87210,5.2
21,100 %,1450938,86.44
22,0 %,0,0.0
22,>0 - 20 %,39,0.0
22,>20 - 40 %,8430,0.5
22,>40 - 60 %,34454,2.05
22,>60 - 80 %,119856,7.14
22,>80 - <100 %,68070,4.06
22,100 %,1447639,86.25
23,0 %,0,0.0
23,>0 - 20 %,26,0.0
23,>20 - 40 %,10014,0.6
23,>40 - 60 %,37933,2.26
23,>60 - 80 %,128969,7.68
23,>80 - <100 %,57053,3.4
23,100 %,1444493,86.06
24,0 %,0,0.0
24,>0 - 20 %,6540,0.39
24,>20 - 40 %,11367,0.68
24,>40 - 60 %,42964,2.56
24,>60 - 80 %,123151,7.34
24,>80 - <100 %,52571,3.13
24,100 %,1441895,85.9
25,0 %,0,0.0
25,>0 - 20 %,9248,0.55
25,>20 - 40 %,12354,0.74
25,>40 - 60 %,51749,3.08
25,>60 - 80 %,114166,6.8
25,>80 - <100 %,51395,3.06
25,100 %,1439576,85.77
26,0 %,0,0.0
26,>0 - 20 %,10619,0.63
26,>20 - 40 %,13664,0.81
26,>40 - 60 %,66422,3.96
26,>60 - 80 %,100578,5.99
26,>80 - <100 %,52585,3.13
26,100 %,1434620,85.47
27,0 %,0,0.0
27,>0 - 20 %,11406,0.68
27,>20 - 40 %,14924,0.89
27,>40 - 60 %,82961,4.94
27,>60 - 80 %,85058,5.07
27,>80 - <100 %,52841,3.15
27,100 %,1431298,85.27
28,0 %,0,0.0
28,>0 - 20 %,10919,0.65
28,>20 - 40 %,16151,0.96
28,>40 - 60 %,95071,5.66
28,>60 - 80 %,74085,4.41
28,>80 - <100 %,53378,3.18
28,100 %,1428884,85.13
29,0 %,0,0.0
29,>0 - 20 %,9913,0.59
29,>20 - 40 %,18087,1.08
29,>40 - 60 %,100876,6.01
29,>60 - 80 %,69224,4.12
29,>80 - <100 %,53634,3.2
29,100 %,1426754,85.0
30,0 %,0,0.0
30,>0 - 20 %,8850,0.53
30,>20 - 40 %,21060,1.25
30,>40 - 60 %,101425,6.04
30,>60 - 80 %,68705,4.09
30,>80 - <100 %,53777,3.2
30,100 %,1424671,84.88
31,0 %,0,0.0
31,>0 - 20 %,6950,0.41
31,>20 - 40 %,25331,1.51
31,>40 - 60 %,98095,5.84
31,>60 - 80 %,71187,4.24
31,>80 - <100 %,54015,3.22
31,100 %,1422910,84.77
32,0 %,0,0.0
32,>0 - 20 %,4970,0.3
32,>20 - 40 %,35696,2.13
32,>40 - 60 %,87204,5.2
32,>60 - 80 %,75966,4.53
32,>80 - <100 %,116867,6.96
32,100 %,1357785,80.89
33,0 %,0,0.0
33,>0 - 20 %,7846,0.47
33,>20 - 40 %,37836,2.25
33,>40 - 60 %,77959,4.64
33,>60 - 80 %,82278,4.9
33,>80 - <100 %,117230,6.98
33,100 %,1355339,80.75
34,0 %,0,0.0
34,>0 - 20 %,7323,0.44
34,>20 - 40 %,38077,2.27
34,>40 - 60 %,73513,4.38
34,>60 - 80 %,89018,5.3
34,>80 - <100 %,117363,6.99
34,100 %,1353194,80.62
35,0 %,0,0.0
35,>0 - 20 %,8412,0.5
35,>20 - 40 %,34570,2.06
35,>40 - 60 %,70898,4.22
35,>60 - 80 %,95393,5.68
35,>80 - <100 %,117937,7.03
35,100 %,1351278,80.51
36,0 %,0,0.0
36,>0 - 20 %,8640,0.51
36,>20 - 40 %,31462,1.87
36,>40 - 60 %,69214,4.12
36,>60 - 80 %,100404,5.98
36,>80 - <100 %,119301,7.11
36,100 %,1349467,80.4
37,0 %,0,0.0
37,>0 - 20 %,8226,0.49
37,>20 - 40 %,29863,1.78
37,>40 - 60 %,67425,4.02
37,>60 - 80 %,103275,6.15
37,>80 - <100 %,122386,7.29
37,100 %,1347313,80.27
38,0 %,0,0.0
38,>0 - 20 %,7619,0.45
38,>20 - 40 %,28078,1.67
38,>40 - 60 %,66157,3.94
38,>60 - 80 %,103901,6.19
38,>80 - <100 %,127011,7.57
38,100 %,1345722,80.17
39,0 %,0,0.0
39,>0 - 20 %,9050,0.54
39,>20 - 40 %,25084,1.49
39,>40 - 60 %,64910,3.87
39,>60 - 80 %,102878,6.13
39,>80 - <100 %,132517,7.9
39,100 %,1344049,80.07
40,0 %,0,0.0
40,>0 - 20 %,8483,0.51
40,>20 - 40 %,23596,1.41
40,>40 - 60 %,64035,3.82
40,>60 - 80 %,102066,6.08
40,>80 - <100 %,137866,8.21
40,100 %,1342442,79.98
41,0 %,0,0.0
41,>0 - 20 %,7463,0.44
41,>20 - 40 %,22089,1.32
41,>40 - 60 %,64801,3.86
41,>60 - 80 %,100109,5.96
41,>80 - <100 %,142559,8.49
41,100 %,1341467,79.92
42,0 %,0,0.0
42,>0 - 20 %,3164,0.19
42,>20 - 40 %,22288,1.33
42,>40 - 60 %,66953,3.99
42,>60 - 80 %,97771,5.82
42,>80 - <100 %,143029,8.52
42,100 %,1345283,80.15
43,0 %,0,0.0
43,>0 - 20 %,2833,0.17
43,>20 - 40 %,20194,1.2
43,>40 - 60 %,69695,4.15
43,>60 - 80 %,96689,5.76
43,>80 - <100 %,146153,8.71
43,100 %,1342924,80.01
44,0 %,0,0.0
44,>0 - 20 %,2668,0.16
44,>20 - 40 %,19638,1.17
