time_step,pixels,percentage
1,29,0.0
2,81,0.0
3,204,0.01
4,248,0.01
5,287,0.02
6,306,0.02
7,350,0.02
8,361,0.02
9,325,0.02
10,374,0.02
11,417,0.02
12,523,0.03
13,616,0.04
14,663,0.04
15,688,0.04
16,707,0.04
17,723,0.04
18,685,0.04
19,671,0.04
20,750,0.04
21,758,0.05
22,716,0.04
23,733,0.04
24,806,0.05
25,2546,0.15
26,2873,0.17
27,2414,0.14
28,2426,0.14
29,2415,0.14
30,2349,0.14
31,2276,0.14
32,2201,0.13
33,2022,0.12
34,1578,0.09
35,1541,0.09
36,1486,0.09
37,1424,0.08
38,1269,0.08
39,1105,0.07
40,968,0.06
41,903,0.05
42,771,0.05
43,708,0.04
44,636,0.04
45,611,0.04
46,617,0.04
47,596,0.04
48,534,0.03
49,503,0.03
50,459,0.03
51,445,0.03
52,442,0.03
53,689,0.04
54,728,0.04
55,480,0.03
56,423,0.03
57,625,0.04
58,579,0.03
59,351,0.02
60,332,0.02
61,442,0.03
62,487,0.03
63,368,0.02
64,325,0.02
65,357,0.02
66,336,0.02
67,249,0.01
68,224,0.01
69,215,0.01
70,219,0.01
71,208,0.01
72,214,0.01
73,203,0.01
74,191,0.01
75,174,0.01
76,171,0.01
77,178,0.01
78,165,0.01
79,152,0.01
80,153,0.01
81,139,0.01
82,128,0.01
83,124,0.01
