time_step,LUT_code,pixels
1,total,4244
1,LUT01,1859
1,LUT02,18
1,LUT03,1331
1,LUT04,1002
1,LUT05,159
2,total,5047
2,LUT01,592
2,LUT02,2
2,LUT03,3218
2,LUT04,1680
2,LUT05,0
3,total,5134
3,LUT01,303
3,LUT02,2
3,LUT03,3171
3,LUT04,1677
3,LUT05,0
4,total,5039
4,LUT01,226
4,LUT02,0
4,LUT03,3170
4,LUT04,1677
4,LUT05,0
5,total,4996
5,LUT01,176
5,LUT02,2
5,LUT03,3171
5,LUT04,1696
5,LUT05,0
6,total,5212
6,LUT01,119
6,LUT02,0
6,LUT03,3402
6,LUT04,1755
6,LUT05,0
7,total,5174
7,LUT01,137
7,LUT02,0
7,LUT03,3382
7,LUT04,1714
7,LUT05,0
8,total,5248
8,LUT01,92
8,LUT02,0
8,LUT03,3483
8,LUT04,1730
8,LUT05,0
9,total,5397
9,LUT01,72
9,LUT02,0
9,LUT03,3562
9,LUT04,1797
9,LUT05,0
10,total,5274
10,LUT01,51
10,LUT02,0
10,LUT03,3498
10,LUT04,1751
10,LUT05,0
11,total,5272
11,LUT01,43
11,LUT02,0
11,LUT03,3515
11,LUT04,1754
11,LUT05,0
12,total,5260
12,LUT01,44
12,LUT02,0
12,LUT03,3546
12,LUT04,1761
12,LUT05,0
13,total,5390
13,LUT01,35
13,LUT02,0
13,LUT03,3632
13,LUT04,1839
13,LUT05,0
14,total,5172
14,LUT01,31
14,LUT02,0
14,LUT03,3400
14,LUT04,1799
14,LUT05,0
15,total,5262
15,LUT01,34
15,LUT02,0
15,LUT03,3480
15,LUT04,1796
15,LUT05,0
16,total,5442
16,LUT01,47
16,LUT02,0
16,LUT03,3589
16,LUT04,1869
16,LUT05,0
17,total,5341
17,LUT01,38
17,LUT02,0
17,LUT03,3521
17,LUT04,1826
17,LUT05,0
18,total,4060
18,LUT01,41
18,LUT02,0
18,LUT03,2981
18,LUT04,1570
18,LUT05,0
19,total,1437
19,LUT01,34
19,LUT02,0
19,LUT03,1403
19,LUT04,327
19,LUT05,0
20,total,2517
20,LUT01,48
20,LUT02,0
20,LUT03,1483
20,LUT04,1332
20,LUT05,0
21,total,2980
21,LUT01,36
21,LUT02,0
21,LUT03,1687
21,LUT04,1392
21,LUT05,0
22,total,3164
22,LUT01,29
22,LUT02,0
22,LUT03,1804
22,LUT04,1470
22,LUT05,0
23,total,3277
23,LUT01,39
23,LUT02,0
23,LUT03,1931
23,LUT04,1556
23,LUT05,0
24,total,3146
24,LUT01,25
24,LUT02,0
24,LUT03,1785
24,LUT04,1511
24,LUT05,0
25,total,3102
25,LUT01,27
25,LUT02,0
25,LUT03,1717
25,LUT04,1523
25,LUT05,0
26,total,1107
26,LUT01,31
26,LUT02,0
26,LUT03,595
26,LUT04,736
26,LUT05,0
27,total,2624
27,LUT01,8
27,LUT02,0
27,LUT03,1405
27,LUT04,1480
27,LUT05,0
28,total,3211
28,LUT01,20
28,LUT02,0
28,LUT03,1696
28,LUT04,1643
28,LUT05,0
29,total,3203
29,LUT01,20
29,LUT02,0
29,LUT03,1649
29,LUT04,1681
29,LUT05,0
30,total,3305
30,LUT01,15
30,LUT02,1
30,LUT03,1634
30,LUT04,1802
30,LUT05,0
31,total,3219
31,LUT01,21
31,LUT02,0
31,LUT03,1552
31,LUT04,1751
31,LUT05,0
32,total,3291
32,LUT01,36
32,LUT02,1
32,LUT03,1557
32,LUT04,1780
32,LUT05,0
33,total,3379
33,LUT01,38
33,LUT02,0
33,LUT03,1607
33,LUT04,1833
33,LUT05,0
34,total,3387
34,LUT01,7
34,LUT02,0
34,LUT03,1574
34,LUT04,1921
34,LUT05,0
35,total,3165
35,LUT01,6
35,LUT02,0
35,LUT03,1418
35,LUT04,1858
35,LUT05,0
36,total,3239
36,LUT01,7
36,LUT02,0
36,LUT03,1424
36,LUT04,1894
36,LUT05,0
37,total,3463
37,LUT01,6
37,LUT02,0
37,LUT03,1570
37,LUT04,1966
37,LUT05,0
38,total,3253
38,LUT01,5
38,LUT02,0
38,LUT03,1413
38,LUT04,1922
38,LUT05,0
39,total,3279
39,LUT01,5
39,LUT02,0
39,LUT03,1413
39,LUT04,1977
39,LUT05,0
40,total,3341
40,LUT01,5
40,LUT02,0
40,LUT03,1443
40,LUT04,2037
40,LUT05,0
41,total,3506
41,LUT01,4
41,LUT02,0
41,LUT03,1514
41,LUT04,2130
41,LUT05,0
42,total,3333
42,LUT01,6
42,LUT02,0
42,LUT03,1397
42,LUT04,2077
42,LUT05,0
43,total,6136
43,LUT01,9
43,LUT02,0
43,LUT03,4019
43,LUT04,2143
43,LUT05,0
44,total,1357
44,LUT01,0
44,LUT02,0
44,LUT03,1325
44,LUT04,32
44,LUT05,0
45,total,1372
45,LUT01,0
45,LUT02,0
45,LUT03,1336
45,LUT04,36
45,LUT05,0
46,total,1351
46,LUT01,0
46,LUT02,0
46,LUT03,1319
46,LUT04,32
46,LUT05,0
47,total,1349
47,LUT01,0
47,LUT02,0
47,LUT03,1320
47,LUT04,29
47,LUT05,0
48,total,1229
48,LUT01,0
48,LUT02,0
48,LUT03,1229
48,LUT04,0
48,LUT05,0
49,total,1356
49,LUT01,0
49,LUT02,0
49,LUT03,1324
49,LUT04,33
49,LUT05,0
50,total,1354
50,LUT01,0
50,LUT02,0
50,LUT03,1321
50,LUT04,33
50,LUT05,0
51,total,1347
51,LUT01,0
51,LUT02,0
51,LUT03,1314
51,LUT04,33
51,LUT05,0
52,total,1217
52,LUT01,0
52,LUT02,0
52,LUT03,1217
52,LUT04,0
52,LUT05,0
53,total,1351
53,LUT01,0
53,LUT02,0
53,LUT03,1319
53,LUT04,32
53,LUT05,0
54,total,2660
54,LUT01,0
54,LUT02,0
54,LUT03,2051
54,LUT04,609
54,LUT05,0
55,total,2487
55,LUT01,0
55,LUT02,0
55,LUT03,1956
55,LUT04,531
55,LUT05,0
56,total,2684
56,LUT01,0
56,LUT02,0
56,LUT03,2066
56,LUT04,618
56,LUT05,0
57,total,2688
57,LUT01,0
57,LUT02,0
57,LUT03,2065
57,LUT04,623
57,LUT05,0
58,total,2512
58,LUT01,0
58,LUT02,0
58,LUT03,1972
58,LUT04,546
58,LUT05,0
59,total,2718
59,LUT01,0
59,LUT02,0
59,LUT03,2097
59,LUT04,633
59,LUT05,0
60,total,2557
60,LUT01,0
60,LUT02,0
60,LUT03,2002
60,LUT04,559
60,LUT05,0
61,total,2753
61,LUT01,0
61,LUT02,0
61,LUT03,2110
61,LUT04,644
61,LUT05,0
62,total,2582
62,LUT01,0
62,LUT02,0
62,LUT03,2015
62,LUT04,567
62,LUT05,0
63,total,2607
63,LUT01,0
63,LUT02,0
63,LUT03,2033
63,LUT04,575
63,LUT05,0
64,total,3978
64,LUT01,0
64,LUT02,0
64,LUT03,2810
64,LUT04,1171
64,LUT05,0
65,total,4034
65,LUT01,0
65,LUT02,0
65,LUT03,2844
65,LUT04,1190
65,LUT05,0
66,total,3908
66,LUT01,0
66,LUT02,0
66,LUT03,2781
66,LUT04,1127
66,LUT05,0
67,total,4156
67,LUT01,0
67,LUT02,0
67,LUT03,2925
67,LUT04,1231
67,LUT05,0
68,total,3996
68,LUT01,0
68,LUT02,0
68,LUT03,2837
68,LUT04,1167
68,LUT05,0
69,total,4258
69,LUT01,0
69,LUT02,0
69,LUT03,2986
69,LUT04,1273
69,LUT05,0
70,total,4107
70,LUT01,0
70,LUT02,0
70,LUT03,2911
70,LUT04,1212
70,LUT05,0
71,total,4153
71,LUT01,0
71,LUT02,0
71,LUT03,2945
71,LUT04,1230
71,LUT05,0
72,total,4219
72,LUT01,0
72,LUT02,0
72,LUT03,2989
72,LUT04,1252
72,LUT05,0
73,total,4286
73,LUT01,0
73,LUT02,0
73,LUT03,3028
73,LUT04,1276
73,LUT05,0
74,total,5123
74,LUT01,0
74,LUT02,0
74,LUT03,3515
74,LUT04,1635
74,LUT05,0
75,total,5229
75,LUT01,0
75,LUT02,0
75,LUT03,3578
75,LUT04,1675
75,LUT05,0
76,total,5336
