time_step,year
1,2018
2,2019
3,2020
4,2021
5,2022
6,2023
7,2024
8,2025
9,2026
10,2027
11,2028
12,2029
13,2030
14,2031
15,2032
16,2033
17,2034
18,2035
19,2036
20,2037
21,2038
22,2039
23,2040
24,2041
25,2042
26,2043
27,2044
28,2045
29,2046
30,2047
31,2048
32,2049
33,2050
34,2051
35,2052
36,2053
37,2054
38,2055
39,2056
40,2057
41,2058
42,2059
43,2060
44,2061
45,2062
46,2063
47,2064
48,2065
49,2066
50,2067
51,2068
52,2069
53,2070
54,2071
55,2072
56,2073
57,2074
58,2075
59,2076
60,2077
61,2078
62,2079
63,2080
64,2081
65,2082
66,2083
67,2084
68,2085
69,2086
70,2087
71,2088
72,2089
73,2090
74,2091
75,2092
76,2093
77,2094
78,2095
79,2096
80,2097
81,2098
82,2099
83,2100
