time_step,Aspect,value
1,maximum_patch_number,5
1,total_area_of_patches,652744
2,maximum_patch_number,5
2,total_area_of_patches,651046
3,maximum_patch_number,4
3,total_area_of_patches,642732
4,maximum_patch_number,4
4,total_area_of_patches,638193
5,maximum_patch_number,4
5,total_area_of_patches,634213
6,maximum_patch_number,4
6,total_area_of_patches,632081
7,maximum_patch_number,4
7,total_area_of_patches,629411
8,maximum_patch_number,4
8,total_area_of_patches,626830
9,maximum_patch_number,4
9,total_area_of_patches,624005
10,maximum_patch_number,4
10,total_area_of_patches,621142
11,maximum_patch_number,3
11,total_area_of_patches,611504
12,maximum_patch_number,3
12,total_area_of_patches,608639
13,maximum_patch_number,3
13,total_area_of_patches,605944
14,maximum_patch_number,2
14,total_area_of_patches,597811
15,maximum_patch_number,2
15,total_area_of_patches,594736
16,maximum_patch_number,2
16,total_area_of_patches,589305
17,maximum_patch_number,2
17,total_area_of_patches,585974
18,maximum_patch_number,2
18,total_area_of_patches,581547
19,maximum_patch_number,4
19,total_area_of_patches,580567
20,maximum_patch_number,4
20,total_area_of_patches,579576
21,maximum_patch_number,4
21,total_area_of_patches,574727
22,maximum_patch_number,4
22,total_area_of_patches,572043
23,maximum_patch_number,4
23,total_area_of_patches,567625
24,maximum_patch_number,4
24,total_area_of_patches,565202
25,maximum_patch_number,4
25,total_area_of_patches,562463
26,maximum_patch_number,4
26,total_area_of_patches,564266
27,maximum_patch_number,4
27,total_area_of_patches,565783
28,maximum_patch_number,3
28,total_area_of_patches,568691
29,maximum_patch_number,2
29,total_area_of_patches,567404
30,maximum_patch_number,2
30,total_area_of_patches,568297
31,maximum_patch_number,2
31,total_area_of_patches,567751
32,maximum_patch_number,2
32,total_area_of_patches,565904
33,maximum_patch_number,3
33,total_area_of_patches,563995
34,maximum_patch_number,2
34,total_area_of_patches,562676
35,maximum_patch_number,3
35,total_area_of_patches,561571
36,maximum_patch_number,3
36,total_area_of_patches,559107
37,maximum_patch_number,4
37,total_area_of_patches,545915
38,maximum_patch_number,4
38,total_area_of_patches,543623
39,maximum_patch_number,5
39,total_area_of_patches,541081
40,maximum_patch_number,5
40,total_area_of_patches,538858
41,maximum_patch_number,5
41,total_area_of_patches,537073
42,maximum_patch_number,5
42,total_area_of_patches,535288
43,maximum_patch_number,5
43,total_area_of_patches,531230
44,maximum_patch_number,5
44,total_area_of_patches,530422
45,maximum_patch_number,5
45,total_area_of_patches,529721
46,maximum_patch_number,5
46,total_area_of_patches,529272
47,maximum_patch_number,5
47,total_area_of_patches,528730
48,maximum_patch_number,5
48,total_area_of_patches,528284
49,maximum_patch_number,5
49,total_area_of_patches,527700
50,maximum_patch_number,5
50,total_area_of_patches,527082
51,maximum_patch_number,5
51,total_area_of_patches,526153
52,maximum_patch_number,5
52,total_area_of_patches,525605
53,maximum_patch_number,5
53,total_area_of_patches,524964
54,maximum_patch_number,5
54,total_area_of_patches,523606
55,maximum_patch_number,5
55,total_area_of_patches,522311
56,maximum_patch_number,5
56,total_area_of_patches,520814
57,maximum_patch_number,5
57,total_area_of_patches,514540
58,maximum_patch_number,5
58,total_area_of_patches,513178
59,maximum_patch_number,5
59,total_area_of_patches,511497
60,maximum_patch_number,5
60,total_area_of_patches,510177
61,maximum_patch_number,5
61,total_area_of_patches,504065
62,maximum_patch_number,5
62,total_area_of_patches,502235
63,maximum_patch_number,5
63,total_area_of_patches,500709
64,maximum_patch_number,4
64,total_area_of_patches,493267
65,maximum_patch_number,4
65,total_area_of_patches,490178
66,maximum_patch_number,4
66,total_area_of_patches,487448
67,maximum_patch_number,4
67,total_area_of_patches,483564
68,maximum_patch_number,4
68,total_area_of_patches,480478
69,maximum_patch_number,5
69,total_area_of_patches,477146
70,maximum_patch_number,5
70,total_area_of_patches,472883
71,maximum_patch_number,5
71,total_area_of_patches,469253
72,maximum_patch_number,5
72,total_area_of_patches,463462
73,maximum_patch_number,5
73,total_area_of_patches,459077
74,maximum_patch_number,5
74,total_area_of_patches,454275
75,maximum_patch_number,4
75,total_area_of_patches,439696
76,maximum_patch_number,4
76,total_area_of_patches,431245
77,maximum_patch_number,4
77,total_area_of_patches,427132
78,maximum_patch_number,3
78,total_area_of_patches,417247
79,maximum_patch_number,4
79,total_area_of_patches,412103
80,maximum_patch_number,4
80,total_area_of_patches,406829
81,maximum_patch_number,5
81,total_area_of_patches,401899
82,maximum_patch_number,5
82,total_area_of_patches,398150
83,maximum_patch_number,5
83,total_area_of_patches,394451
