time_step,LUT_code,pixels
1,LUT22,1370
1,LUT23,527
1,LUT24,0
1,LUT25,39399
2,LUT22,1368
2,LUT23,535
2,LUT24,0
2,LUT25,0
3,LUT22,1363
3,LUT23,545
3,LUT24,0
3,LUT25,0
4,LUT22,1338
4,LUT23,533
4,LUT24,0
4,LUT25,0
5,LUT22,1340
5,LUT23,539
5,LUT24,0
5,LUT25,0
6,LUT22,859
6,LUT23,374
6,LUT24,0
6,LUT25,0
7,LUT22,30
7,LUT23,79
7,LUT24,0
7,LUT25,0
8,LUT22,27
8,LUT23,70
8,LUT24,0
8,LUT25,10
9,LUT22,28
9,LUT23,79
9,LUT24,0
9,LUT25,0
10,LUT22,31
10,LUT23,88
10,LUT24,0
10,LUT25,0
11,LUT22,35
11,LUT23,97
11,LUT24,0
11,LUT25,0
12,LUT22,39
12,LUT23,98
12,LUT24,0
12,LUT25,1
13,LUT22,38
13,LUT23,102
13,LUT24,0
13,LUT25,0
14,LUT22,39
14,LUT23,101
14,LUT24,0
14,LUT25,0
15,LUT22,39
15,LUT23,103
15,LUT24,5
15,LUT25,0
16,LUT22,39
16,LUT23,96
16,LUT24,4
16,LUT25,0
17,LUT22,37
17,LUT23,97
17,LUT24,4
17,LUT25,0
18,LUT22,37
18,LUT23,103
18,LUT24,3
18,LUT25,0
19,LUT22,692
19,LUT23,108
19,LUT24,0
19,LUT25,0
20,LUT22,470
20,LUT23,113
20,LUT24,0
20,LUT25,0
21,LUT22,329
21,LUT23,106
21,LUT24,0
21,LUT25,0
22,LUT22,220
22,LUT23,106
22,LUT24,0
22,LUT25,0
23,LUT22,152
23,LUT23,109
23,LUT24,0
23,LUT25,5
24,LUT22,117
24,LUT23,194
24,LUT24,0
24,LUT25,0
25,LUT22,37
25,LUT23,216
25,LUT24,0
25,LUT25,0
26,LUT22,901
26,LUT23,296
26,LUT24,0
26,LUT25,0
27,LUT22,714
27,LUT23,297
27,LUT24,1
27,LUT25,0
28,LUT22,583
28,LUT23,278
28,LUT24,0
28,LUT25,0
29,LUT22,457
29,LUT23,260
29,LUT24,0
29,LUT25,0
30,LUT22,339
30,LUT23,248
30,LUT24,0
30,LUT25,0
31,LUT22,341
31,LUT23,246
31,LUT24,20
31,LUT25,0
32,LUT22,75
32,LUT23,167
32,LUT24,27
32,LUT25,0
33,LUT22,38
33,LUT23,137
33,LUT24,29
33,LUT25,172
34,LUT22,31
34,LUT23,132
34,LUT24,28
34,LUT25,0
35,LUT22,28
35,LUT23,140
35,LUT24,28
35,LUT25,0
36,LUT22,27
36,LUT23,141
36,LUT24,27
36,LUT25,0
37,LUT22,26
37,LUT23,138
37,LUT24,24
37,LUT25,0
38,LUT22,27
38,LUT23,141
38,LUT24,23
38,LUT25,0
39,LUT22,27
39,LUT23,141
39,LUT24,21
39,LUT25,0
40,LUT22,30
40,LUT23,133
40,LUT24,22
40,LUT25,0
41,LUT22,30
41,LUT23,128
41,LUT24,22
41,LUT25,0
42,LUT22,24
42,LUT23,133
42,LUT24,21
42,LUT25,0
43,LUT22,24
43,LUT23,143
43,LUT24,22
43,LUT25,0
44,LUT22,24
44,LUT23,142
44,LUT24,22
44,LUT25,0
45,LUT22,27
45,LUT23,140
45,LUT24,23
45,LUT25,0
46,LUT22,30
46,LUT23,142
46,LUT24,23
46,LUT25,0
47,LUT22,35
47,LUT23,142
47,LUT24,23
47,LUT25,0
48,LUT22,41
48,LUT23,131
48,LUT24,24
48,LUT25,0
49,LUT22,41
49,LUT23,133
49,LUT24,23
49,LUT25,0
50,LUT22,42
50,LUT23,134
50,LUT24,22
50,LUT25,0
51,LUT22,42
51,LUT23,139
51,LUT24,22
51,LUT25,0
52,LUT22,41
52,LUT23,144
52,LUT24,22
52,LUT25,0
53,LUT22,38
53,LUT23,146
53,LUT24,22
53,LUT25,0
54,LUT22,33
54,LUT23,142
54,LUT24,23
54,LUT25,0
55,LUT22,29
55,LUT23,142
55,LUT24,26
55,LUT25,0
56,LUT22,25
56,LUT23,134
56,LUT24,27
56,LUT25,0
57,LUT22,21
57,LUT23,137
57,LUT24,27
57,LUT25,0
58,LUT22,20
58,LUT23,136
58,LUT24,29
58,LUT25,0
59,LUT22,19
59,LUT23,135
59,LUT24,29
59,LUT25,0
60,LUT22,19
60,LUT23,137
60,LUT24,32
60,LUT25,0
61,LUT22,18
61,LUT23,133
61,LUT24,32
61,LUT25,0
62,LUT22,20
62,LUT23,132
62,LUT24,34
62,LUT25,0
63,LUT22,19
63,LUT23,127
63,LUT24,34
63,LUT25,0
64,LUT22,18
64,LUT23,113
64,LUT24,34
64,LUT25,0
65,LUT22,18
65,LUT23,112
65,LUT24,36
65,LUT25,0
66,LUT22,18
66,LUT23,107
66,LUT24,40
66,LUT25,9298
67,LUT22,17
67,LUT23,108
67,LUT24,40
67,LUT25,0
68,LUT22,18
68,LUT23,103
68,LUT24,42
