time_step,pixels,percentage
1,319308,19.02
2,322080,19.19
3,324875,19.36
4,327582,19.52
5,330470,19.69
6,332699,19.82
7,334451,19.93
8,337416,20.1
9,340487,20.29
10,343527,20.47
11,346595,20.65
12,349680,20.83
13,352849,21.02
14,355970,21.21
15,359138,21.4
16,362379,21.59
17,365598,21.78
18,368811,21.97
19,379626,22.62
20,379854,22.63
21,381734,22.74
22,384250,22.89
23,387220,23.07
24,390455,23.26
25,392368,23.38
26,400995,23.89
27,402151,23.96
28,405027,24.13
29,408017,24.31
30,411096,24.49
31,414641,24.7
32,417429,24.87
33,421097,25.09
34,424978,25.32
35,428841,25.55
36,432733,25.78
37,436657,26.01
38,440569,26.25
39,444502,26.48
40,448434,26.72
41,452468,26.96
42,456374,27.19
43,460428,27.43
44,461793,27.51
45,463139,27.59
46,464468,27.67
47,465849,27.75
48,467120,27.83
49,468491,27.91
50,469844,27.99
51,471197,28.07
52,472453,28.15
53,473778,28.23
54,475827,28.35
55,477784,28.47
56,479890,28.59
57,481966,28.71
58,483916,28.83
59,485969,28.95
60,487987,29.07
61,490134,29.2
62,492219,29.33
63,494302,29.45
64,497146,29.62
65,499984,29.79
66,502754,29.95
67,505683,30.13
68,508510,30.3
69,511522,30.48
70,514426,30.65
71,517392,30.82
72,520423,31.01
73,523520,31.19
74,527005,31.4
75,530606,31.61
76,534289,31.83
77,537994,32.05
78,541603,32.27
79,545186,32.48
80,549054,32.71
81,552953,32.94
82,556920,33.18
83,560839,33.41
