time_step,demand
1,11846.522
2,11476.385
3,11116.152
4,10746.408
5,10387.908
6,10040.348
7,9703.491
8,9377.039
9,9060.72
10,8754.267
11,8457.398
12,8169.89
13,7891.469
14,7604.818
15,7328.228
16,7061.363
17,6803.912
18,6555.533
19,6315.934
20,6084.819
21,5861.902
22,5646.905
23,5439.559
24,5227.154
25,5022.958
26,4826.65
27,4637.945
28,4456.536
29,4282.161
30,4114.541
31,3953.412
32,3798.539
33,3649.669
34,3498.442
35,3353.471
36,3214.5
37,3081.279
38,2953.572
39,2831.145
40,2713.791
41,2601.294
42,2493.455
43,2390.079
44,2287.216
45,2188.776
46,2094.576
47,2004.43
48,1918.164
49,1835.608
50,1756.608
51,1681.007
52,1608.661
53,1539.428
54,1471.17
55,1405.938
56,1343.597
57,1284.017
58,1227.076
59,1172.659
60,1120.652
61,1070.95
62,1023.45
63,978.054
64,933.511
65,890.99
66,850.398
67,811.651
68,774.664
69,739.357
70,705.653
71,673.481
72,642.772
73,613.458
74,585.056
75,557.962
76,532.117
77,507.463
78,483.945
79,461.511
80,440.113
81,419.701
82,400.23
83,381.658
