time_step,population
1,457430
2,463049
3,468667
4,473436
5,478205
6,482973
7,487742
8,492511
9,497280
10,502049
11,506817
12,511586
13,516355
14,519957
15,523559
16,527161
17,530764
18,534366
19,537968
20,541570
21,545172
22,548774
23,552376
24,554657
25,556938
26,559218
27,561499
28,563779
29,566060
30,568341
31,570621
32,572902
33,575182
34,576122
35,577062
36,578002
37,578942
38,579882
39,580821
40,581761
41,582701
42,583641
43,584581
44,584558
45,584534
46,584511
47,584488
48,584465
49,584441
50,584418
51,584395
52,584372
53,584349
54,583531
55,582714
56,581897
57,581080
58,580263
59,579446
60,578629
61,577812
62,576995
63,576178
64,574647
65,573116
66,571584
67,570053
68,568522
69,566991
70,565459
71,563928
72,562397
73,560866
74,558933
75,557000
76,555067
77,553135
78,551202
79,549269
80,547337
81,545404
82,543471
83,541539
