time_step,smallholder_share
1,246418
2,248750
3,251019
4,252815
5,254597
6,256411
7,258162
8,259899
9,261669
10,263375
11,265066
12,266741
13,268453
14,269494
15,270523
16,271594
17,272601
18,273596
19,274579
20,275605
21,276566
22,277516
23,278508
24,278771
25,279026
26,279274
27,279571
28,279804
29,280030
30,280306
31,280518
32,280722
33,280919
34,280514
35,280049
36,279580
37,279166
38,278692
39,278214
40,277733
41,277308
42,276821
43,276332
44,276321
45,276310
46,276299
47,276288
48,276219
49,276207
50,276196
51,276186
52,276116
53,276105
54,275310
55,274459
56,273667
57,272876
58,272028
59,271239
60,270394
61,269608
62,268765
63,267923
64,266407
65,264895
66,263329
67,261826
68,260270
69,258775
70,257228
71,255685
72,254148
73,252615
74,250682
75,248757
76,246839
77,244929
78,242970
79,241020
80,239132
81,237197
82,235269
83,233296
