time_step,class,pixels,percentage
1,disturbed_habitat,192745,11.48
1,undisturbed_habitat,348743,20.78
2,disturbed_habitat,189377,11.28
2,undisturbed_habitat,348722,20.78
3,disturbed_habitat,186149,11.09
3,undisturbed_habitat,348722,20.78
4,disturbed_habitat,183306,10.92
4,undisturbed_habitat,348722,20.78
5,disturbed_habitat,180563,10.76
5,undisturbed_habitat,348722,20.78
6,disturbed_habitat,178355,10.63
6,undisturbed_habitat,348722,20.78
7,disturbed_habitat,174586,10.4
7,undisturbed_habitat,348722,20.78
8,disturbed_habitat,172522,10.28
8,undisturbed_habitat,348701,20.77
9,disturbed_habitat,170556,10.16
9,undisturbed_habitat,348701,20.77
10,disturbed_habitat,168831,10.06
10,undisturbed_habitat,348701,20.77
11,disturbed_habitat,167148,9.96
11,undisturbed_habitat,348701,20.77
12,disturbed_habitat,165481,9.86
12,undisturbed_habitat,348700,20.77
13,disturbed_habitat,163839,9.76
13,undisturbed_habitat,348698,20.77
14,disturbed_habitat,162515,9.68
14,undisturbed_habitat,348697,20.77
15,disturbed_habitat,161074,9.6
15,undisturbed_habitat,348696,20.77
16,disturbed_habitat,159754,9.52
16,undisturbed_habitat,348696,20.77
17,disturbed_habitat,158532,9.44
17,undisturbed_habitat,348696,20.77
18,disturbed_habitat,160268,9.55
18,undisturbed_habitat,348696,20.77
19,disturbed_habitat,162797,9.7
19,undisturbed_habitat,348696,20.77
20,disturbed_habitat,165105,9.84
20,undisturbed_habitat,348696,20.77
21,disturbed_habitat,166888,9.94
21,undisturbed_habitat,348691,20.77
22,disturbed_habitat,168785,10.06
22,undisturbed_habitat,348686,20.77
23,disturbed_habitat,170278,10.14
23,undisturbed_habitat,348681,20.77
24,disturbed_habitat,171066,10.19
24,undisturbed_habitat,348680,20.77
25,disturbed_habitat,172912,10.3
25,undisturbed_habitat,348675,20.77
26,disturbed_habitat,173538,10.34
26,undisturbed_habitat,348675,20.77
27,disturbed_habitat,174296,10.38
27,undisturbed_habitat,348674,20.77
28,disturbed_habitat,173236,10.32
28,undisturbed_habitat,348673,20.77
29,disturbed_habitat,172286,10.26
29,undisturbed_habitat,348673,20.77
30,disturbed_habitat,170851,10.18
30,undisturbed_habitat,348676,20.77
31,disturbed_habitat,169818,10.12
