time_step,class,pixels,percentage
1,gross_undisturbed_forest,3138687,186.99
1,gross_disturbed_forest,1051424,62.64
1,net_undisturbed_forest,3138048,186.96
1,net_disturbed_forest,1051352,62.64
1,gross_minus_net_undisturbed_forest,639,0.04
1,gross_minus_net_disturbed_forest,72,0.0
2,gross_undisturbed_forest,3138498,186.98
2,gross_disturbed_forest,1051408,62.64
2,net_undisturbed_forest,3137859,186.95
2,net_disturbed_forest,1051336,62.64
2,gross_minus_net_undisturbed_forest,639,0.04
2,gross_minus_net_disturbed_forest,72,0.0
3,gross_undisturbed_forest,3138498,186.98
3,gross_disturbed_forest,1051160,62.63
3,net_undisturbed_forest,3137859,186.95
3,net_disturbed_forest,1051088,62.62
3,gross_minus_net_undisturbed_forest,639,0.04
3,gross_minus_net_disturbed_forest,72,0.0
4,gross_undisturbed_forest,3138498,186.98
4,gross_disturbed_forest,1051104,62.62
4,net_undisturbed_forest,3137859,186.95
4,net_disturbed_forest,1051008,62.62
4,gross_minus_net_undisturbed_forest,639,0.04
4,gross_minus_net_disturbed_forest,96,0.01
5,gross_undisturbed_forest,3138498,186.98
5,gross_disturbed_forest,1050760,62.6
5,net_undisturbed_forest,3137859,186.95
5,net_disturbed_forest,1050664,62.6
5,gross_minus_net_undisturbed_forest,639,0.04
5,gross_minus_net_disturbed_forest,96,0.01
6,gross_undisturbed_forest,3138498,186.98
6,gross_disturbed_forest,1055176,62.86
6,net_undisturbed_forest,3137859,186.95
6,net_disturbed_forest,1054904,62.85
6,gross_minus_net_undisturbed_forest,639,0.04
6,gross_minus_net_disturbed_forest,272,0.02
7,gross_undisturbed_forest,3138498,186.98
7,gross_disturbed_forest,1063240,63.35
7,net_undisturbed_forest,3137859,186.95
7,net_disturbed_forest,1062608,63.31
7,gross_minus_net_undisturbed_forest,639,0.04
7,gross_minus_net_disturbed_forest,632,0.04
8,gross_undisturbed_forest,3138309,186.97
8,gross_disturbed_forest,1061256,63.23
8,net_undisturbed_forest,3137670,186.93
8,net_disturbed_forest,1060624,63.19
8,gross_minus_net_undisturbed_forest,639,0.04
8,gross_minus_net_disturbed_forest,632,0.04
9,gross_undisturbed_forest,3138309,186.97
9,gross_disturbed_forest,1060480,63.18
9,net_undisturbed_forest,3137670,186.93
9,net_disturbed_forest,1059848,63.14
9,gross_minus_net_undisturbed_forest,639,0.04
9,gross_minus_net_disturbed_forest,632,0.04
10,gross_undisturbed_forest,3138309,186.97
10,gross_disturbed_forest,1059736,63.14
10,net_undisturbed_forest,3137670,186.93
10,net_disturbed_forest,1059104,63.1
10,gross_minus_net_undisturbed_forest,639,0.04
10,gross_minus_net_disturbed_forest,632,0.04
11,gross_undisturbed_forest,3138300,186.97
11,gross_disturbed_forest,1058960,63.09
11,net_undisturbed_forest,3137661,186.93
11,net_disturbed_forest,1058328,63.05
11,gross_minus_net_undisturbed_forest,639,0.04
11,gross_minus_net_disturbed_forest,632,0.04
12,gross_undisturbed_forest,3138300,186.97
12,gross_disturbed_forest,1058240,63.05
12,net_undisturbed_forest,3137661,186.93
12,net_disturbed_forest,1057608,63.01
12,gross_minus_net_undisturbed_forest,639,0.04
12,gross_minus_net_disturbed_forest,632,0.04
13,gross_undisturbed_forest,3138282,186.97
13,gross_disturbed_forest,1057152,62.98
13,net_undisturbed_forest,3137643,186.93
13,net_disturbed_forest,1056520,62.94
13,gross_minus_net_undisturbed_forest,639,0.04
13,gross_minus_net_disturbed_forest,632,0.04
14,gross_undisturbed_forest,3138273,186.97
14,gross_disturbed_forest,1055200,62.87
14,net_undisturbed_forest,3137634,186.93
14,net_disturbed_forest,1054568,62.83
14,gross_minus_net_undisturbed_forest,639,0.04
14,gross_minus_net_disturbed_forest,632,0.04
15,gross_undisturbed_forest,3138264,186.97
15,gross_disturbed_forest,1053976,62.79
15,net_undisturbed_forest,3137625,186.93
15,net_disturbed_forest,1053344,62.76
15,gross_minus_net_undisturbed_forest,639,0.04
15,gross_minus_net_disturbed_forest,632,0.04
16,gross_undisturbed_forest,3138264,186.97
16,gross_disturbed_forest,1052408,62.7
16,net_undisturbed_forest,3137625,186.93
16,net_disturbed_forest,1051768,62.66
16,gross_minus_net_undisturbed_forest,639,0.04
16,gross_minus_net_disturbed_forest,640,0.04
17,gross_undisturbed_forest,3138264,186.97
17,gross_disturbed_forest,1050216,62.57
17,net_undisturbed_forest,3137625,186.93
17,net_disturbed_forest,1049584,62.53
17,gross_minus_net_undisturbed_forest,639,0.04
17,gross_minus_net_disturbed_forest,632,0.04
18,gross_undisturbed_forest,3138264,186.97
18,gross_disturbed_forest,1050096,62.56
18,net_undisturbed_forest,3137625,186.93
18,net_disturbed_forest,1048040,62.44
18,gross_minus_net_undisturbed_forest,639,0.04
18,gross_minus_net_disturbed_forest,2056,0.12
19,gross_undisturbed_forest,3138264,186.97
19,gross_disturbed_forest,1050816,62.6
19,net_undisturbed_forest,3137625,186.93
19,net_disturbed_forest,1047440,62.4
19,gross_minus_net_undisturbed_forest,639,0.04
19,gross_minus_net_disturbed_forest,3376,0.2
20,gross_undisturbed_forest,3138264,186.97
20,gross_disturbed_forest,1050072,62.56
20,net_undisturbed_forest,3137625,186.93
20,net_disturbed_forest,1045208,62.27
20,gross_minus_net_undisturbed_forest,639,0.04
20,gross_minus_net_disturbed_forest,4864,0.29
21,gross_undisturbed_forest,3138264,186.97
21,gross_disturbed_forest,1049096,62.5
21,net_undisturbed_forest,3137625,186.93
21,net_disturbed_forest,1042776,62.13
21,gross_minus_net_undisturbed_forest,639,0.04
21,gross_minus_net_disturbed_forest,6320,0.38
22,gross_undisturbed_forest,3138255,186.97
22,gross_disturbed_forest,1047176,62.39
22,net_undisturbed_forest,3137616,186.93
22,net_disturbed_forest,1039624,61.94
22,gross_minus_net_undisturbed_forest,639,0.04
22,gross_minus_net_disturbed_forest,7552,0.45
23,gross_undisturbed_forest,3138156,186.96
23,gross_disturbed_forest,1046256,62.33
23,net_undisturbed_forest,3137517,186.93
23,net_disturbed_forest,1037464,61.81
23,gross_minus_net_undisturbed_forest,639,0.04
23,gross_minus_net_disturbed_forest,8792,0.52
24,gross_undisturbed_forest,3138147,186.96
24,gross_disturbed_forest,1045352,62.28
24,net_undisturbed_forest,3137508,186.92
24,net_disturbed_forest,1042256,62.09
24,gross_minus_net_undisturbed_forest,639,0.04
24,gross_minus_net_disturbed_forest,3096,0.18
25,gross_undisturbed_forest,3138129,186.96
25,gross_disturbed_forest,1046736,62.36
25,net_undisturbed_forest,3137490,186.92
25,net_disturbed_forest,1045240,62.27
