time_step,LUT_code,pixels,percentage
1,LUT01,33203,1.98
1,LUT02,11619,0.69
1,LUT03,146252,8.71
1,LUT04,126264,7.52
1,LUT05,44660,2.66
2,LUT01,33893,2.02
2,LUT02,11697,0.7
2,LUT03,148905,8.87
2,LUT04,127876,7.62
2,LUT05,44660,2.66
3,LUT01,34863,2.08
3,LUT02,11781,0.7
3,LUT03,151411,9.02
3,LUT04,129621,7.72
3,LUT05,44660,2.66
4,LUT01,35419,2.11
4,LUT02,11837,0.71
4,LUT03,153840,9.17
4,LUT04,131288,7.82
4,LUT05,44660,2.66
5,LUT01,35965,2.14
5,LUT02,11895,0.71
5,LUT03,156521,9.33
5,LUT04,133231,7.94
5,LUT05,44660,2.66
6,LUT01,36658,2.18
6,LUT02,11954,0.71
6,LUT03,159032,9.47
6,LUT04,135035,8.05
6,LUT05,44660,2.66
7,LUT01,37098,2.21
7,LUT02,12010,0.72
7,LUT03,161543,9.62
7,LUT04,136993,8.16
7,LUT05,44660,2.66
8,LUT01,37599,2.24
8,LUT02,12068,0.72
8,LUT03,164098,9.78
8,LUT04,139005,8.28
8,LUT05,44660,2.66
9,LUT01,38144,2.27
9,LUT02,12126,0.72
9,LUT03,166694,9.93
9,LUT04,141074,8.4
9,LUT05,44660,2.66
10,LUT01,39319,2.34
10,LUT02,12184,0.73
10,LUT03,169286,10.09
10,LUT04,143161,8.53
10,LUT05,44661,2.66
11,LUT01,40005,2.38
11,LUT02,12244,0.73
11,LUT03,171776,10.23
11,LUT04,145317,8.66
11,LUT05,44661,2.66
12,LUT01,40925,2.44
12,LUT02,12300,0.73
12,LUT03,173861,10.36
12,LUT04,147102,8.76
12,LUT05,44661,2.66
13,LUT01,41521,2.47
13,LUT02,12363,0.74
13,LUT03,176131,10.49
13,LUT04,149211,8.89
13,LUT05,44661,2.66
14,LUT01,41980,2.5
14,LUT02,12421,0.74
14,LUT03,178439,10.63
14,LUT04,151331,9.02
14,LUT05,44661,2.66
15,LUT01,42358,2.52
15,LUT02,12480,0.74
15,LUT03,180207,10.74
15,LUT04,153206,9.13
15,LUT05,44661,2.66
16,LUT01,42879,2.55
16,LUT02,12543,0.75
16,LUT03,182245,10.86
16,LUT04,155545,9.27
16,LUT05,44659,2.66
17,LUT01,43268,2.58
17,LUT02,12600,0.75
17,LUT03,183507,10.93
17,LUT04,157386,9.38
17,LUT05,43415,2.59
18,LUT01,43597,2.6
