time_step,LUT_code,pixels,percentage
1,LUT01,24723,1.47
1,LUT02,49,0.0
1,LUT03,158819,9.46
1,LUT04,161681,9.63
1,LUT05,75065,4.47
2,LUT01,24745,1.47
2,LUT02,30,0.0
2,LUT03,159011,9.47
2,LUT04,161781,9.64
2,LUT05,75065,4.47
3,LUT01,24487,1.46
3,LUT02,0,0.0
3,LUT03,159316,9.49
3,LUT04,161710,9.63
3,LUT05,75065,4.47
4,LUT01,24535,1.46
4,LUT02,0,0.0
4,LUT03,159717,9.52
4,LUT04,161720,9.63
4,LUT05,75065,4.47
5,LUT01,24593,1.47
5,LUT02,0,0.0
5,LUT03,159893,9.53
5,LUT04,161468,9.62
5,LUT05,75065,4.47
6,LUT01,24504,1.46
6,LUT02,0,0.0
6,LUT03,160318,9.55
6,LUT04,161418,9.62
6,LUT05,75065,4.47
7,LUT01,24668,1.47
7,LUT02,0,0.0
7,LUT03,160706,9.57
7,LUT04,161169,9.6
7,LUT05,75065,4.47
8,LUT01,24771,1.48
8,LUT02,0,0.0
8,LUT03,161075,9.6
8,LUT04,160877,9.58
8,LUT05,75065,4.47
9,LUT01,24830,1.48
9,LUT02,0,0.0
9,LUT03,161489,9.62
9,LUT04,160597,9.57
9,LUT05,75065,4.47
10,LUT01,24259,1.45
10,LUT02,0,0.0
10,LUT03,161866,9.64
10,LUT04,160250,9.55
10,LUT05,75064,4.47
11,LUT01,24177,1.44
11,LUT02,0,0.0
11,LUT03,162372,9.67
11,LUT04,159843,9.52
11,LUT05,75064,4.47
12,LUT01,23861,1.42
12,LUT02,0,0.0
12,LUT03,163305,9.73
12,LUT04,159819,9.52
12,LUT05,75064,4.47
13,LUT01,23869,1.42
13,LUT02,0,0.0
13,LUT03,164142,9.78
13,LUT04,159543,9.51
13,LUT05,75064,4.47
14,LUT01,23867,1.42
14,LUT02,0,0.0
14,LUT03,164902,9.82
14,LUT04,159205,9.49
14,LUT05,75064,4.47
15,LUT01,23946,1.43
15,LUT02,0,0.0
15,LUT03,166225,9.9
15,LUT04,159121,9.48
15,LUT05,75064,4.47
16,LUT01,23882,1.42
16,LUT02,0,0.0
16,LUT03,167373,9.97
16,LUT04,158649,9.45
16,LUT05,75064,4.47
17,LUT01,23950,1.43
17,LUT02,0,0.0
17,LUT03,169253,10.08
17,LUT04,158624,9.45
17,LUT05,73105,4.36
18,LUT01,24078,1.43
18,LUT02,0,0.0
18,LUT03,170823,10.18
18,LUT04,159436,9.5
18,LUT05,63526,3.78
19,LUT01,24170,1.44
19,LUT02,0,0.0
19,LUT03,171857,10.24
19,LUT04,159932,9.53
19,LUT05,61563,3.67
20,LUT01,24418,1.45
20,LUT02,0,0.0
20,LUT03,174130,10.37
20,LUT04,161422,9.62
20,LUT05,59490,3.54
21,LUT01,24297,1.45
21,LUT02,0,0.0
21,LUT03,176600,10.52
21,LUT04,163031,9.71
21,LUT05,57068,3.4
22,LUT01,24414,1.45
22,LUT02,0,0.0
22,LUT03,179092,10.67
22,LUT04,164007,9.77
22,LUT05,54633,3.25
23,LUT01,24466,1.46
23,LUT02,0,0.0
23,LUT03,181808,10.83
23,LUT04,164886,9.82
23,LUT05,52569,3.13
24,LUT01,24461,1.46
24,LUT02,0,0.0
24,LUT03,184415,10.99
24,LUT04,166226,9.9
24,LUT05,50415,3.0
25,LUT01,24537,1.46
25,LUT02,0,0.0
25,LUT03,186823,11.13
25,LUT04,167689,9.99
25,LUT05,41995,2.5
26,LUT01,24647,1.47
26,LUT02,0,0.0
26,LUT03,187712,11.18
26,LUT04,168380,10.03
26,LUT05,39750,2.37
27,LUT01,24886,1.48
27,LUT02,0,0.0
27,LUT03,189324,11.28
27,LUT04,170209,10.14
27,LUT05,37727,2.25
28,LUT01,24912,1.48
28,LUT02,0,0.0
28,LUT03,190631,11.36
28,LUT04,171641,10.23
28,LUT05,35959,2.14
29,LUT01,25067,1.49
29,LUT02,0,0.0
29,LUT03,191201,11.39
29,LUT04,173084,10.31
29,LUT05,34115,2.03
30,LUT01,25249,1.5
30,LUT02,0,0.0
30,LUT03,191462,11.41
30,LUT04,174629,10.4
30,LUT05,32113,1.91
31,LUT01,25412,1.51
31,LUT02,0,0.0
31,LUT03,192691,11.48
31,LUT04,176271,10.5
31,LUT05,31416,1.87
32,LUT01,25571,1.52
32,LUT02,0,0.0
32,LUT03,194071,11.56
32,LUT04,178135,10.61
32,LUT05,31713,1.89
33,LUT01,25726,1.53
33,LUT02,0,0.0
33,LUT03,195634,11.66
33,LUT04,179829,10.71
33,LUT05,32109,1.91
34,LUT01,25778,1.54
34,LUT02,0,0.0
34,LUT03,197006,11.74
34,LUT04,181764,10.83
34,LUT05,29406,1.75
35,LUT01,25759,1.53
35,LUT02,0,0.0
35,LUT03,198289,11.81
35,LUT04,183697,10.94
35,LUT05,24871,1.48
36,LUT01,25808,1.54
36,LUT02,0,0.0
36,LUT03,200216,11.93
36,LUT04,185826,11.07
36,LUT05,21870,1.3
37,LUT01,25801,1.54
37,LUT02,0,0.0
37,LUT03,202026,12.04
