time_step,LUT_code,pixels,percentage
1,LUT01,3151,0.19
1,LUT02,849,0.05
1,LUT03,15382,0.92
1,LUT04,30203,1.8
1,LUT05,245,0.01
2,LUT01,3151,0.19
2,LUT02,849,0.05
2,LUT03,15382,0.92
2,LUT04,30203,1.8
2,LUT05,245,0.01
3,LUT01,3151,0.19
3,LUT02,849,0.05
3,LUT03,15382,0.92
3,LUT04,30203,1.8
3,LUT05,245,0.01
4,LUT01,3151,0.19
4,LUT02,849,0.05
4,LUT03,15382,0.92
4,LUT04,30203,1.8
4,LUT05,245,0.01
5,LUT01,3151,0.19
5,LUT02,849,0.05
5,LUT03,15382,0.92
5,LUT04,30203,1.8
5,LUT05,245,0.01
6,LUT01,3151,0.19
6,LUT02,849,0.05
6,LUT03,15382,0.92
6,LUT04,30203,1.8
6,LUT05,245,0.01
7,LUT01,3151,0.19
7,LUT02,849,0.05
7,LUT03,15382,0.92
7,LUT04,30203,1.8
7,LUT05,245,0.01
8,LUT01,3151,0.19
8,LUT02,849,0.05
8,LUT03,15382,0.92
8,LUT04,30203,1.8
8,LUT05,245,0.01
9,LUT01,3151,0.19
9,LUT02,849,0.05
9,LUT03,15382,0.92
9,LUT04,30203,1.8
9,LUT05,245,0.01
10,LUT01,3151,0.19
10,LUT02,849,0.05
10,LUT03,15382,0.92
10,LUT04,30203,1.8
10,LUT05,245,0.01
11,LUT01,3153,0.19
11,LUT02,849,0.05
11,LUT03,15382,0.92
11,LUT04,30201,1.8
11,LUT05,245,0.01
12,LUT01,3153,0.19
12,LUT02,849,0.05
12,LUT03,15382,0.92
12,LUT04,30201,1.8
12,LUT05,245,0.01
13,LUT01,3153,0.19
13,LUT02,849,0.05
13,LUT03,15382,0.92
13,LUT04,30201,1.8
13,LUT05,245,0.01
14,LUT01,3153,0.19
14,LUT02,849,0.05
14,LUT03,15382,0.92
14,LUT04,30201,1.8
14,LUT05,245,0.01
15,LUT01,3153,0.19
15,LUT02,849,0.05
15,LUT03,15382,0.92
15,LUT04,30201,1.8
15,LUT05,245,0.01
16,LUT01,3153,0.19
16,LUT02,849,0.05
16,LUT03,15382,0.92
16,LUT04,30201,1.8
16,LUT05,245,0.01
17,LUT01,3153,0.19
17,LUT02,849,0.05
17,LUT03,15382,0.92
17,LUT04,30201,1.8
17,LUT05,241,0.01
18,LUT01,3153,0.19
18,LUT02,849,0.05
18,LUT03,15382,0.92
18,LUT04,30201,1.8
18,LUT05,218,0.01
19,LUT01,3153,0.19
19,LUT02,849,0.05
19,LUT03,15382,0.92
19,LUT04,30201,1.8
19,LUT05,209,0.01
20,LUT01,3153,0.19
20,LUT02,849,0.05
20,LUT03,15382,0.92
20,LUT04,30201,1.8
20,LUT05,205,0.01
21,LUT01,3153,0.19
21,LUT02,849,0.05
21,LUT03,15382,0.92
21,LUT04,30201,1.8
21,LUT05,200,0.01
22,LUT01,3153,0.19
22,LUT02,849,0.05
22,LUT03,15382,0.92
22,LUT04,30201,1.8
22,LUT05,189,0.01
23,LUT01,3166,0.19
23,LUT02,849,0.05
23,LUT03,15381,0.92
23,LUT04,30196,1.8
23,LUT05,186,0.01
24,LUT01,3166,0.19
24,LUT02,849,0.05
24,LUT03,15381,0.92
24,LUT04,30196,1.8
24,LUT05,186,0.01
25,LUT01,3166,0.19
25,LUT02,849,0.05
25,LUT03,15381,0.92
25,LUT04,30196,1.8
25,LUT05,125,0.01
26,LUT01,3166,0.19
26,LUT02,849,0.05
26,LUT03,15381,0.92
26,LUT04,30196,1.8
26,LUT05,116,0.01
27,LUT01,3166,0.19
27,LUT02,849,0.05
27,LUT03,15381,0.92
27,LUT04,30196,1.8
27,LUT05,113,0.01
28,LUT01,3166,0.19
28,LUT02,849,0.05
28,LUT03,15381,0.92
28,LUT04,30196,1.8
28,LUT05,110,0.01
29,LUT01,3166,0.19
29,LUT02,849,0.05
29,LUT03,15381,0.92
29,LUT04,30196,1.8
29,LUT05,100,0.01
30,LUT01,3166,0.19
30,LUT02,849,0.05
30,LUT03,15381,0.92
30,LUT04,30196,1.8
30,LUT05,96,0.01
31,LUT01,3166,0.19
31,LUT02,849,0.05
31,LUT03,15381,0.92
31,LUT04,30196,1.8
31,LUT05,90,0.01
32,LUT01,3166,0.19
32,LUT02,849,0.05
32,LUT03,15381,0.92
32,LUT04,30196,1.8
32,LUT05,93,0.01
33,LUT01,3205,0.19
33,LUT02,849,0.05
33,LUT03,15375,0.92
33,LUT04,30180,1.8
33,LUT05,135,0.01
34,LUT01,3205,0.19
34,LUT02,849,0.05
34,LUT03,15375,0.92
34,LUT04,30180,1.8
34,LUT05,172,0.01
35,LUT01,3205,0.19
35,LUT02,849,0.05
35,LUT03,15375,0.92
35,LUT04,30180,1.8
35,LUT05,172,0.01
36,LUT01,3205,0.19
36,LUT02,849,0.05
36,LUT03,15375,0.92
36,LUT04,30180,1.8
36,LUT05,172,0.01
37,LUT01,3207,0.19
37,LUT02,849,0.05
37,LUT03,15374,0.92
37,LUT04,30179,1.8
37,LUT05,172,0.01
38,LUT01,3207,0.19
38,LUT02,849,0.05
38,LUT03,15374,0.92
38,LUT04,30179,1.8
38,LUT05,166,0.01
39,LUT01,3207,0.19
39,LUT02,849,0.05
39,LUT03,15374,0.92
39,LUT04,30179,1.8
39,LUT05,121,0.01
40,LUT01,3207,0.19
40,LUT02,849,0.05
40,LUT03,15374,0.92
40,LUT04,30179,1.8
40,LUT05,78,0.0
41,LUT01,3207,0.19
41,LUT02,849,0.05
41,LUT03,15374,0.92
41,LUT04,30179,1.8
41,LUT05,22,0.0
42,LUT01,3207,0.19
42,LUT02,849,0.05
42,LUT03,15374,0.92
42,LUT04,30179,1.8
42,LUT05,22,0.0
43,LUT01,3207,0.19
43,LUT02,849,0.05
43,LUT03,15374,0.92
43,LUT04,30179,1.8
43,LUT05,22,0.0
44,LUT01,3207,0.19
44,LUT02,848,0.05
44,LUT03,15374,0.92
44,LUT04,30179,1.8
44,LUT05,22,0.0
45,LUT01,3207,0.19
45,LUT02,848,0.05
45,LUT03,15374,0.92
45,LUT04,30179,1.8
45,LUT05,22,0.0
46,LUT01,3207,0.19
46,LUT02,845,0.05
46,LUT03,15374,0.92
46,LUT04,30179,1.8
46,LUT05,22,0.0
47,LUT01,3207,0.19
47,LUT02,841,0.05
47,LUT03,15374,0.92
47,LUT04,30179,1.8
47,LUT05,22,0.0
48,LUT01,3207,0.19
48,LUT02,837,0.05
48,LUT03,15374,0.92
48,LUT04,30179,1.8
48,LUT05,22,0.0
49,LUT01,3207,0.19
49,LUT02,836,0.05
49,LUT03,15374,0.92
