time_step,LUT_code,pixels
1,LUT01,1370
1,LUT02,0
1,LUT03,0
1,LUT04,0
1,LUT05,0
2,LUT01,0
2,LUT02,0
2,LUT03,0
2,LUT04,0
2,LUT05,0
3,LUT01,0
3,LUT02,0
3,LUT03,0
3,LUT04,0
3,LUT05,0
4,LUT01,0
4,LUT02,0
4,LUT03,0
4,LUT04,0
4,LUT05,0
5,LUT01,0
5,LUT02,0
5,LUT03,0
5,LUT04,0
5,LUT05,0
6,LUT01,0
6,LUT02,0
6,LUT03,0
6,LUT04,0
6,LUT05,0
7,LUT01,0
7,LUT02,0
7,LUT03,0
7,LUT04,0
7,LUT05,0
8,LUT01,0
8,LUT02,0
8,LUT03,0
8,LUT04,0
8,LUT05,0
9,LUT01,0
9,LUT02,0
9,LUT03,0
9,LUT04,0
9,LUT05,0
10,LUT01,0
10,LUT02,0
10,LUT03,0
10,LUT04,0
10,LUT05,0
11,LUT01,2
11,LUT02,0
11,LUT03,0
11,LUT04,0
11,LUT05,0
12,LUT01,0
12,LUT02,0
12,LUT03,0
12,LUT04,0
12,LUT05,0
13,LUT01,0
13,LUT02,0
13,LUT03,0
13,LUT04,0
13,LUT05,0
14,LUT01,0
14,LUT02,0
14,LUT03,0
14,LUT04,0
14,LUT05,0
15,LUT01,0
15,LUT02,0
15,LUT03,0
15,LUT04,0
15,LUT05,0
16,LUT01,0
16,LUT02,0
16,LUT03,0
16,LUT04,0
16,LUT05,0
17,LUT01,0
17,LUT02,0
17,LUT03,0
17,LUT04,0
17,LUT05,0
18,LUT01,0
18,LUT02,0
18,LUT03,0
18,LUT04,0
18,LUT05,1
19,LUT01,0
19,LUT02,0
19,LUT03,0
19,LUT04,0
19,LUT05,1
20,LUT01,0
20,LUT02,0
20,LUT03,0
20,LUT04,0
20,LUT05,3
21,LUT01,0
21,LUT02,0
21,LUT03,0
21,LUT04,0
21,LUT05,5
22,LUT01,0
22,LUT02,0
22,LUT03,0
22,LUT04,0
22,LUT05,5
23,LUT01,13
23,LUT02,0
23,LUT03,0
23,LUT04,0
23,LUT05,7
24,LUT01,0
24,LUT02,0
24,LUT03,0
24,LUT04,0
24,LUT05,10
25,LUT01,0
25,LUT02,0
25,LUT03,0
25,LUT04,0
25,LUT05,7
26,LUT01,0
26,LUT02,0
26,LUT03,0
26,LUT04,0
26,LUT05,4
27,LUT01,0
27,LUT02,0
27,LUT03,0
27,LUT04,0
27,LUT05,7
28,LUT01,0
28,LUT02,0
28,LUT03,0
28,LUT04,0
28,LUT05,8
29,LUT01,0
29,LUT02,0
29,LUT03,0
29,LUT04,0
29,LUT05,8
30,LUT01,0
30,LUT02,0
30,LUT03,0
30,LUT04,0
30,LUT05,4
31,LUT01,0
31,LUT02,0
31,LUT03,0
31,LUT04,0
31,LUT05,8
32,LUT01,0
32,LUT02,0
32,LUT03,0
32,LUT04,0
32,LUT05,14
33,LUT01,39
33,LUT02,0
