time_step,LUT_code,pixels,percentage
1,LUT01,57926,3.45
1,LUT02,11668,0.7
1,LUT03,305071,18.18
1,LUT04,287945,17.16
1,LUT05,119725,7.13
1,LUT06,3017,0.18
1,LUT07,87,0.01
1,LUT08,469364,27.96
1,LUT09,348743,20.78
1,LUT10,934,0.06
1,LUT11,17885,1.07
1,LUT12,22808,1.36
1,LUT13,1634,0.1
1,LUT14,4,0.0
1,LUT15,0,0.0
1,LUT16,0,0.0
1,LUT17,27,0.0
1,LUT18,0,0.0
1,LUT19,31650,1.89
2,LUT01,58638,3.49
2,LUT02,11727,0.7
2,LUT03,307916,18.34
2,LUT04,289657,17.26
2,LUT05,119725,7.13
2,LUT06,2772,0.17
2,LUT07,107,0.01
2,LUT08,464434,27.67
2,LUT09,348722,20.78
2,LUT10,933,0.06
2,LUT11,17731,1.06
2,LUT12,22808,1.36
2,LUT13,1634,0.1
2,LUT14,0,0.0
2,LUT15,0,0.0
2,LUT16,0,0.0
2,LUT17,34,0.0
2,LUT18,0,0.0
2,LUT19,31650,1.89
3,LUT01,59350,3.54
3,LUT02,11781,0.7
3,LUT03,310727,18.51
3,LUT04,291331,17.36
3,LUT05,119725,7.13
3,LUT06,299,0.02
3,LUT07,2336,0.14
3,LUT08,459663,27.39
3,LUT09,348722,20.78
3,LUT10,931,0.06
3,LUT11,17493,1.04
3,LUT12,22808,1.36
3,LUT13,1634,0.1
3,LUT14,0,0.0
3,LUT15,0,0.0
3,LUT16,0,0.0
3,LUT17,38,0.0
3,LUT18,0,0.0
3,LUT19,31650,1.89
4,LUT01,59954,3.57
4,LUT02,11837,0.71
4,LUT03,313557,18.68
4,LUT04,293008,17.46
4,LUT05,119725,7.13
4,LUT06,195,0.01
4,LUT07,2223,0.13
4,LUT08,454950,27.1
4,LUT09,348722,20.78
4,LUT10,925,0.06
4,LUT11,17264,1.03
4,LUT12,22808,1.36
4,LUT13,1634,0.1
4,LUT14,0,0.0
4,LUT15,0,0.0
4,LUT16,0,0.0
4,LUT17,36,0.0
4,LUT18,0,0.0
4,LUT19,31650,1.89
5,LUT01,60558,3.61
5,LUT02,11895,0.71
5,LUT03,316414,18.85
5,LUT04,294699,17.56
5,LUT05,119725,7.13
5,LUT06,180,0.01
5,LUT07,2196,0.13
5,LUT08,450106,26.82
5,LUT09,348722,20.78
5,LUT10,919,0.05
5,LUT11,16951,1.01
5,LUT12,22808,1.36
5,LUT13,1634,0.1
5,LUT14,0,0.0
5,LUT15,0,0.0
5,LUT16,0,0.0
5,LUT17,31,0.0
5,LUT18,0,0.0
5,LUT19,31650,1.89
6,LUT01,61162,3.64
6,LUT02,11954,0.71
6,LUT03,319350,19.03
6,LUT04,296453,17.66
6,LUT05,119725,7.13
6,LUT06,726,0.04
6,LUT07,863,0.05
6,LUT08,445873,26.56
6,LUT09,348722,20.78
6,LUT10,912,0.05
6,LUT11,16626,0.99
6,LUT12,22808,1.36
6,LUT13,1634,0.1
6,LUT14,0,0.0
6,LUT15,0,0.0
6,LUT16,0,0.0
6,LUT17,30,0.0
6,LUT18,0,0.0
6,LUT19,31650,1.89
7,LUT01,61766,3.68
7,LUT02,12010,0.72
7,LUT03,322249,19.2
7,LUT04,298162,17.76
7,LUT05,119725,7.13
7,LUT06,126,0.01
7,LUT07,246,0.01
7,LUT08,442154,26.34
7,LUT09,348722,20.78
7,LUT10,900,0.05
7,LUT11,16306,0.97
7,LUT12,22808,1.36
7,LUT13,1634,0.1
7,LUT14,0,0.0
7,LUT15,0,0.0
7,LUT16,0,0.0
7,LUT17,30,0.0
7,LUT18,0,0.0
7,LUT19,31650,1.89
8,LUT01,62370,3.72
8,LUT02,12068,0.72
8,LUT03,325173,19.37
8,LUT04,299882,17.87
8,LUT05,119725,7.13
