time_step,Aspect,pixels
1,mean of probabilistically simulated forest,818026
2,mean of probabilistically simulated forest,813154
3,mean of probabilistically simulated forest,808423
4,mean of probabilistically simulated forest,803691
5,mean of probabilistically simulated forest,798888
6,mean of probabilistically simulated forest,794613
7,mean of probabilistically simulated forest,790348
8,mean of probabilistically simulated forest,785347
9,mean of probabilistically simulated forest,780172
10,mean of probabilistically simulated forest,775069
11,mean of probabilistically simulated forest,769925
12,mean of probabilistically simulated forest,764762
13,mean of probabilistically simulated forest,759450
14,mean of probabilistically simulated forest,754394
15,mean of probabilistically simulated forest,749267
16,mean of probabilistically simulated forest,743970
17,mean of probabilistically simulated forest,738760
18,mean of probabilistically simulated forest,735345
19,mean of probabilistically simulated forest,734429
20,mean of probabilistically simulated forest,732937
21,mean of probabilistically simulated forest,731099
22,mean of probabilistically simulated forest,729094
23,mean of probabilistically simulated forest,726903
24,mean of probabilistically simulated forest,725532
25,mean of probabilistically simulated forest,726697
26,mean of probabilistically simulated forest,726851
27,mean of probabilistically simulated forest,726385
28,mean of probabilistically simulated forest,725268
29,mean of probabilistically simulated forest,723769
30,mean of probabilistically simulated forest,722102
31,mean of probabilistically simulated forest,720311
32,mean of probabilistically simulated forest,720133
33,mean of probabilistically simulated forest,717860
34,mean of probabilistically simulated forest,715466
35,mean of probabilistically simulated forest,713205
36,mean of probabilistically simulated forest,710888
37,mean of probabilistically simulated forest,708342
38,mean of probabilistically simulated forest,705967
39,mean of probabilistically simulated forest,703470
40,mean of probabilistically simulated forest,700944
41,mean of probabilistically simulated forest,698162
42,mean of probabilistically simulated forest,695515
43,mean of probabilistically simulated forest,690095
44,mean of probabilistically simulated forest,689104
45,mean of probabilistically simulated forest,688081
46,mean of probabilistically simulated forest,687057
47,mean of probabilistically simulated forest,686026
48,mean of probabilistically simulated forest,685120
49,mean of probabilistically simulated forest,683820
50,mean of probabilistically simulated forest,682523
51,mean of probabilistically simulated forest,681230
52,mean of probabilistically simulated forest,680107
53,mean of probabilistically simulated forest,678817
54,mean of probabilistically simulated forest,676277
55,mean of probabilistically simulated forest,673884
56,mean of probabilistically simulated forest,671340
57,mean of probabilistically simulated forest,668734
58,mean of probabilistically simulated forest,666287
59,mean of probabilistically simulated forest,663636
60,mean of probabilistically simulated forest,661141
61,mean of probabilistically simulated forest,658439
62,mean of probabilistically simulated forest,655898
63,mean of probabilistically simulated forest,653332
64,mean of probabilistically simulated forest,649447
65,mean of probabilistically simulated forest,645514
66,mean of probabilistically simulated forest,641701
67,mean of probabilistically simulated forest,637643
68,mean of probabilistically simulated forest,633712
69,mean of probabilistically simulated forest,629526
70,mean of probabilistically simulated forest,625465
71,mean of probabilistically simulated forest,621355
72,mean of probabilistically simulated forest,617197
73,mean of probabilistically simulated forest,612987
74,mean of probabilistically simulated forest,607940
75,mean of probabilistically simulated forest,602777
76,mean of probabilistically simulated forest,597493
77,mean of probabilistically simulated forest,592106
78,mean of probabilistically simulated forest,586836
79,mean of probabilistically simulated forest,581545
80,mean of probabilistically simulated forest,575798
81,mean of probabilistically simulated forest,570116
82,mean of probabilistically simulated forest,564318
83,mean of probabilistically simulated forest,558647
