time_step,Aspect,value
1,blocked_flow,
1,impeded_flow,
1,reduced_flow,
1,diffuse_flow,
1,intensified_flow,
1,channelized_flow,
2,blocked_flow,
2,impeded_flow,
2,reduced_flow,
2,diffuse_flow,
2,intensified_flow,
2,channelized_flow,
3,blocked_flow,
3,impeded_flow,
3,reduced_flow,
3,diffuse_flow,
3,intensified_flow,
3,channelized_flow,
4,blocked_flow,
4,impeded_flow,
4,reduced_flow,
4,diffuse_flow,
4,intensified_flow,
4,channelized_flow,
5,blocked_flow,
5,impeded_flow,
5,reduced_flow,
5,diffuse_flow,
5,intensified_flow,
5,channelized_flow,
6,blocked_flow,
6,impeded_flow,
6,reduced_flow,
6,diffuse_flow,
6,intensified_flow,
6,channelized_flow,
7,blocked_flow,17129
7,impeded_flow,210477
7,reduced_flow,596349
7,diffuse_flow,1002278
7,intensified_flow,317746
7,channelized_flow,99435
8,blocked_flow,
8,impeded_flow,
8,reduced_flow,
8,diffuse_flow,
8,intensified_flow,
8,channelized_flow,
9,blocked_flow,
9,impeded_flow,
9,reduced_flow,
9,diffuse_flow,
9,intensified_flow,
9,channelized_flow,
10,blocked_flow,
10,impeded_flow,
10,reduced_flow,
10,diffuse_flow,
10,intensified_flow,
10,channelized_flow,
11,blocked_flow,
11,impeded_flow,
11,reduced_flow,
11,diffuse_flow,
11,intensified_flow,
11,channelized_flow,
12,blocked_flow,
12,impeded_flow,
12,reduced_flow,
12,diffuse_flow,
12,intensified_flow,
12,channelized_flow,
13,blocked_flow,
13,impeded_flow,
13,reduced_flow,
13,diffuse_flow,
13,intensified_flow,
13,channelized_flow,
14,blocked_flow,
14,impeded_flow,
14,reduced_flow,
14,diffuse_flow,
14,intensified_flow,
14,channelized_flow,
15,blocked_flow,
15,impeded_flow,
15,reduced_flow,
15,diffuse_flow,
15,intensified_flow,
15,channelized_flow,
16,blocked_flow,
16,impeded_flow,
16,reduced_flow,
16,diffuse_flow,
16,intensified_flow,
16,channelized_flow,
17,blocked_flow,
17,impeded_flow,
17,reduced_flow,
17,diffuse_flow,
17,intensified_flow,
17,channelized_flow,
18,blocked_flow,
18,impeded_flow,
18,reduced_flow,
18,diffuse_flow,
18,intensified_flow,
18,channelized_flow,
19,blocked_flow,
19,impeded_flow,
19,reduced_flow,
19,diffuse_flow,
19,intensified_flow,
19,channelized_flow,
20,blocked_flow,
20,impeded_flow,
20,reduced_flow,
20,diffuse_flow,
20,intensified_flow,
20,channelized_flow,
21,blocked_flow,
21,impeded_flow,
21,reduced_flow,
21,diffuse_flow,
21,intensified_flow,
21,channelized_flow,
22,blocked_flow,
22,impeded_flow,
22,reduced_flow,
22,diffuse_flow,
22,intensified_flow,
22,channelized_flow,
23,blocked_flow,
23,impeded_flow,
23,reduced_flow,
23,diffuse_flow,
23,intensified_flow,
23,channelized_flow,
24,blocked_flow,
24,impeded_flow,
24,reduced_flow,
24,diffuse_flow,
24,intensified_flow,
24,channelized_flow,
25,blocked_flow,
25,impeded_flow,
25,reduced_flow,
25,diffuse_flow,
25,intensified_flow,
25,channelized_flow,
26,blocked_flow,
26,impeded_flow,
26,reduced_flow,
26,diffuse_flow,
26,intensified_flow,
26,channelized_flow,
27,blocked_flow,
27,impeded_flow,
27,reduced_flow,
27,diffuse_flow,
27,intensified_flow,
27,channelized_flow,
28,blocked_flow,
28,impeded_flow,
28,reduced_flow,
28,diffuse_flow,
28,intensified_flow,
28,channelized_flow,
29,blocked_flow,
29,impeded_flow,
29,reduced_flow,
29,diffuse_flow,
29,intensified_flow,
29,channelized_flow,
30,blocked_flow,
30,impeded_flow,
30,reduced_flow,
30,diffuse_flow,
30,intensified_flow,
30,channelized_flow,
31,blocked_flow,
31,impeded_flow,
31,reduced_flow,
31,diffuse_flow,
31,intensified_flow,
31,channelized_flow,
32,blocked_flow,
32,impeded_flow,
32,reduced_flow,
32,diffuse_flow,
32,intensified_flow,
32,channelized_flow,
33,blocked_flow,
33,impeded_flow,
33,reduced_flow,
33,diffuse_flow,
33,intensified_flow,
33,channelized_flow,
34,blocked_flow,
34,impeded_flow,
34,reduced_flow,
34,diffuse_flow,
34,intensified_flow,
34,channelized_flow,
35,blocked_flow,
35,impeded_flow,
35,reduced_flow,
35,diffuse_flow,
35,intensified_flow,
35,channelized_flow,
36,blocked_flow,
36,impeded_flow,
36,reduced_flow,
36,diffuse_flow,
36,intensified_flow,
