time_step,LUT_code,pixels,percentage
1,LUT01,57926,3.45
1,LUT02,,
1,LUT03,,
1,LUT04,287945,17.16
1,LUT05,119725,7.13
1,LUT06,558,0.03
1,LUT07,7,0.0
1,LUT08,363220,21.64
1,LUT09,348743,20.78
1,LUT10,934,0.06
1,LUT11,17885,1.07
1,LUT12,22808,1.36
1,LUT13,1634,0.1
1,LUT14,0,0.0
1,LUT15,0,0.0
1,LUT16,0,0.0
1,LUT17,1,0.0
1,LUT18,0,0.0
1,LUT19,31650,1.89
1,LUT21,316739,18.87
1,LUT22,1853,0.11
1,LUT23,716,0.04
1,LUT24,0,0.0
1,LUT25,0,0.0
2,LUT01,58638,3.49
2,LUT02,,
2,LUT03,,
2,LUT04,289657,17.26
2,LUT05,119725,7.13
2,LUT06,468,0.03
2,LUT07,6,0.0
2,LUT08,464431,27.67
2,LUT09,348722,20.78
2,LUT10,933,0.06
2,LUT11,17731,1.06
2,LUT12,22808,1.36
2,LUT13,1634,0.1
2,LUT14,0,0.0
2,LUT15,0,0.0
2,LUT16,0,0.0
2,LUT17,3,0.0
2,LUT18,0,0.0
2,LUT19,31650,1.89
2,LUT21,319643,19.04
2,LUT22,1750,0.1
2,LUT23,685,0.04
2,LUT24,1,0.0
2,LUT25,1,0.0
3,LUT01,59350,3.54
3,LUT02,,
3,LUT03,,
3,LUT04,291331,17.36
3,LUT05,119725,7.13
3,LUT06,209,0.01
3,LUT07,96,0.01
3,LUT08,459662,27.39
3,LUT09,348722,20.78
3,LUT10,931,0.06
3,LUT11,17493,1.04
3,LUT12,22808,1.36
3,LUT13,1634,0.1
3,LUT14,0,0.0
3,LUT15,0,0.0
3,LUT16,0,0.0
3,LUT17,6,0.0
3,LUT18,0,0.0
3,LUT19,31650,1.89
3,LUT21,322508,19.21
3,LUT22,1662,0.1
3,LUT23,697,0.04
3,LUT24,4,0.0
3,LUT25,4,0.0
4,LUT01,59954,3.57
4,LUT02,,
4,LUT03,,
4,LUT04,293008,17.46
4,LUT05,119725,7.13
4,LUT06,115,0.01
4,LUT07,140,0.01
4,LUT08,454950,27.1
4,LUT09,348722,20.78
4,LUT10,925,0.06
