time_step,LUT_code,LUT_mean,potential_AGB,potential_Carbon
1,LUT21,115.301,36520324.0,18260162.0
1,LUT22,212.655,394049.719,197024.859
1,LUT23,282.711,202421.078,101210.539
2,LUT21,115.301,36855160.0,18427580.0
2,LUT22,212.655,372146.25,186073.125
2,LUT23,282.711,193657.031,96828.515
3,LUT21,115.301,37185496.0,18592748.0
3,LUT22,212.655,353432.594,176716.297
3,LUT23,282.711,197049.562,98524.781
4,LUT21,115.301,37518256.0,18759128.0
4,LUT22,212.655,325362.156,162681.078
4,LUT23,282.711,186023.844,93011.922
5,LUT21,115.301,37854356.0,18927178.0
5,LUT22,212.655,316855.938,158427.969
5,LUT23,282.711,188002.812,94001.406
6,LUT21,115.301,38199684.0,19099842.0
6,LUT22,212.655,196280.562,98140.281
6,LUT23,282.711,132874.172,66437.086
7,LUT21,115.301,38540396.0,19270198.0
7,LUT22,212.655,11270.715,5635.358
7,LUT23,282.711,38165.984,19082.992
8,LUT21,115.301,38884224.0,19442112.0
8,LUT22,212.655,10420.095,5210.047
8,LUT23,282.711,34490.742,17245.371
9,LUT21,115.301,39237968.0,19618984.0
9,LUT22,212.655,9356.82,4678.41
9,LUT23,282.711,37317.852,18658.926
10,LUT21,115.301,39586984.0,19793492.0
10,LUT22,212.655,9994.785,4997.392
10,LUT23,282.711,39579.539,19789.769
11,LUT21,115.301,39939344.0,19969672.0
11,LUT22,212.655,10845.405,5422.703
11,LUT23,282.711,42972.07,21486.035
12,LUT21,115.301,40293780.0,20146890.0
12,LUT22,212.655,11696.025,5848.012
12,LUT23,282.711,44951.047,22475.523
13,LUT21,115.301,40659284.0,20329642.0
13,LUT22,212.655,11696.025,5848.012
13,LUT23,282.711,44668.336,22334.168
14,LUT21,115.301,41019716.0,20509858.0
14,LUT22,212.655,12121.335,6060.667
14,LUT23,282.711,42689.359,21344.679
15,LUT21,115.301,41382912.0,20691456.0
15,LUT22,212.655,12121.335,6060.667
15,LUT23,282.711,41558.516,20779.258
16,LUT21,115.301,41757528.0,20878764.0
16,LUT22,212.655,11908.68,5954.34
16,LUT23,282.711,36752.43,18376.215
17,LUT21,115.301,42126376.0,21063188.0
17,LUT22,212.655,10845.405,5422.703
17,LUT23,282.711,36469.719,18234.859
18,LUT21,115.301,42498796.0,21249398.0
18,LUT22,212.655,10207.439,5103.72
18,LUT23,282.711,37035.141,18517.571
19,LUT21,115.301,42873756.0,21436878.0
19,LUT22,212.655,1615540.0,807770.0
19,LUT23,282.711,50605.27,25302.635
20,LUT21,115.301,43260476.0,21630238.0
20,LUT22,212.655,952907.062,476453.531
20,LUT23,282.711,47778.16,23889.08
21,LUT21,115.301,43641200.0,21820600.0
21,LUT22,212.655,653276.125,326638.062
21,LUT23,282.711,44102.914,22051.457
