time_step,category,pixels,percentage
1,targeted_net_forest,849278,50.6
1,total_possible_net_forest,818717,48.78
2,targeted_net_forest,849278,50.6
2,total_possible_net_forest,813736,48.48
3,targeted_net_forest,849278,50.6
3,total_possible_net_forest,808974,48.2
4,targeted_net_forest,849278,50.6
4,total_possible_net_forest,804221,47.91
5,targeted_net_forest,849278,50.6
5,total_possible_net_forest,799387,47.63
6,targeted_net_forest,849278,50.6
6,total_possible_net_forest,794936,47.36
7,targeted_net_forest,849278,50.6
7,total_possible_net_forest,790837,47.12
8,targeted_net_forest,849278,50.6
8,total_possible_net_forest,785867,46.82
9,targeted_net_forest,849278,50.6
9,total_possible_net_forest,780695,46.51
10,targeted_net_forest,849278,50.6
10,total_possible_net_forest,775648,46.21
11,targeted_net_forest,849278,50.6
11,total_possible_net_forest,770535,45.91
12,targeted_net_forest,849278,50.6
12,total_possible_net_forest,765418,45.6
13,targeted_net_forest,849278,50.6
13,total_possible_net_forest,760108,45.29
14,targeted_net_forest,849278,50.6
14,total_possible_net_forest,755073,44.99
15,targeted_net_forest,849278,50.6
15,total_possible_net_forest,749947,44.68
16,targeted_net_forest,849278,50.6
16,total_possible_net_forest,744642,44.36
17,targeted_net_forest,849278,50.6
17,total_possible_net_forest,739406,44.05
18,targeted_net_forest,849278,50.6
18,total_possible_net_forest,734214,43.74
19,targeted_net_forest,849278,50.6
19,total_possible_net_forest,732257,43.63
20,targeted_net_forest,849278,50.6
20,total_possible_net_forest,729751,43.48
21,targeted_net_forest,849278,50.6
21,total_possible_net_forest,725711,43.24
22,targeted_net_forest,849278,50.6
22,total_possible_net_forest,721183,42.97
23,targeted_net_forest,849278,50.6
23,total_possible_net_forest,716696,42.7
24,targeted_net_forest,849278,50.6
24,total_possible_net_forest,719560,42.87
25,targeted_net_forest,849278,50.6
25,total_possible_net_forest,720579,42.93
26,targeted_net_forest,849278,50.6
26,total_possible_net_forest,722577,43.05
27,targeted_net_forest,849278,50.6
27,total_possible_net_forest,723462,43.1
28,targeted_net_forest,849278,50.6
28,total_possible_net_forest,723064,43.08
29,targeted_net_forest,849278,50.6
29,total_possible_net_forest,722635,43.05
30,targeted_net_forest,849278,50.6
30,total_possible_net_forest,722708,43.06
31,targeted_net_forest,849278,50.6
31,total_possible_net_forest,720389,42.92
32,targeted_net_forest,849278,50.6
32,total_possible_net_forest,716700,42.7
33,targeted_net_forest,849278,50.6
33,total_possible_net_forest,712353,42.44
34,targeted_net_forest,849278,50.6
34,total_possible_net_forest,712635,42.46
35,targeted_net_forest,849278,50.6
35,total_possible_net_forest,712952,42.48
36,targeted_net_forest,849278,50.6
36,total_possible_net_forest,711868,42.41
37,targeted_net_forest,849278,50.6
37,total_possible_net_forest,708908,42.23
38,targeted_net_forest,849278,50.6
38,total_possible_net_forest,705165,42.01
39,targeted_net_forest,849278,50.6
39,total_possible_net_forest,701186,41.77
40,targeted_net_forest,849278,50.6
40,total_possible_net_forest,699326,41.66
41,targeted_net_forest,849278,50.6
41,total_possible_net_forest,697577,41.56
42,targeted_net_forest,849278,50.6
42,total_possible_net_forest,695665,41.45
43,targeted_net_forest,849278,50.6
43,total_possible_net_forest,689539,41.08
44,targeted_net_forest,849278,50.6
44,total_possible_net_forest,688246,41.0
45,targeted_net_forest,849278,50.6
45,total_possible_net_forest,686904,40.92
46,targeted_net_forest,849278,50.6
46,total_possible_net_forest,685528,40.84
47,targeted_net_forest,849278,50.6
47,total_possible_net_forest,684145,40.76
48,targeted_net_forest,849278,50.6
48,total_possible_net_forest,682940,40.69
49,targeted_net_forest,849278,50.6
49,total_possible_net_forest,681551,40.61
50,targeted_net_forest,849278,50.6
50,total_possible_net_forest,680193,40.52
51,targeted_net_forest,849278,50.6
51,total_possible_net_forest,678791,40.44
52,targeted_net_forest,849278,50.6
52,total_possible_net_forest,677587,40.37
53,targeted_net_forest,849278,50.6
53,total_possible_net_forest,676196,40.29
54,targeted_net_forest,849278,50.6
54,total_possible_net_forest,673419,40.12
55,targeted_net_forest,849278,50.6
55,total_possible_net_forest,670796,39.96
56,targeted_net_forest,849278,50.6
56,total_possible_net_forest,667991,39.8
57,targeted_net_forest,849278,50.6
57,total_possible_net_forest,665101,39.63
58,targeted_net_forest,849278,50.6
58,total_possible_net_forest,662384,39.46
59,targeted_net_forest,849278,50.6
59,total_possible_net_forest,659459,39.29
60,targeted_net_forest,849278,50.6
60,total_possible_net_forest,656684,39.12
61,targeted_net_forest,849278,50.6
61,total_possible_net_forest,653590,38.94
62,targeted_net_forest,849278,50.6
62,total_possible_net_forest,650695,38.77
63,targeted_net_forest,849278,50.6
63,total_possible_net_forest,647780,38.59
64,targeted_net_forest,849278,50.6
64,total_possible_net_forest,642915,38.3
65,targeted_net_forest,849278,50.6
65,total_possible_net_forest,638608,38.05
66,targeted_net_forest,849278,50.6
66,total_possible_net_forest,634420,37.8
67,targeted_net_forest,849278,50.6
67,total_possible_net_forest,629863,37.53
68,targeted_net_forest,849278,50.6
68,total_possible_net_forest,625503,37.27
69,targeted_net_forest,849278,50.6
69,total_possible_net_forest,620995,37.0
70,targeted_net_forest,849278,50.6
70,total_possible_net_forest,616597,36.74
71,targeted_net_forest,849278,50.6
71,total_possible_net_forest,612117,36.47
72,targeted_net_forest,849278,50.6
72,total_possible_net_forest,607533,36.2
73,targeted_net_forest,849278,50.6
73,total_possible_net_forest,602871,35.92
74,targeted_net_forest,849278,50.6
74,total_possible_net_forest,597270,35.58
75,targeted_net_forest,849278,50.6
75,total_possible_net_forest,591580,35.24
76,targeted_net_forest,849278,50.6
76,total_possible_net_forest,585816,34.9
77,targeted_net_forest,849278,50.6
77,total_possible_net_forest,579884,34.55
78,targeted_net_forest,849278,50.6
78,total_possible_net_forest,573856,34.19
79,targeted_net_forest,849278,50.6
79,total_possible_net_forest,567719,33.82
80,targeted_net_forest,849278,50.6
80,total_possible_net_forest,561058,33.43
81,targeted_net_forest,849278,50.6
81,total_possible_net_forest,555615,33.1
82,targeted_net_forest,849278,50.6
82,total_possible_net_forest,551109,32.83
83,targeted_net_forest,849278,50.6
83,total_possible_net_forest,546875,32.58
